"","Especies","Uno","Key1","Dos","Key2"
"27","Ophioblennius steindachneri","Presencia ausencia de Ophioblennius steindachneri en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Ophioblennius steindachneri","Diversidad Funcional de Ophioblennius steindachneri en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Ophioblennius steindachneri"
"28","Plagiotremus azaleus","Presencia ausencia de Plagiotremus azaleus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Plagiotremus azaleus","Diversidad Funcional de Plagiotremus azaleus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Plagiotremus azaleus"
"29","Grammonus diagrammus","Presencia ausencia de Grammonus diagrammus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Grammonus diagrammus","Diversidad Funcional de Grammonus diagrammus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Grammonus diagrammus"
"30","Ogilbia davidsmithi","Presencia ausencia de Ogilbia davidsmithi en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Ogilbia davidsmithi","Diversidad Funcional de Ogilbia davidsmithi en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Ogilbia davidsmithi"
"31","Ogilbia nudiceps","Presencia ausencia de Ogilbia nudiceps en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Ogilbia nudiceps","Diversidad Funcional de Ogilbia nudiceps en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Ogilbia nudiceps"
"32","Ogilbia ventralis","Presencia ausencia de Ogilbia ventralis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Ogilbia ventralis","Diversidad Funcional de Ogilbia ventralis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Ogilbia ventralis"
"33","Alectis ciliaris","Presencia ausencia de Alectis ciliaris en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Alectis ciliaris","Diversidad Funcional de Alectis ciliaris en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Alectis ciliaris"
"34","Caranx caballus","Presencia ausencia de Caranx caballus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Caranx caballus","Diversidad Funcional de Caranx caballus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Caranx caballus"
"35","Caranx caninus","Presencia ausencia de Caranx caninus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Caranx caninus","Diversidad Funcional de Caranx caninus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Caranx caninus"
"36","Caranx lugubris","Presencia ausencia de Caranx lugubris en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Caranx lugubris","Diversidad Funcional de Caranx lugubris en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Caranx lugubris"
"37","Caranx melampygus","Presencia ausencia de Caranx melampygus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Caranx melampygus","Diversidad Funcional de Caranx melampygus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Caranx melampygus"
"38","Carangoides orthogrammus","Presencia ausencia de Carangoides orthogrammus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Carangoides orthogrammus","Diversidad Funcional de Carangoides orthogrammus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Carangoides orthogrammus"
"39","Caranx sexfasciatus","Presencia ausencia de Caranx sexfasciatus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Caranx sexfasciatus","Diversidad Funcional de Caranx sexfasciatus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Caranx sexfasciatus"
"40","Elagatis bipinnulata","Presencia ausencia de Elagatis bipinnulata en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Elagatis bipinnulata","Diversidad Funcional de Elagatis bipinnulata en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Elagatis bipinnulata"
"41","Gnathanodon speciosus","Presencia ausencia de Gnathanodon speciosus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Gnathanodon speciosus","Diversidad Funcional de Gnathanodon speciosus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Gnathanodon speciosus"
"42","Naucrates ductor","Presencia ausencia de Naucrates ductor en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Naucrates ductor","Diversidad Funcional de Naucrates ductor en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Naucrates ductor"
"43","Selene brevoortii","Presencia ausencia de Selene brevoortii en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Selene brevoortii","Diversidad Funcional de Selene brevoortii en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Selene brevoortii"
"44","Seriola lalandi","Presencia ausencia de Seriola lalandi en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Seriola lalandi","Diversidad Funcional de Seriola lalandi en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Seriola lalandi"
"45","Seriola peruana","Presencia ausencia de Seriola peruana en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Seriola peruana","Diversidad Funcional de Seriola peruana en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Seriola peruana"
"46","Seriola rivoliana","Presencia ausencia de Seriola rivoliana en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Seriola rivoliana","Diversidad Funcional de Seriola rivoliana en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Seriola rivoliana"
"47","Trachinotus rhodopus","Presencia ausencia de Trachinotus rhodopus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Trachinotus rhodopus","Diversidad Funcional de Trachinotus rhodopus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Trachinotus rhodopus"
"48","Encheliophis vermicularis","Presencia ausencia de Encheliophis vermicularis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Encheliophis vermicularis","Diversidad Funcional de Encheliophis vermicularis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Encheliophis vermicularis"
"49","Carapus dubius","Presencia ausencia de Carapus dubius en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Carapus dubius","Diversidad Funcional de Carapus dubius en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Carapus dubius"
"50","Acanthemblemaria balanorum","Presencia ausencia de Acanthemblemaria balanorum en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Acanthemblemaria balanorum","Diversidad Funcional de Acanthemblemaria balanorum en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Acanthemblemaria balanorum"
"51","Acanthemblemaria crockeri","Presencia ausencia de Acanthemblemaria crockeri en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Acanthemblemaria crockeri","Diversidad Funcional de Acanthemblemaria crockeri en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Acanthemblemaria crockeri"
"52","Acanthemblemaria hancocki","Presencia ausencia de Acanthemblemaria hancocki en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Acanthemblemaria hancocki","Diversidad Funcional de Acanthemblemaria hancocki en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Acanthemblemaria hancocki"
"53","Acanthemblemaria hastingsi","Presencia ausencia de Acanthemblemaria hastingsi en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Acanthemblemaria hastingsi","Diversidad Funcional de Acanthemblemaria hastingsi en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Acanthemblemaria hastingsi"
"54","Acanthemblemaria macrospilus","Presencia ausencia de Acanthemblemaria macrospilus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Acanthemblemaria macrospilus","Diversidad Funcional de Acanthemblemaria macrospilus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Acanthemblemaria macrospilus"
"55","Chaenopsis alepidota","Presencia ausencia de Chaenopsis alepidota en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Chaenopsis alepidota","Diversidad Funcional de Chaenopsis alepidota en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Chaenopsis alepidota"
"56","Chaenopsis coheni","Presencia ausencia de Chaenopsis coheni en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Chaenopsis coheni","Diversidad Funcional de Chaenopsis coheni en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Chaenopsis coheni"
"57","Cirriemblemaria lucasana","Presencia ausencia de Cirriemblemaria lucasana en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Cirriemblemaria lucasana","Diversidad Funcional de Cirriemblemaria lucasana en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Cirriemblemaria lucasana"
"58","Coralliozetus micropes","Presencia ausencia de Coralliozetus micropes en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Coralliozetus micropes","Diversidad Funcional de Coralliozetus micropes en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Coralliozetus micropes"
"59","Coralliozetus rosenblatti","Presencia ausencia de Coralliozetus rosenblatti en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Coralliozetus rosenblatti","Diversidad Funcional de Coralliozetus rosenblatti en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Coralliozetus rosenblatti"
"60","Coralliozetus angelicus","Presencia ausencia de Coralliozetus angelicus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Coralliozetus angelicus","Diversidad Funcional de Coralliozetus angelicus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Coralliozetus angelicus"
"61","Coralliozetus boehlkei","Presencia ausencia de Coralliozetus boehlkei en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Coralliozetus boehlkei","Diversidad Funcional de Coralliozetus boehlkei en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Coralliozetus boehlkei"
"62","Ekemblemaria myersi","Presencia ausencia de Ekemblemaria myersi en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Ekemblemaria myersi","Diversidad Funcional de Ekemblemaria myersi en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Ekemblemaria myersi"
"63","Emblemaria hypacanthus","Presencia ausencia de Emblemaria hypacanthus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Emblemaria hypacanthus","Diversidad Funcional de Emblemaria hypacanthus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Emblemaria hypacanthus"
"64","Emblemaria walkeri","Presencia ausencia de Emblemaria walkeri en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Emblemaria walkeri","Diversidad Funcional de Emblemaria walkeri en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Emblemaria walkeri"
"65","Emblemaria piratica","Presencia ausencia de Emblemaria piratica en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Emblemaria piratica","Diversidad Funcional de Emblemaria piratica en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Emblemaria piratica"
"66","Protemblemaria bicirrus","Presencia ausencia de Protemblemaria bicirrus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Protemblemaria bicirrus","Diversidad Funcional de Protemblemaria bicirrus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Protemblemaria bicirrus"
"67","Stathmonotus lugubris","Presencia ausencia de Stathmonotus lugubris en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Stathmonotus lugubris","Diversidad Funcional de Stathmonotus lugubris en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Stathmonotus lugubris"
"68","Stathmonotus sinuscalifornici","Presencia ausencia de Stathmonotus sinuscalifornici en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Stathmonotus sinuscalifornici","Diversidad Funcional de Stathmonotus sinuscalifornici en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Stathmonotus sinuscalifornici"
"69","Protemblemaria bicirrus","Presencia ausencia de Protemblemaria bicirrus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Protemblemaria bicirrus","Diversidad Funcional de Protemblemaria bicirrus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Protemblemaria bicirrus"
"70","Stathmonotus sinuscalifornici","Presencia ausencia de Stathmonotus sinuscalifornici en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Stathmonotus sinuscalifornici","Diversidad Funcional de Stathmonotus sinuscalifornici en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Stathmonotus sinuscalifornici"
"71","Prognathodes falcifer","Presencia ausencia de Prognathodes falcifer en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Prognathodes falcifer","Diversidad Funcional de Prognathodes falcifer en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Prognathodes falcifer"
"72","Chaetodon humeralis","Presencia ausencia de Chaetodon humeralis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Chaetodon humeralis","Diversidad Funcional de Chaetodon humeralis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Chaetodon humeralis"
"73","Forcipiger flavissimus","Presencia ausencia de Forcipiger flavissimus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Forcipiger flavissimus","Diversidad Funcional de Forcipiger flavissimus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Forcipiger flavissimus"
"74","Johnrandallia nigrirostris","Presencia ausencia de Johnrandallia nigrirostris en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Johnrandallia nigrirostris","Diversidad Funcional de Johnrandallia nigrirostris en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Johnrandallia nigrirostris"
"75","Chanos chanos","Presencia ausencia de Chanos chanos en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Chanos chanos","Diversidad Funcional de Chanos chanos en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Chanos chanos"
"76","Cirrhitichthys oxycephalus","Presencia ausencia de Cirrhitichthys oxycephalus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Cirrhitichthys oxycephalus","Diversidad Funcional de Cirrhitichthys oxycephalus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Cirrhitichthys oxycephalus"
"77","Cirrhitus rivulatus","Presencia ausencia de Cirrhitus rivulatus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Cirrhitus rivulatus","Diversidad Funcional de Cirrhitus rivulatus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Cirrhitus rivulatus"
"78","Oxycirrhites typus","Presencia ausencia de Oxycirrhites typus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Oxycirrhites typus","Diversidad Funcional de Oxycirrhites typus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Oxycirrhites typus"
"79","Heteroconger canabus","Presencia ausencia de Heteroconger canabus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Heteroconger canabus","Diversidad Funcional de Heteroconger canabus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Heteroconger canabus"
"80","Symphurus atramentatus","Presencia ausencia de Symphurus atramentatus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Symphurus atramentatus","Diversidad Funcional de Symphurus atramentatus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Symphurus atramentatus"
"81","Dactyloscopus pectoralis","Presencia ausencia de Dactyloscopus pectoralis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Dactyloscopus pectoralis","Diversidad Funcional de Dactyloscopus pectoralis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Dactyloscopus pectoralis"
"82","Chilomycterus reticulatus","Presencia ausencia de Chilomycterus reticulatus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Chilomycterus reticulatus","Diversidad Funcional de Chilomycterus reticulatus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Chilomycterus reticulatus"
