"Species","Region","Ymi","Ymax","K","Titulo","Title"
"Acanthurus nigricans","Alto Golfo",2010,2010,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthurus nigricans en Alto Golfo"
"Acanthurus nigricans","Cabo Pulmo",2009,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthurus nigricans en Cabo Pulmo"
"Acanthurus nigricans","Corredor",2015,2015,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthurus nigricans en Corredor"
"Acanthurus nigricans","Islas Marias",2010,2010,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthurus nigricans en Islas Marias"
"Acanthurus nigricans","La Paz",1998,2013,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthurus nigricans en La Paz"
"Acanthurus nigricans","La Ventana",2015,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthurus nigricans en La Ventana"
"Acanthurus nigricans","Loreto",1999,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthurus nigricans en Loreto"
"Acanthurus nigricans","Los Cabos",2009,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthurus nigricans en Los Cabos"
"Acanthurus nigricans","Revillagigedo",2006,2006,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthurus nigricans en Revillagigedo"
"Acanthurus nigricans","Santa Rosalia",2016,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthurus nigricans en Santa Rosalia"
"Acanthurus triostegus","Cabo Pulmo",2010,2015,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthurus triostegus en Cabo Pulmo"
"Acanthurus triostegus","Islas Marias",2010,2010,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthurus triostegus en Islas Marias"
"Acanthurus triostegus","La Paz",2009,2013,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthurus triostegus en La Paz"
"Acanthurus triostegus","La Ventana",2015,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthurus triostegus en La Ventana"
"Acanthurus triostegus","Loreto",2011,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthurus triostegus en Loreto"
"Acanthurus triostegus","Los Cabos",2009,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthurus triostegus en Los Cabos"
"Acanthurus triostegus","Revillagigedo",2006,2006,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthurus triostegus en Revillagigedo"
"Acanthurus xanthopterus","Bahia Banderas",2013,2013,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthurus xanthopterus en Bahia Banderas"
"Acanthurus xanthopterus","Cabo Pulmo",1999,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthurus xanthopterus en Cabo Pulmo"
"Acanthurus xanthopterus","Corredor",1998,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthurus xanthopterus en Corredor"
"Acanthurus xanthopterus","Huatulco",2016,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthurus xanthopterus en Huatulco"
"Acanthurus xanthopterus","Islas Marias",2010,2010,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthurus xanthopterus en Islas Marias"
"Acanthurus xanthopterus","La Paz",1998,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthurus xanthopterus en La Paz"
"Acanthurus xanthopterus","La Ventana",1999,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthurus xanthopterus en La Ventana"
"Acanthurus xanthopterus","Loreto",1999,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthurus xanthopterus en Loreto"
"Acanthurus xanthopterus","Los Cabos",2013,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthurus xanthopterus en Los Cabos"
"Acanthurus xanthopterus","Revillagigedo",2006,2006,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Acanthurus xanthopterus en Revillagigedo"
"Actiniaria sp1","Bahia Banderas",2013,2013,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Actiniaria sp1 en Bahia Banderas"
"Aetobatus narinari","Huatulco",2016,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aetobatus narinari en Huatulco"
"Aetobatus narinari","Los Cabos",2014,2014,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aetobatus narinari en Los Cabos"
"Aglaophenia sp2","Huatulco",2016,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aglaophenia sp2 en Huatulco"
"Aglaophenia spp","Alto Golfo",2009,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aglaophenia spp en Alto Golfo"
"Aglaophenia spp","Bahia Banderas",2013,2013,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aglaophenia spp en Bahia Banderas"
"Aglaophenia spp","Cabo Pulmo",2009,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aglaophenia spp en Cabo Pulmo"
"Aglaophenia spp","Corredor",2005,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aglaophenia spp en Corredor"
"Aglaophenia spp","Huatulco",2016,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aglaophenia spp en Huatulco"
"Aglaophenia spp","Islas Marias",2010,2010,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aglaophenia spp en Islas Marias"
"Aglaophenia spp","La Paz",2004,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aglaophenia spp en La Paz"
"Aglaophenia spp","La Ventana",2009,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aglaophenia spp en La Ventana"
"Aglaophenia spp","Loreto",2004,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aglaophenia spp en Loreto"
"Aglaophenia spp","Los Cabos",2009,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aglaophenia spp en Los Cabos"
"Aglaophenia spp","Santa Rosalia",2009,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aglaophenia spp en Santa Rosalia"
"Alphestes immaculatus","Alto Golfo",1999,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Alphestes immaculatus en Alto Golfo"
"Alphestes immaculatus","Bahia Banderas",2013,2013,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Alphestes immaculatus en Bahia Banderas"
"Alphestes immaculatus","Cabo Pulmo",1999,2014,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Alphestes immaculatus en Cabo Pulmo"
"Alphestes immaculatus","Corredor",1998,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Alphestes immaculatus en Corredor"
"Alphestes immaculatus","Islas Marias",2010,2010,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Alphestes immaculatus en Islas Marias"
"Alphestes immaculatus","La Paz",1998,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Alphestes immaculatus en La Paz"
"Alphestes immaculatus","La Ventana",1999,2015,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Alphestes immaculatus en La Ventana"
"Alphestes immaculatus","Loreto",1998,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Alphestes immaculatus en Loreto"
"Alphestes immaculatus","Los Cabos",1999,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Alphestes immaculatus en Los Cabos"
"Alphestes immaculatus","Revillagigedo",2006,2006,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Alphestes immaculatus en Revillagigedo"
"Alphestes immaculatus","Santa Rosalia",1999,2010,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Alphestes immaculatus en Santa Rosalia"
"Aluterus scriptus","Bahia Banderas",2013,2013,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aluterus scriptus en Bahia Banderas"
"Aluterus scriptus","Cabo Pulmo",2009,2012,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aluterus scriptus en Cabo Pulmo"
"Aluterus scriptus","Huatulco",2016,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aluterus scriptus en Huatulco"
"Aluterus scriptus","La Paz",2014,2014,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aluterus scriptus en La Paz"
"Aluterus scriptus","La Ventana",1999,1999,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aluterus scriptus en La Ventana"
"Aluterus scriptus","Loreto",2011,2011,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aluterus scriptus en Loreto"
"Aluterus scriptus","Los Cabos",1999,2014,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aluterus scriptus en Los Cabos"
"Aluterus scriptus","Revillagigedo",2006,2006,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aluterus scriptus en Revillagigedo"
"Amphiaster insignis","Alto Golfo",2009,2010,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Amphiaster insignis en Alto Golfo"
"Amphiaster insignis","Corredor",2000,2014,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Amphiaster insignis en Corredor"
"Amphiaster insignis","La Paz",2002,2013,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Amphiaster insignis en La Paz"
"Amphiaster insignis","Loreto",2000,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Amphiaster insignis en Loreto"
"Anarchias galapagensis","Corredor",1998,1998,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Anarchias galapagensis en Corredor"
"Aniculus elegans","Alto Golfo",2010,2010,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aniculus elegans en Alto Golfo"
"Aniculus elegans","Bahia Banderas",2013,2013,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aniculus elegans en Bahia Banderas"
"Aniculus elegans","Cabo Pulmo",2009,2015,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aniculus elegans en Cabo Pulmo"
"Aniculus elegans","Corredor",2009,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aniculus elegans en Corredor"
"Aniculus elegans","Islas Marias",2010,2010,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aniculus elegans en Islas Marias"
"Aniculus elegans","La Paz",2006,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aniculus elegans en La Paz"
"Aniculus elegans","La Ventana",2015,2015,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aniculus elegans en La Ventana"
"Aniculus elegans","Loreto",2007,2013,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aniculus elegans en Loreto"
"Aniculus elegans","Los Cabos",2013,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aniculus elegans en Los Cabos"
"Anisotremus davidsonii","Alto Golfo",1999,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Anisotremus davidsonii en Alto Golfo"
"Anisotremus interruptus","Alto Golfo",1999,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Anisotremus interruptus en Alto Golfo"
"Anisotremus interruptus","Cabo Pulmo",1999,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Anisotremus interruptus en Cabo Pulmo"
"Anisotremus interruptus","Corredor",1999,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Anisotremus interruptus en Corredor"
"Anisotremus interruptus","Islas Marias",2010,2010,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Anisotremus interruptus en Islas Marias"
"Anisotremus interruptus","La Paz",1998,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Anisotremus interruptus en La Paz"
"Anisotremus interruptus","La Ventana",2009,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Anisotremus interruptus en La Ventana"
"Anisotremus interruptus","Loreto",1998,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Anisotremus interruptus en Loreto"
"Anisotremus interruptus","Los Cabos",2009,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Anisotremus interruptus en Los Cabos"
"Anisotremus interruptus","Revillagigedo",2006,2006,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Anisotremus interruptus en Revillagigedo"
"Anisotremus interruptus","Santa Rosalia",2009,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Anisotremus interruptus en Santa Rosalia"
"Anisotremus taeniatus","Bahia Banderas",2013,2013,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Anisotremus taeniatus en Bahia Banderas"
"Anisotremus taeniatus","Cabo Pulmo",1999,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Anisotremus taeniatus en Cabo Pulmo"
"Anisotremus taeniatus","Corredor",2013,2013,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Anisotremus taeniatus en Corredor"
"Anisotremus taeniatus","Huatulco",2016,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Anisotremus taeniatus en Huatulco"
"Anisotremus taeniatus","Islas Marias",2010,2010,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Anisotremus taeniatus en Islas Marias"
"Anisotremus taeniatus","La Paz",2013,2013,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Anisotremus taeniatus en La Paz"
"Anisotremus taeniatus","La Ventana",2016,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Anisotremus taeniatus en La Ventana"
"Anisotremus taeniatus","Loreto",2011,2013,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Anisotremus taeniatus en Loreto"
"Anisotremus taeniatus","Los Cabos",1999,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Anisotremus taeniatus en Los Cabos"
"Antiparactis sp1","Alto Golfo",2009,2010,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Antiparactis sp1 en Alto Golfo"
"Antiparactis sp1","Corredor",2009,2009,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Antiparactis sp1 en Corredor"
"Antipathes galapagensis","Alto Golfo",2009,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Antipathes galapagensis en Alto Golfo"
"Antipathes galapagensis","Corredor",2001,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Antipathes galapagensis en Corredor"
"Antipathes galapagensis","La Paz",2003,2013,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Antipathes galapagensis en La Paz"
"Antipathes galapagensis","La Ventana",2009,2009,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Antipathes galapagensis en La Ventana"
"Antipathes galapagensis","Loreto",2001,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Antipathes galapagensis en Loreto"
"Antipathes galapagensis","Santa Rosalia",2009,2010,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Antipathes galapagensis en Santa Rosalia"
"Antipathozoanthus cf. hickmani","Alto Golfo",2009,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Antipathozoanthus cf. hickmani en Alto Golfo"
"Antipathozoanthus cf. hickmani","Corredor",2012,2013,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Antipathozoanthus cf. hickmani en Corredor"
"Antipathozoanthus cf. hickmani","Loreto",2013,2013,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Antipathozoanthus cf. hickmani en Loreto"
"Aplidium californicum","Huatulco",2016,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplidium californicum en Huatulco"
"Aplysina airapi","La Paz",2003,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina airapi en La Paz"
"Aplysina aztecus","Islas Marias",2010,2010,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina aztecus en Islas Marias"
"Aplysina chiriquensis","Huatulco",2016,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina chiriquensis en Huatulco"
"Aplysina clathrata","Alto Golfo",2009,2013,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina clathrata en Alto Golfo"
"Aplysina clathrata","Bahia Banderas",2013,2013,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina clathrata en Bahia Banderas"
"Aplysina clathrata","Cabo Pulmo",2009,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina clathrata en Cabo Pulmo"
"Aplysina clathrata","Corredor",1998,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina clathrata en Corredor"
"Aplysina clathrata","Islas Marias",2010,2010,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina clathrata en Islas Marias"
"Aplysina clathrata","La Paz",1998,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina clathrata en La Paz"
"Aplysina clathrata","La Ventana",2009,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina clathrata en La Ventana"
"Aplysina clathrata","Loreto",1998,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina clathrata en Loreto"
"Aplysina clathrata","Los Cabos",1998,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina clathrata en Los Cabos"
"Aplysina clathrata","Revillagigedo",2006,2006,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina clathrata en Revillagigedo"
"Aplysina clathrata","Santa Rosalia",2009,2010,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina clathrata en Santa Rosalia"
"Aplysina encarnacione","La Paz",2005,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina encarnacione en La Paz"
"Aplysina gerardogreeni","Bahia Banderas",2013,2013,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina gerardogreeni en Bahia Banderas"
"Aplysina gerardogreeni","Huatulco",2016,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina gerardogreeni en Huatulco"
"Aplysina gerardogreeni","Islas Marias",2010,2010,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina gerardogreeni en Islas Marias"
"Aplysina gerardogreeni","Loreto",2016,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina gerardogreeni en Loreto"
"Aplysina revillagigedi","Revillagigedo",2006,2006,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina revillagigedi en Revillagigedo"
"Aplysina sinuscaliforniensis","La Paz",1998,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina sinuscaliforniensis en La Paz"
"Aplysina sp1","La Paz",2015,2015,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina sp1 en La Paz"
"Aplysina sp1","La Ventana",2015,2015,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina sp1 en La Ventana"
"Aplysina sp1","Los Cabos",1998,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina sp1 en Los Cabos"
"Aplysina sp2","La Ventana",2009,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina sp2 en La Ventana"
"Aplysina sp3","Cabo Pulmo",2009,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina sp3 en Cabo Pulmo"
"Aplysina sp4","La Paz",2016,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina sp4 en La Paz"
"Aplysina sp4","La Ventana",2016,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina sp4 en La Ventana"
"Aplysina sp5","Corredor",1998,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina sp5 en Corredor"
"Aplysina sp6","Corredor",2009,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina sp6 en Corredor"
"Aplysina sp6","Loreto",1999,2016,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina sp6 en Loreto"
"Aplysina sp6","Santa Rosalia",2009,2009,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina sp6 en Santa Rosalia"
"Aplysina sp7","Alto Golfo",2009,2010,"INV; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Aplysina sp7 en Alto Golfo"
"Apogon atradorsatus","Revillagigedo",2006,2006,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Apogon atradorsatus en Revillagigedo"
"Apogon dovii","Alto Golfo",2008,2008,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Apogon dovii en Alto Golfo"
"Apogon dovii","Loreto",2002,2002,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Apogon dovii en Loreto"
"Apogon guadalupensis","Revillagigedo",2006,2006,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Apogon guadalupensis en Revillagigedo"
"Apogon pacificus","Bahia Banderas",2013,2013,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Apogon pacificus en Bahia Banderas"
"Apogon pacificus","Cabo Pulmo",1999,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Apogon pacificus en Cabo Pulmo"
"Apogon pacificus","Corredor",2000,2015,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Apogon pacificus en Corredor"
"Apogon pacificus","Huatulco",2016,2016,"PEC; Monitoreo; Colecta; Talla; Auundancia","T1","Abundancia de Apogon pacificus en Huatulco"
