"","X1","X2","X3","X4","Comun","Sci1","Sci2","Sci3","Sci4"
"16","Jaiba","negra;gigante","Callinectes","toxotes","Jaiba negra;gigante","Callinectes toxotes","Jaiba negra;gigante","negra;gigante Callinectes","Jaiba negra;gigante"
"17","Mantas","rayas","redondas","Urobatis","Mantas rayas","redondas Urobatis","Mantas rayas","rayas redondas","Mantas rayas"
"18","Botete","diana","Sphoeroides","annulatus","Botete diana","Sphoeroides annulatus","Botete diana","diana Sphoeroides","Botete diana"
"19","Mojarra","Calamus","brachysomus",NA,"Mojarra Calamus","brachysomus NA","Mojarra Calamus","Calamus brachysomus","Mojarra Calamus"
"20","Pez","escorpion","Scorpaena","mystes","Pez escorpion","Scorpaena mystes","Pez escorpion","escorpion Scorpaena","Pez escorpion"
"21","Hipocampo","Hippocampus","ingens",NA,"Hipocampo Hippocampus","ingens NA","Hipocampo Hippocampus","Hippocampus ingens","Hipocampo Hippocampus"
"22","Cabrilla","de roca","Paralabrax","maculatofasciatus","Cabrilla de roca","Paralabrax maculatofasciatus","Cabrilla de roca","de roca Paralabrax","Cabrilla de roca"
"23","Caracol","chino rosa","Phyllonotus","erhythostoma","Caracol chino rosa","Phyllonotus erhythostoma","Caracol chino rosa","chino rosa Phyllonotus","Caracol chino rosa"
"24","Pulpo","Octopus","spp",NA,"Pulpo Octopus","spp NA","Pulpo Octopus","Octopus spp","Pulpo Octopus"
"25","Cauque;crecedor","Macrobrachium","americanum",NA,"Cauque;crecedor Macrobrachium","americanum NA","Cauque;crecedor Macrobrachium","Macrobrachium americanum","Cauque;crecedor Macrobrachium"
"26","Macrobrachium","tenellum",NA,NA,"Macrobrachium tenellum","NA NA","Macrobrachium tenellum","tenellum NA","Macrobrachium tenellum"
"27","pinto","Macrobrachium","acantochirus",NA,"pinto Macrobrachium","acantochirus NA","pinto Macrobrachium","Macrobrachium acantochirus","pinto Macrobrachium"
"28","zurdo","Macrobrachium","occidentale",NA,"zurdo Macrobrachium","occidentale NA","zurdo Macrobrachium","Macrobrachium occidentale","zurdo Macrobrachium"
"29","chano","Macrobrachium","michoacanus",NA,"chano Macrobrachium","michoacanus NA","chano Macrobrachium","Macrobrachium michoacanus","chano Macrobrachium"
"30","Burrita;espinuda","Atyia","sp",NA,"Burrita;espinuda Atyia","sp NA","Burrita;espinuda Atyia","Atyia sp","Burrita;espinuda Atyia"
"31","Sargazo","rojo","Gelidium","robustum","Sargazo rojo","Gelidium robustum","Sargazo rojo","rojo Gelidium","Sargazo rojo"
"32","Pelo","de cochi","Chondracanthus","canaliculatus","Pelo de cochi","Chondracanthus canaliculatus","Pelo de cochi","de cochi Chondracanthus","Pelo de cochi"
"33","Fideo","de mar","Gracilariopsis","lemaneiformis","Fideo de mar","Gracilariopsis lemaneiformis","Fideo de mar","de mar Gracilariopsis","Fideo de mar"
"34","Sargazo","Gigante","Macrocystis","pyrifera","Sargazo Gigante","Macrocystis pyrifera","Sargazo Gigante","Gigante Macrocystis","Sargazo Gigante"
"35","Marlin","Azul del Atlantico","Makaira","nigricans","Marlin Azul del Atlantico","Makaira nigricans","Marlin Azul del Atlantico","Azul del Atlantico Makaira","Marlin Azul del Atlantico"
"36","Marlin","Azul del Pazcifico","Makaira","mazara","Marlin Azul del Pazcifico","Makaira mazara","Marlin Azul del Pazcifico","Azul del Pazcifico Makaira","Marlin Azul del Pazcifico"
"37","Marlin","Negro","Makaira","indica","Marlin Negro","Makaira indica","Marlin Negro","Negro Makaira","Marlin Negro"
"38","Marlin","Rayado","Tetrapturus","audax","Marlin Rayado","Tetrapturus audax","Marlin Rayado","Rayado Tetrapturus","Marlin Rayado"
"39","Marlin","Blanco","Tetrapturus","albidus","Marlin Blanco","Tetrapturus albidus","Marlin Blanco","Blanco Tetrapturus","Marlin Blanco"
"40","Aguja","Corta","Tetrapturus","angustirostris","Aguja Corta","Tetrapturus angustirostris","Aguja Corta","Corta Tetrapturus","Aguja Corta"
"41","Mejillon","o Choro","Mytilus","californianus","Mejillon o Choro","Mytilus californianus","Mejillon o Choro","o Choro Mytilus","Mejillon o Choro"
"42","Mejillon","Mytilus","galloprovinsialis",NA,"Mejillon Mytilus","galloprovinsialis NA","Mejillon Mytilus","Mytilus galloprovinsialis","Mejillon Mytilus"
"43","Acanthurus","xanthopterus","Cirujano","aleta;amarilla;barbero","Acanthurus xanthopterus","Cirujano aleta;amarilla;barbero","Acanthurus xanthopterus","xanthopterus Cirujano","Acanthurus xanthopterus"
"44","Cochinito","punteado;puerco","Prionurus","punctatus","Cochinito punteado;puerco","Prionurus punctatus","Cochinito punteado;puerco","punteado;puerco Prionurus","Cochinito punteado;puerco"
"45","Macabi","de hebra","Albula","nemoptera","Macabi de hebra","Albula nemoptera","Macabi de hebra","de hebra Albula","Macabi de hebra"
"46","Bagre;barrigon;chihuil",NA,"Ariopsis","dasycephalus","Bagre;barrigon;chihuil NA","Ariopsis dasycephalus","Bagre;barrigon;chihuil NA","NA Ariopsis","Bagre;barrigon;chihuil NA"
"47","Bagre","cuatete;chihuil","Ariopsis","guatemalensis","Bagre cuatete;chihuil","Ariopsis guatemalensis","Bagre cuatete;chihuil","cuatete;chihuil Ariopsis","Bagre cuatete;chihuil"
"48","Bagre","esculpido","Ariopsis","kessleri","Bagre esculpido","Ariopsis kessleri","Bagre esculpido","esculpido Ariopsis","Bagre esculpido"
"49","Bagre;chihuil","cabeza","Notarius","planiceps","Bagre;chihuil cabeza","Notarius planiceps","Bagre;chihuil cabeza","cabeza Notarius","Bagre;chihuil cabeza"
"50","Bagre;chihuil","cominate","Sciades","platypogon","Bagre;chihuil cominate","Sciades platypogon","Bagre;chihuil cominate","cominate Sciades","Bagre;chihuil cominate"
"51","Bagre;chuihuil","tete","Sciades","seemani","Bagre;chuihuil tete","Sciades seemani","Bagre;chuihuil tete","tete Sciades","Bagre;chuihuil tete"
"52","Bagre","chihuil;tacazonte","Bagre","panamensis","Bagre chihuil;tacazonte","Bagre panamensis","Bagre chihuil;tacazonte","chihuil;tacazonte Bagre","Bagre chihuil;tacazonte"
"53","Bagre","barbon,condor","Bagre","pinnimaculatus","Bagre barbon,condor","Bagre pinnimaculatus","Bagre barbon,condor","barbon,condor Bagre","Bagre barbon,condor"
"54","Bagre;chihuil","de","Galeichthys","peruvianus","Bagre;chihuil de","Galeichthys peruvianus","Bagre;chihuil de","de Galeichthys","Bagre;chihuil de"
"55","Bota","negra","Pseudobalistes","naufragium","Bota negra","Pseudobalistes naufragium","Bota negra","negra Pseudobalistes","Bota negra"
"56","Cochi;bota;pejepuerco","Huachinango","Balistes","polylepis","Cochi;bota;pejepuerco Huachinango","Balistes polylepis","Cochi;bota;pejepuerco Huachinango","Huachinango Balistes","Cochi;bota;pejepuerco Huachinango"
"57","Cochito","bota;bota","Pseudobalistes","naufragium","Cochito bota;bota","Pseudobalistes naufragium","Cochito bota;bota","bota;bota Pseudobalistes","Cochito bota;bota"
"58","Cochi","naranja;bota;pejepuerco","Sufflamen","verres","Cochi naranja;bota;pejepuerco","Sufflamen verres","Cochi naranja;bota;pejepuerco","naranja;bota;pejepuerco Sufflamen","Cochi naranja;bota;pejepuerco"
"59","Agujon","californiano;aguja","Strongylura","exilis","Agujon californiano;aguja","Strongylura exilis","Agujon californiano;aguja","californiano;aguja Strongylura","Agujon californiano;aguja"
"60","Agujon",NA,"Tylosurus","pacificus","Agujon NA","Tylosurus pacificus","Agujon NA","NA Tylosurus","Agujon NA"
"61","Lenguado","con Estrella","Bothus","constellatus","Lenguado con Estrella","Bothus constellatus","Lenguado con Estrella","con Estrella Bothus","Lenguado con Estrella"
"62","Cocinero;chile;verde;jurel bonito",NA,"Carangoides","caballus","Cocinero;chile;verde;jurel bonito NA","Carangoides caballus","Cocinero;chile;verde;jurel bonito NA","NA Carangoides","Cocinero;chile;verde;jurel bonito NA"
"63","Jurel","de hebra;cocinero","Carangoides","otrynter","Jurel de hebra;cocinero","Carangoides otrynter","Jurel de hebra;cocinero","de hebra;cocinero Carangoides","Jurel de hebra;cocinero"
"64","Jurel",NA,"Carangoides","vinctus","Jurel NA","Carangoides vinctus","Jurel NA","NA Carangoides","Jurel NA"
"65","Jurel","toro","Caranx","caninus","Jurel toro","Caranx caninus","Jurel toro","toro Caranx","Jurel toro"
"66","Jurel","voraz;ojo de perra","Caranx","sexfasciatus","Jurel voraz;ojo de perra","Caranx sexfasciatus","Jurel voraz;ojo de perra","voraz;ojo de perra Caranx","Jurel voraz;ojo de perra"
"67","Jurel","de castilla;casabe","Chloroscombrus","orqueta","Jurel de castilla;casabe","Chloroscombrus orqueta","Jurel de castilla;casabe","de castilla;casabe Chloroscombrus","Jurel de castilla;casabe"
"68","Macarela;jurel","mexicano;platano","Decapterus","muroadsi","Macarela;jurel mexicano;platano","Decapterus muroadsi","Macarela;jurel mexicano;platano","mexicano;platano Decapterus","Macarela;jurel mexicano;platano"
"69","Macarela","salmon;macarela de altura","Elagatis","bipinnulata","Macarela salmon;macarela de altura","Elagatis bipinnulata","Macarela salmon;macarela de altura","salmon;macarela de altura Elagatis","Macarela salmon;macarela de altura"
"70","Choncho","rayado","Gnathonodon","speciosus","Choncho rayado","Gnathonodon speciosus","Choncho rayado","rayado Gnathonodon","Choncho rayado"
"71","Chocho;jurel","chumbo","Hemicaranx","zelotes","Chocho;jurel chumbo","Hemicaranx zelotes","Chocho;jurel chumbo","chumbo Hemicaranx","Chocho;jurel chumbo"
"72","Pina","bocona;cuchillo;chaqueta de cuero","Oligoplites","altus","Pina bocona;cuchillo;chaqueta de cuero","Oligoplites altus","Pina bocona;cuchillo;chaqueta de cuero","bocona;cuchillo;chaqueta de cuero Oligoplites","Pina bocona;cuchillo;chaqueta de cuero"
"73","Sardina","pina","Oligoplites","refulgens","Sardina pina","Oligoplites refulgens","Sardina pina","pina Oligoplites","Sardina pina"
"74","Pina","delgada","Oligoplites","saurus","Pina delgada","Oligoplites saurus","Pina delgada","delgada Oligoplites","Pina delgada"
"75","Chicharo","ojoton","Selar","crumenophthalmus","Chicharo ojoton","Selar crumenophthalmus","Chicharo ojoton","ojoton Selar","Chicharo ojoton"
"76","Jorobado","mexicano;toston","Selene","brevoortii","Jorobado mexicano;toston","Selene brevoortii","Jorobado mexicano;toston","mexicano;toston Selene","Jorobado mexicano;toston"
"77","Jorobado","carite;chancla","Selene","oerstedii","Jorobado carite;chancla","Selene oerstedii","Jorobado carite;chancla","carite;chancla Selene","Jorobado carite;chancla"
"78","Jorobado","espejo;papelillo;caballo","Selene","peruviana","Jorobado espejo;papelillo;caballo","Selene peruviana","Jorobado espejo;papelillo;caballo","espejo;papelillo;caballo Selene","Jorobado espejo;papelillo;caballo"
"79","Medregal","cola amarilla","Seriola","lalandi","Medregal cola amarilla","Seriola lalandi","Medregal cola amarilla","cola amarilla Seriola","Medregal cola amarilla"
"80","Medregal","fortuno;piriri","Seriola","peruana","Medregal fortuno;piriri","Seriola peruana","Medregal fortuno;piriri","fortuno;piriri Seriola","Medregal fortuno;piriri"
"81","Medregal","limon;pez","Seriola","rivoliana","Medregal limon;pez","Seriola rivoliana","Medregal limon;pez","limon;pez Seriola","Medregal limon;pez"
"82","Pampano","paloma","Trachinotus","paitensis","Pampano paloma","Trachinotus paitensis","Pampano paloma","paloma Trachinotus","Pampano paloma"
"83","Pampano","fino;pampano","Trachinotus","rhodopus","Pampano fino;pampano","Trachinotus rhodopus","Pampano fino;pampano","fino;pampano Trachinotus","Pampano fino;pampano"
"84","Charrito","Sierras","Trachurus","symmetricus","Charrito Sierras","Trachurus symmetricus","Charrito Sierras","Sierras Trachurus","Charrito Sierras"
"85","Tiburon","Lenguados","Carcharhinus","falciformis","Tiburon Lenguados","Carcharhinus falciformis","Tiburon Lenguados","Lenguados Carcharhinus","Tiburon Lenguados"
"86","Cazon","bironche","Rhizoprionodon","longurio","Cazon bironche","Rhizoprionodon longurio","Cazon bironche","bironche Rhizoprionodon","Cazon bironche"
"87","Robalo","espina larga","Centropomus","armatus","Robalo espina larga","Centropomus armatus","Robalo espina larga","espina larga Centropomus","Robalo espina larga"
"88","Robalo","aleta orieta","Centropomus","medius","Robalo aleta orieta","Centropomus medius","Robalo aleta orieta","aleta orieta Centropomus","Robalo aleta orieta"
"89","Robaloprieto;robalo","piedra","Centropomus","nigrescens","Robaloprieto;robalo piedra","Centropomus nigrescens","Robaloprieto;robalo piedra","piedra Centropomus","Robaloprieto;robalo piedra"
"90","Robalo","aleta amarilla","Centropomus","robalito","Robalo aleta amarilla","Centropomus robalito","Robalo aleta amarilla","aleta amarilla Centropomus","Robalo aleta amarilla"
"91","Robalo","serrano","Centropomus","unionensis","Robalo serrano","Centropomus unionensis","Robalo serrano","serrano Centropomus","Robalo serrano"
"92","Robalo","plateado;robalo garabato","Centropomus","viridis","Robalo plateado;robalo garabato","Centropomus viridis","Robalo plateado;robalo garabato","plateado;robalo garabato Centropomus","Robalo plateado;robalo garabato"
"93","Sardinita","plumilla","Harengula","thrissina","Sardinita plumilla","Harengula thrissina","Sardinita plumilla","plumilla Harengula","Sardinita plumilla"
"94","Sardinita","agua dulce","Lile","gracilis","Sardinita agua dulce","Lile gracilis","Sardinita agua dulce","agua dulce Lile","Sardinita agua dulce"
"95","Sardinita","banda plateada","Lile","stolifera","Sardinita banda plateada","Lile stolifera","Sardinita banda plateada","banda plateada Lile","Sardinita banda plateada"
"96","Sardina","crinuda azul","Opisthonema","bulleri","Sardina crinuda azul","Opisthonema bulleri","Sardina crinuda azul","crinuda azul Opisthonema","Sardina crinuda azul"
"97","Sardina","crinuda","Opisthonema","libertate","Sardina crinuda","Opisthonema libertate","Sardina crinuda","crinuda Opisthonema","Sardina crinuda"
"98","Sardina","crinuda machete","Opisthonema","medirastre","Sardina crinuda machete","Opisthonema medirastre","Sardina crinuda machete","crinuda machete Opisthonema","Sardina crinuda machete"
"99","Sardina,arenquilla","aleta amarilla","Pliosteostema","lutipinnis","Sardina,arenquilla aleta amarilla","Pliosteostema lutipinnis","Sardina,arenquilla aleta amarilla","aleta amarilla Pliosteostema","Sardina,arenquilla aleta amarilla"
"100","Sardina","del noroeste","Sardinops","caerulaeus","Sardina del noroeste","Sardinops caerulaeus","Sardina del noroeste","del noroeste Sardinops","Sardina del noroeste"
"101","Dorado","enano","Coryphaena","equiselis","Dorado enano","Coryphaena equiselis","Dorado enano","enano Coryphaena","Dorado enano"
"102","Dorado","Sierras","Coryphaena","hippurus","Dorado Sierras","Coryphaena hippurus","Dorado Sierras","Sierras Coryphaena","Dorado Sierras"
"103","Sabalote","Lisas","Chanos","chanos","Sabalote Lisas","Chanos chanos","Sabalote Lisas","Lisas Chanos","Sabalote Lisas"
"104","Raya","latigo comun","Dasyatis","dipterura","Raya latigo comun","Dasyatis dipterura","Raya latigo comun","latigo comun Dasyatis","Raya latigo comun"
"105","Mantarraya","Rayas","Dasyatis","longus","Mantarraya Rayas","Dasyatis longus","Mantarraya Rayas","Rayas Dasyatis","Mantarraya Rayas"
"106","Raya","coluda del Pacifico","Himantura","pacifica","Raya coluda del Pacifico","Himantura pacifica","Raya coluda del Pacifico","coluda del Pacifico Himantura","Raya coluda del Pacifico"
"107","Pez","erizo mapache","Diodon","holocanthus","Pez erizo mapache","Diodon holocanthus","Pez erizo mapache","erizo mapache Diodon","Pez erizo mapache"
"108","Pez","erizo pecoso","Diodon","hystrix","Pez erizo pecoso","Diodon hystrix","Pez erizo pecoso","erizo pecoso Diodon","Pez erizo pecoso"
"109","Popoyote;puyeki;dormilon",NA,"Dormitator","latifrons","Popoyote;puyeki;dormilon NA","Dormitator latifrons","Popoyote;puyeki;dormilon NA","NA Dormitator","Popoyote;puyeki;dormilon NA"
"110","Guavina","manchada","Gobiomorus","maculatus","Guavina manchada","Gobiomorus maculatus","Guavina manchada","manchada Gobiomorus","Guavina manchada"
"111","Machete","del Pacifico","Elops","affinis","Machete del Pacifico","Elops affinis","Machete del Pacifico","del Pacifico Elops","Machete del Pacifico"
"112","Mojarra","labios de hule","Rhacochilus","toxotes","Mojarra labios de hule","Rhacochilus toxotes","Mojarra labios de hule","labios de hule Rhacochilus","Mojarra labios de hule"
"113","Anchoveta;anchoa","chicotera chicotera","Anchoa","ischana","Anchoveta;anchoa chicotera chicotera","Anchoa ischana","Anchoveta;anchoa chicotera chicotera","chicotera chicotera Anchoa","Anchoveta;anchoa chicotera chicotera"
"114","Anchoveta",NA,"Anchovia","macrolepidota","Anchoveta NA","Anchovia macrolepidota","Anchoveta NA","NA Anchovia","Anchoveta NA"
"115","Sardina","bocona;boqueron","Cetengraulis","mysticetus","Sardina bocona;boqueron","Cetengraulis mysticetus","Sardina bocona;boqueron","bocona;boqueron Cetengraulis","Sardina bocona;boqueron"
"116","Anchoveta","Sardina","Engraulis","mordax","Anchoveta Sardina","Engraulis mordax","Anchoveta Sardina","Sardina Engraulis","Anchoveta Sardina"
"117","Zopilote;peluquero;chavelito;chambo;zapatero","Huachinango","Chaetodipterus","zonatus","Zopilote;peluquero;chavelito;chambo;zapatero Huachinango","Chaetodipterus zonatus","Zopilote;peluquero;chavelito;chambo;zapatero Huachinango","Huachinango Chaetodipterus","Zopilote;peluquero;chavelito;chambo;zapatero Huachinango"
"118","Mona","Sierras","Parapsettus","panamensis","Mona Sierras","Parapsettus panamensis","Mona Sierras","Sierras Parapsettus","Mona Sierras"
"119","Trompeta;corneta","pintada","Fistularia","commersonii","Trompeta;corneta pintada","Fistularia commersonii","Trompeta;corneta pintada","pintada Fistularia","Trompeta;corneta pintada"
"120","Mojarra","palometa","Diapterus","aureolus","Mojarra palometa","Diapterus aureolus","Mojarra palometa","palometa Diapterus","Mojarra palometa"
"121","Mojarra","aletas amarilla;mojarra","Diapterus","brevirostris","Mojarra aletas amarilla;mojarra","Diapterus brevirostris","Mojarra aletas amarilla;mojarra","aletas amarilla;mojarra Diapterus","Mojarra aletas amarilla;mojarra"
"122","Mojarra","tricolor","Eucinostomus","currani","Mojarra tricolor","Eucinostomus currani","Mojarra tricolor","tricolor Eucinostomus","Mojarra tricolor"
"123","Mojarra","cantilena;mojarra blanca","Eucinostomus","dowii","Mojarra cantilena;mojarra blanca","Eucinostomus dowii","Mojarra cantilena;mojarra blanca","cantilena;mojarra blanca Eucinostomus","Mojarra cantilena;mojarra blanca"
"124","Mojarra","mancha negra","Eucinostomus","entomelas","Mojarra mancha negra","Eucinostomus entomelas","Mojarra mancha negra","mancha negra Eucinostomus","Mojarra mancha negra"
"125","Mojarra","charrita","Eucinostomus","gracilis","Mojarra charrita","Eucinostomus gracilis","Mojarra charrita","charrita Eucinostomus","Mojarra charrita"
"126","Mojarra","malacapa","Eugerres","axillaris","Mojarra malacapa","Eugerres axillaris","Mojarra malacapa","malacapa Eugerres","Mojarra malacapa"
"127","Mojarra","aleta corta","Eugerres","brevimanus","Mojarra aleta corta","Eugerres brevimanus","Mojarra aleta corta","aleta corta Eugerres","Mojarra aleta corta"
"128","Mojarra","bandera;mojarra rayada","Gerres","cinereus","Mojarra bandera;mojarra rayada","Gerres cinereus","Mojarra bandera;mojarra rayada","bandera;mojarra rayada Gerres","Mojarra bandera;mojarra rayada"
"129","Raya","mariposa;raya aletilla","Gymnura","crebripunctata","Raya mariposa;raya aletilla","Gymnura crebripunctata","Raya mariposa;raya aletilla","mariposa;raya aletilla Gymnura","Raya mariposa;raya aletilla"
"130","Raya","mariposa californiana","Gymnura","marmorata","Raya mariposa californiana","Gymnura marmorata","Raya mariposa californiana","mariposa californiana Gymnura","Raya mariposa californiana"
"131","Burro","bacoco;mojarra chopa","Anisotremus","interruptus","Burro bacoco;mojarra chopa","Anisotremus interruptus","Burro bacoco;mojarra chopa","bacoco;mojarra chopa Anisotremus","Burro bacoco;mojarra chopa"
"132","Burro","bandera","Anisotremus","taeniatus","Burro bandera","Anisotremus taeniatus","Burro bandera","bandera Anisotremus","Burro bandera"
"133","Ronco","chano;burro manchas amarillas","Haemulon","flaviguttatum","Ronco chano;burro manchas amarillas","Haemulon flaviguttatum","Ronco chano;burro manchas amarillas","chano;burro manchas amarillas Haemulon","Ronco chano;burro manchas amarillas"
"134","Burro","rasposo","Haemulon","maculicauda","Burro rasposo","Haemulon maculicauda","Burro rasposo","rasposo Haemulon","Burro rasposo"
"135","mojarra","amarilla","Haemulon","scudderii","mojarra amarilla","Haemulon scudderii","mojarra amarilla","amarilla Haemulon","mojarra amarilla"
"136","Burro","almejero;guzga,mojarra","Haemulon","sexfasciatum","Burro almejero;guzga,mojarra","Haemulon sexfasciatum","Burro almejero;guzga,mojarra","almejero;guzga,mojarra Haemulon","Burro almejero;guzga,mojarra"
"137","Ronco","roncacho","Haemulopsis","leuciscus","Ronco roncacho","Haemulopsis leuciscus","Ronco roncacho","roncacho Haemulopsis","Ronco roncacho"
"138","Sarangola","Sierras","Microleidotus","brevipinna","Sarangola Sierras","Microleidotus brevipinna","Sarangola Sierras","Sierras Microleidotus","Sarangola Sierras"
"139","Ronco","rayadillo","Microlepidotus","inornatus","Ronco rayadillo","Microlepidotus inornatus","Ronco rayadillo","rayadillo Microlepidotus","Ronco rayadillo"
"140","Burrito","corcovado","Orthopristis","chalceus","Burrito corcovado","Orthopristis chalceus","Burrito corcovado","corcovado Orthopristis","Burrito corcovado"
"141","Burrito;ronco","rayado,mojarra hedionda","Orthopristis","reddingi","Burrito;ronco rayado,mojarra hedionda","Orthopristis reddingi","Burrito;ronco rayado,mojarra hedionda","rayado,mojarra hedionda Orthopristis","Burrito;ronco rayado,mojarra hedionda"
"142","Burro","rayadito","Haemulopsis","leuciscus","Burro rayadito","Haemulopsis leuciscus","Burro rayadito","rayadito Haemulopsis","Burro rayadito"
"143","Burro","bandeado","Pomadasys","macracanthus","Burro bandeado","Pomadasys macracanthus","Burro bandeado","bandeado Pomadasys","Burro bandeado"
"144","Ronco","mapache;burro","Pomadasys","panamensis","Ronco mapache;burro","Pomadasys panamensis","Ronco mapache;burro","mapache;burro Pomadasys","Ronco mapache;burro"
"145","Chula;jiguagua;salmonete","Huachinango","Xenichthys","xanti","Chula;jiguagua;salmonete Huachinango","Xenichthys xanti","Chula;jiguagua;salmonete Huachinango","Huachinango Xenichthys","Chula;jiguagua;salmonete Huachinango"
"146","Pajarito","choelo","Hyporhamphus","gilli","Pajarito choelo","Hyporhamphus gilli","Pajarito choelo","choelo Hyporhamphus","Pajarito choelo"
"147","Pajarito","blanco","Hyporhamphus","nao","Pajarito blanco","Hyporhamphus nao","Pajarito blanco","blanco Hyporhamphus","Pajarito blanco"
"148","Pajarito","californiano","Hyporhamphus","rosae","Pajarito californiano","Hyporhamphus rosae","Pajarito californiano","californiano Hyporhamphus","Pajarito californiano"
"149","Pajarito","choca","Hyporhamphus","snyderi","Pajarito choca","Hyporhamphus snyderi","Pajarito choca","choca Hyporhamphus","Pajarito choca"
"150","Lingcod","Baquetas","Ophiodon","elongatus","Lingcod Baquetas","Ophiodon elongatus","Lingcod Baquetas","Baquetas Ophiodon","Lingcod Baquetas"
"151","Miracielo","buldog;aguado","Kathetostoma","averruncus","Miracielo buldog;aguado","Kathetostoma averruncus","Miracielo buldog;aguado","buldog;aguado Kathetostoma","Miracielo buldog;aguado"
"152","Chopa","negra","Girella","nigricans","Chopa negra","Girella nigricans","Chopa negra","negra Girella","Chopa negra"
"153","Chopa","bonita","Hermosilla","azurea","Chopa bonita","Hermosilla azurea","Chopa bonita","bonita Hermosilla","Chopa bonita"
"154","Chopa","rayada","Kyphosus","analogus","Chopa rayada","Kyphosus analogus","Chopa rayada","rayada Kyphosus","Chopa rayada"
"155","Chopa","de Cortes","Kyphosus","elegans","Chopa de Cortes","Kyphosus elegans","Chopa de Cortes","de Cortes Kyphosus","Chopa de Cortes"
"156","Chopa","medialuna","Medialuna","californiensis","Chopa medialuna","Medialuna californiensis","Chopa medialuna","medialuna Medialuna","Chopa medialuna"
"157","Chopa","salema;zulema","Sectator","ocyurus","Chopa salema;zulema","Sectator ocyurus","Chopa salema;zulema","salema;zulema Sectator","Chopa salema;zulema"
"158","Vieja","mexicana","Bodianus","diplotaenia","Vieja mexicana","Bodianus diplotaenia","Vieja mexicana","mexicana Bodianus","Vieja mexicana"
"159","Blanquillo","Pierna","Caulolatilus","hubbsi","Blanquillo Pierna","Caulolatilus hubbsi","Blanquillo Pierna","Pierna Caulolatilus","Blanquillo Pierna"
"160","Pierna;blanquillo","Pierna","Caulolatilus","princeps","Pierna;blanquillo Pierna","Caulolatilus princeps","Pierna;blanquillo Pierna","Pierna Caulolatilus","Pierna;blanquillo Pierna"
"161","Merluza","enana","Merluccius","angustimanus","Merluza enana","Merluccius angustimanus","Merluza enana","enana Merluccius","Merluza enana"
"162","Merluza","nortena","Merluccius","productus","Merluza nortena","Merluccius productus","Merluza nortena","nortena Merluccius","Merluza nortena"
"163","Mantarraya;manta","gigante","Manta","birostris","Mantarraya;manta gigante","Manta birostris","Mantarraya;manta gigante","gigante Manta","Mantarraya;manta gigante"
"164","Manta","arpon","Mobula","japanica","Manta arpon","Mobula japanica","Manta arpon","arpon Mobula","Manta arpon"
"165","Manta","chica","Mobula","munkiana","Manta chica","Mobula munkiana","Manta chica","chica Mobula","Manta chica"
"166","Manta","tarapacana","Mobula","tarapacana","Manta tarapacana","Mobula tarapacana","Manta tarapacana","tarapacana Mobula","Manta tarapacana"
