"","Comun","Especie","Titulo","Localidad","Datos","Title","key"
"11","Erizo Rojo","Strongylocentrotus franciscanus","Epocas y Zonas de Veda Temporal de","Pacifico",1,"Epocas y Zonas de Veda Temporal de Erizo Rojo ( Strongylocentrotus franciscanus )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Erizo Rojo Strongylocentrotus franciscanus"
"12","Jaiba","Callinectes arcuatus","Epocas y Zonas de Veda Temporal de","Pacifico",1,"Epocas y Zonas de Veda Temporal de Jaiba ( Callinectes arcuatus )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Jaiba Callinectes arcuatus"
"13","Jaiba","Callinectes bellicosus","Epocas y Zonas de Veda Temporal de","Pacifico",1,"Epocas y Zonas de Veda Temporal de Jaiba ( Callinectes bellicosus )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Jaiba Callinectes bellicosus"
"14","Jaiba","Callinectes toxotes","Epocas y Zonas de Veda Temporal de","Pacifico",1,"Epocas y Zonas de Veda Temporal de Jaiba ( Callinectes toxotes )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Jaiba Callinectes toxotes"
"15","Langosta azul","Panulirus inflatus","Epocas y Zonas de Veda Temporal de","Pacifico",1,"Epocas y Zonas de Veda Temporal de Langosta azul ( Panulirus inflatus )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Langosta azul Panulirus inflatus"
"16","Langosta roja","Panulirus interruptus","Epocas y Zonas de Veda Temporal de","Pacifico",1,"Epocas y Zonas de Veda Temporal de Langosta roja ( Panulirus interruptus )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Langosta roja Panulirus interruptus"
"17","Langosta verde","Panulirus gracilis","Epocas y Zonas de Veda Temporal de","Pacifico",1,"Epocas y Zonas de Veda Temporal de Langosta verde ( Panulirus gracilis )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Langosta verde Panulirus gracilis"
"18","Langosta insular","Panulirus penicillatus","Epocas y Zonas de Veda Temporal de","Pacifico",1,"Epocas y Zonas de Veda Temporal de Langosta insular ( Panulirus penicillatus )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Langosta insular Panulirus penicillatus"
"19","Liseta","Mugil curema","Epocas y Zonas de Veda Temporal de","Pacifico",1,"Epocas y Zonas de Veda Temporal de Liseta ( Mugil curema )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Liseta Mugil curema"
"20","Lisa","Mugil cephalus","Epocas y Zonas de Veda Temporal de","Pacifico",1,"Epocas y Zonas de Veda Temporal de Lisa ( Mugil cephalus )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Lisa Mugil cephalus"
"21","Ostion de Placer","Crassostrea cortiziensis","Epocas y Zonas de Veda Temporal de","Pacifico",1,"Epocas y Zonas de Veda Temporal de Ostion de Placer ( Crassostrea cortiziensis )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Ostion de Placer Crassostrea cortiziensis"
"22","Ostion de Roca","Crassostrea iridiscens","Epocas y Zonas de Veda Temporal de","Pacifico",1,"Epocas y Zonas de Veda Temporal de Ostion de Roca ( Crassostrea iridiscens )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Ostion de Roca Crassostrea iridiscens"
"23","Rayas","Todas las Especies","Epocas y Zonas de Veda Temporal de","Pacifico",1,"Epocas y Zonas de Veda Temporal de Rayas ( Todas las Especies )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Rayas Todas las Especies"
"24","Tiburones","Todas las Especies","Epocas y Zonas de Veda Temporal de","Pacifico",1,"Epocas y Zonas de Veda Temporal de Tiburones ( Todas las Especies )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Tiburones Todas las Especies"
"25","Bobo","Joturus sp","Epocas y Zonas de Veda Temporal de","Atlantico",1,"Epocas y Zonas de Veda Temporal de Bobo ( Joturus sp )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Bobo Joturus sp"
"26","Caracol lanceta","Strombus costatus","Epocas y Zonas de Veda Temporal de","Atlantico",1,"Epocas y Zonas de Veda Temporal de Caracol lanceta ( Strombus costatus )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Caracol lanceta Strombus costatus"
"27","Caracol tomburro","Xancus sp.","Epocas y Zonas de Veda Temporal de","Atlantico",1,"Epocas y Zonas de Veda Temporal de Caracol tomburro ( Xancus sp. )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Caracol tomburro Xancus sp."
"28","Caracol chivita","Busycom sp.","Epocas y Zonas de Veda Temporal de","Atlantico",1,"Epocas y Zonas de Veda Temporal de Caracol chivita ( Busycom sp. )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Caracol chivita Busycom sp."
"29","Caracol chactel","Pleuroploca gigantea","Epocas y Zonas de Veda Temporal de","Atlantico",1,"Epocas y Zonas de Veda Temporal de Caracol chactel ( Pleuroploca gigantea )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Caracol chactel Pleuroploca gigantea"
"30","Caracol blanco o rosado","Strombus gigas","Epocas y Zonas de Veda Temporal de","Atlantico",1,"Epocas y Zonas de Veda Temporal de Caracol blanco o rosado ( Strombus gigas )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Caracol blanco o rosado Strombus gigas"
"31","Caracol","Todas las Especies","Epocas y Zonas de Veda Temporal de","Atlantico",1,"Epocas y Zonas de Veda Temporal de Caracol ( Todas las Especies )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Caracol Todas las Especies"
"32","Langosta del caribe","Panulirus argus","Epocas y Zonas de Veda Temporal de","Atlantico",1,"Epocas y Zonas de Veda Temporal de Langosta del caribe ( Panulirus argus )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Langosta del caribe Panulirus argus"
"33","Langosta pinta","Panulirus guttatus","Epocas y Zonas de Veda Temporal de","Atlantico",1,"Epocas y Zonas de Veda Temporal de Langosta pinta ( Panulirus guttatus )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Langosta pinta Panulirus guttatus"
"34","Langosta verde","Panulirus laevicauda","Epocas y Zonas de Veda Temporal de","Atlantico",1,"Epocas y Zonas de Veda Temporal de Langosta verde ( Panulirus laevicauda )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Langosta verde Panulirus laevicauda"
"35","Lisa","Mugil cephalus","Epocas y Zonas de Veda Temporal de","Atlantico",1,"Epocas y Zonas de Veda Temporal de Lisa ( Mugil cephalus )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Lisa Mugil cephalus"
"36","Liseta","Mugil curema","Epocas y Zonas de Veda Temporal de","Atlantico",1,"Epocas y Zonas de Veda Temporal de Liseta ( Mugil curema )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Liseta Mugil curema"
"37","Mero Rojo","Epinephelus morio","Epocas y Zonas de Veda Temporal de","Atlantico",1,"Epocas y Zonas de Veda Temporal de Mero Rojo ( Epinephelus morio )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Mero Rojo Epinephelus morio"
"38","Ostion","Crassostrea virginica","Epocas y Zonas de Veda Temporal de","Atlantico",1,"Epocas y Zonas de Veda Temporal de Ostion ( Crassostrea virginica )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Ostion Crassostrea virginica"
"39","Pepino de mar","Todas las Especies","Epocas y Zonas de Veda Temporal de","Atlantico",1,"Epocas y Zonas de Veda Temporal de Pepino de mar ( Todas las Especies )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Pepino de mar Todas las Especies"
"40","Pulpo","Octopus vulgaris","Epocas y Zonas de Veda Temporal de","Atlantico",1,"Epocas y Zonas de Veda Temporal de Pulpo ( Octopus vulgaris )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Pulpo Octopus vulgaris"
"41","Pulpo","Octopus maya","Epocas y Zonas de Veda Temporal de","Atlantico",1,"Epocas y Zonas de Veda Temporal de Pulpo ( Octopus maya )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Pulpo Octopus maya"
"42","Robalo Blanco","Centropomus spp","Epocas y Zonas de Veda Temporal de","Atlantico",1,"Epocas y Zonas de Veda Temporal de Robalo Blanco ( Centropomus spp )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Robalo Blanco Centropomus spp"
"43","Robalo Prieto","Centropomus spp","Epocas y Zonas de Veda Temporal de","Atlantico",1,"Epocas y Zonas de Veda Temporal de Robalo Prieto ( Centropomus spp )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Robalo Prieto Centropomus spp"
"44","Tiburones","Todas las Especies","Epocas y Zonas de Veda Temporal de","Atlantico",1,"Epocas y Zonas de Veda Temporal de Tiburones ( Todas las Especies )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Tiburones Todas las Especies"
"45","Camaron blanco","Litopenaeus vannamei","Epocas y Zonas de Veda Temporal de","Nacional",4,"Epocas y Zonas de Veda Temporal de Camaron blanco ( Litopenaeus vannamei )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Camaron blanco Litopenaeus vannamei"
"46","Camaron azul","Litopenaeus stylirostris","Epocas y Zonas de Veda Temporal de","Nacional",2,"Epocas y Zonas de Veda Temporal de Camaron azul ( Litopenaeus stylirostris )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Camaron azul Litopenaeus stylirostris"
"47","Camaron cafe","Farfantepenaeus aztecus","Epocas y Zonas de Veda Temporal de","Nacional",3,"Epocas y Zonas de Veda Temporal de Camaron cafe ( Farfantepenaeus aztecus )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Camaron cafe Farfantepenaeus aztecus"
"48","Camaron cafe","Farfantepenaeus californiensis","Epocas y Zonas de Veda Temporal de","Nacional",3,"Epocas y Zonas de Veda Temporal de Camaron cafe ( Farfantepenaeus californiensis )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Camaron cafe Farfantepenaeus californiensis"
"49","Camaron blanco del sur","Litopenaeus occidentalis","Epocas y Zonas de Veda Temporal de","Nacional",1,"Epocas y Zonas de Veda Temporal de Camaron blanco del sur ( Litopenaeus occidentalis )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Camaron blanco del sur Litopenaeus occidentalis"
"50","Camaron cristal","Farfantepenaeus brevirostris","Epocas y Zonas de Veda Temporal de","Nacional",1,"Epocas y Zonas de Veda Temporal de Camaron cristal ( Farfantepenaeus brevirostris )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Camaron cristal Farfantepenaeus brevirostris"
"51","Camaron siete barbas del Pacifico","Xiphopenaeus riveti","Epocas y Zonas de Veda Temporal de","Nacional",2,"Epocas y Zonas de Veda Temporal de Camaron siete barbas del Pacifico ( Xiphopenaeus riveti )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Camaron siete barbas del Pacifico Xiphopenaeus riveti"
"52","Camaron de roca","Sycionia disdorsalis","Epocas y Zonas de Veda Temporal de","Nacional",1,"Epocas y Zonas de Veda Temporal de Camaron de roca ( Sycionia disdorsalis )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Camaron de roca Sycionia disdorsalis"
"53","Camaron de roca","Sicyonia penicillata","Epocas y Zonas de Veda Temporal de","Nacional",1,"Epocas y Zonas de Veda Temporal de Camaron de roca ( Sicyonia penicillata )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Camaron de roca Sicyonia penicillata"
"54","Camaron zebra","Trachypenaeus faoe","Epocas y Zonas de Veda Temporal de","Nacional",1,"Epocas y Zonas de Veda Temporal de Camaron zebra ( Trachypenaeus faoe )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Camaron zebra Trachypenaeus faoe"
"55","Camaron rojo real","Pleoticus robustus","Epocas y Zonas de Veda Temporal de","Nacional",1,"Epocas y Zonas de Veda Temporal de Camaron rojo real ( Pleoticus robustus )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Camaron rojo real Pleoticus robustus"
"56","Camaron botalon","Trachypenaeus pacificus","Epocas y Zonas de Veda Temporal de","Nacional",1,"Epocas y Zonas de Veda Temporal de Camaron botalon ( Trachypenaeus pacificus )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Camaron botalon Trachypenaeus pacificus"
"57","Camaron rosado","Farfantepenaeus duorarum","Epocas y Zonas de Veda Temporal de","Nacional",3,"Epocas y Zonas de Veda Temporal de Camaron rosado ( Farfantepenaeus duorarum )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Camaron rosado Farfantepenaeus duorarum"
"58","Camaron rojo","Farfantepenaeus brasiliensis","Epocas y Zonas de Veda Temporal de","Nacional",3,"Epocas y Zonas de Veda Temporal de Camaron rojo ( Farfantepenaeus brasiliensis )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Camaron rojo Farfantepenaeus brasiliensis"
"59","Camaron de roca","Sicyonia brevirostris","Epocas y Zonas de Veda Temporal de","Nacional",3,"Epocas y Zonas de Veda Temporal de Camaron de roca ( Sicyonia brevirostris )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Camaron de roca Sicyonia brevirostris"
"60","Camaron sintetico","Trachypenaeus similis","Epocas y Zonas de Veda Temporal de","Nacional",3,"Epocas y Zonas de Veda Temporal de Camaron sintetico ( Trachypenaeus similis )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Camaron sintetico Trachypenaeus similis"
"61","Camaron sintetico","Trachypenaeus constrictus","Epocas y Zonas de Veda Temporal de","Nacional",3,"Epocas y Zonas de Veda Temporal de Camaron sintetico ( Trachypenaeus constrictus )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Camaron sintetico Trachypenaeus constrictus"
"62","Camaron Blanco","Litopenaeus setiferus","Epocas y Zonas de Veda Temporal de","Nacional",1,"Epocas y Zonas de Veda Temporal de Camaron Blanco ( Litopenaeus setiferus )","Nom; Veda; Temporal; SEMARNAT; Secretaria; Medio; Ambiente; Recursos; Naturales; Conservacion; Proteccion; Camaron Blanco Litopenaeus setiferus"
