"","NOMBRE_OFICINA","NOMBRE_PRINCIPAL","Min_Y","Max_Y","DATA.POINTS","LOCALIZACION","Key_Pro","Key_Valor","Uno","dos"
"22","CD. OBREGON","OSTION",2016,2017,2,"SONORA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OSTION en CD. OBREGON"
"23","CHAPALA","BAGRE",2016,2017,2,"JALISCO","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de BAGRE en CHAPALA"
"24","CHAPALA","MOJARRA",2013,2017,5,"JALISCO","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en CHAPALA"
"25","CHAPALA","OTRAS",2016,2016,1,"JALISCO","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OTRAS en CHAPALA"
"26","COLIMA","BAGRE",2016,2016,1,"COLIMA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de BAGRE en COLIMA"
"27","COLIMA","CAMARON",2012,2017,6,"COLIMA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de CAMARON en COLIMA"
"28","COLIMA","MOJARRA",2012,2017,6,"COLIMA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en COLIMA"
"29","CUITZEO","MOJARRA",2013,2017,4,"MICHOACAN","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en CUITZEO"
"30","CUITZEO","OTRAS",2013,2017,5,"MICHOACAN","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OTRAS en CUITZEO"
"31","CUITZEO","TRUCHA",2012,2017,6,"MICHOACAN","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de TRUCHA en CUITZEO"
"32","CULIACAN","ALMEJA",2017,2017,1,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de ALMEJA en CULIACAN"
"33","CULIACAN","CAMARON",2012,2017,6,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de CAMARON en CULIACAN"
"34","CULIACAN","MOJARRA",2012,2017,6,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en CULIACAN"
"35","EL FUERTE","BAGRE",2015,2016,2,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de BAGRE en EL FUERTE"
"36","EL FUERTE","MOJARRA",2013,2017,5,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en EL FUERTE"
"37","EL FUERTE","OSTION",2016,2016,1,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OSTION en EL FUERTE"
"38","EL RANCHITO (COAHUAYANA)","MOJARRA",2012,2016,5,"MICHOACAN","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en EL RANCHITO (COAHUAYANA)"
"39","EL ROSARIO","ABULON",2016,2016,1,"BAJA CALIFORNIA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de ABULON en EL ROSARIO"
"40","EL ROSARIO","CAMARON",2012,2017,5,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de CAMARON en EL ROSARIO"
"41","EL ROSARIO","LANGOSTA",2016,2017,2,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de LANGOSTA en EL ROSARIO"
"42","EL ROSARIO","LOBINA",2017,2017,1,"BAJA CALIFORNIA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de LOBINA en EL ROSARIO"
"43","EL ROSARIO","MOJARRA",2012,2017,4,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en EL ROSARIO"
"44","EL ROSARIO","OSTION",2012,2017,6,"BAJA CALIFORNIA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OSTION en EL ROSARIO"
"45","EL ROSARIO","OTRAS",2013,2013,1,"BAJA CALIFORNIA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OTRAS en EL ROSARIO"
"46","ENSENADA","ABULON",2012,2017,6,"BAJA CALIFORNIA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de ABULON en ENSENADA"
"47","ENSENADA","ALMEJA",2013,2017,3,"BAJA CALIFORNIA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de ALMEJA en ENSENADA"
"48","ENSENADA","ATUN",2012,2017,6,"BAJA CALIFORNIA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de ATUN en ENSENADA"
"49","ENSENADA","CORVINA",2013,2017,5,"BAJA CALIFORNIA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de CORVINA en ENSENADA"
"50","ENSENADA","LOBINA",2013,2017,5,"BAJA CALIFORNIA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de LOBINA en ENSENADA"
"51","ENSENADA","OSTION",2012,2017,6,"BAJA CALIFORNIA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OSTION en ENSENADA"
"52","ENSENADA","OTRAS",2012,2017,6,"BAJA CALIFORNIA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OTRAS en ENSENADA"
"53","ENSENADA","SARGAZO",2016,2016,1,"BAJA CALIFORNIA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de SARGAZO en ENSENADA"
"54","ENSENADA","TRUCHA",2013,2014,2,"BAJA CALIFORNIA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de TRUCHA en ENSENADA"
"55","ESCUINAPA","CAMARON",2012,2017,6,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de CAMARON en ESCUINAPA"
"56","ESCUINAPA","MOJARRA",2013,2017,5,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en ESCUINAPA"
"57","GUADALAJARA","BAGRE",2012,2017,6,"JALISCO","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de BAGRE en GUADALAJARA"
"58","GUADALAJARA","CAMARON",2012,2016,5,"JALISCO","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de CAMARON en GUADALAJARA"
"59","GUADALAJARA","CARPA",2012,2012,1,"JALISCO","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de CARPA en GUADALAJARA"
"60","GUADALAJARA","MOJARRA",2012,2017,6,"JALISCO","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en GUADALAJARA"
"61","GUADALAJARA","OTRAS",2012,2017,6,"JALISCO","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OTRAS en GUADALAJARA"
"62","GUADALAJARA","PECES DE ORNATO",2017,2017,1,"JALISCO","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de PECES DE ORNATO en GUADALAJARA"
"63","GUADALAJARA","TRUCHA",2012,2017,6,"JALISCO","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de TRUCHA en GUADALAJARA"
"64","GUASAVE","CAMARON",2012,2017,6,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de CAMARON en GUASAVE"
"65","GUASAVE","MOJARRA",2014,2017,4,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en GUASAVE"
"66","GUASAVE","OSTION",2015,2015,1,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OSTION en GUASAVE"
"67","GUASAVE","OTRAS",2015,2017,3,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OTRAS en GUASAVE"
"68","GUAYMAS","CAMARON",2013,2017,5,"SONORA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de CAMARON en GUAYMAS"
"69","GUERRERO NEGRO","OSTION",2012,2017,6,"BAJA CALIFORNIA SUR","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OSTION en GUERRERO NEGRO"
"70","HERMOSILLO","MOJARRA",2016,2016,1,"SONORA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en HERMOSILLO"
"71","HUATABAMPO","CAMARON",2012,2017,6,"SONORA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de CAMARON en HUATABAMPO"
"72","HUATABAMPO","OSTION",2012,2017,6,"SONORA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OSTION en HUATABAMPO"
"73","JUCHITAN","MOJARRA",2012,2017,6,"OAXACA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en JUCHITAN"
"74","LA PAZ","ALMEJA",2013,2016,4,"BAJA CALIFORNIA SUR","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de ALMEJA en LA PAZ"
"75","LA PAZ","ATUN",2012,2013,2,"BAJA CALIFORNIA SUR","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de ATUN en LA PAZ"
"76","LA PAZ","CAMARON",2013,2017,5,"BAJA CALIFORNIA SUR","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de CAMARON en LA PAZ"
"77","LA PAZ","JUREL",2014,2017,3,"BAJA CALIFORNIA SUR","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de JUREL en LA PAZ"
"78","LA PAZ","MOJARRA",2017,2017,1,"BAJA CALIFORNIA SUR","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en LA PAZ"
"79","LA PAZ","OSTION",2013,2016,3,"BAJA CALIFORNIA SUR","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OSTION en LA PAZ"
"80","LA PAZ","OTRAS",2013,2016,3,"BAJA CALIFORNIA SUR","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OTRAS en LA PAZ"
"81","LA REFORMA","CAMARON",2012,2017,6,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de CAMARON en LA REFORMA"
"82","LA REFORMA","MOJARRA",2014,2017,3,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en LA REFORMA"
"83","LA REFORMA","OSTION",2012,2012,1,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OSTION en LA REFORMA"
"84","LAZARO CARDENAS","BAGRE",2012,2013,2,"MICHOACAN","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de BAGRE en LAZARO CARDENAS"
"85","LAZARO CARDENAS","MOJARRA",2012,2016,4,"MICHOACAN","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en LAZARO CARDENAS"
"86","LAZARO CARDENAS","TRUCHA",2012,2012,1,"MICHOACAN","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de TRUCHA en LAZARO CARDENAS"
"87","LOS MOCHIS","ALMEJA",2013,2015,2,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de ALMEJA en LOS MOCHIS"
"88","LOS MOCHIS","CAMARON",2013,2017,5,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de CAMARON en LOS MOCHIS"
"89","LOS MOCHIS","MOJARRA",2017,2017,1,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en LOS MOCHIS"
"90","LOS MOCHIS","OSTION",2012,2017,6,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OSTION en LOS MOCHIS"
"91","MANZANILLO","CAMARON",2012,2017,6,"COLIMA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de CAMARON en MANZANILLO"
"92","MANZANILLO","MOJARRA",2012,2017,5,"COLIMA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en MANZANILLO"
"93","MARQUELIA CRUZ GRANDE","MOJARRA",2015,2017,3,"GUERRERO","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en MARQUELIA CRUZ GRANDE"
"94","MAZATLAN","CAMARON",2012,2017,6,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de CAMARON en MAZATLAN"
"95","MAZATLAN","MOJARRA",2012,2017,6,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en MAZATLAN"
"96","MAZATLAN","OTRAS",2013,2017,5,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OTRAS en MAZATLAN"
"97","MEXICALI","CAMARON",2014,2014,1,"BAJA CALIFORNIA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de CAMARON en MEXICALI"
"98","MEXICALI","MOJARRA",2016,2016,1,"BAJA CALIFORNIA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en MEXICALI"
"99","NAVOLATO","ALMEJA",2017,2017,1,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de ALMEJA en NAVOLATO"
"100","NAVOLATO","CAMARON",2012,2017,6,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de CAMARON en NAVOLATO"
"101","NAVOLATO","OSTION",2012,2017,6,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OSTION en NAVOLATO"
"102","NAVOLATO","OTRAS",2017,2017,1,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OTRAS en NAVOLATO"
"103","NAVOLATO","PARGO",2015,2015,1,"SINALOA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de PARGO en NAVOLATO"
"104","NUEVA ITALIA","BAGRE",2012,2017,6,"MICHOACAN","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de BAGRE en NUEVA ITALIA"
"105","NUEVA ITALIA","MOJARRA",2012,2017,6,"MICHOACAN","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en NUEVA ITALIA"
"106","NUEVA ITALIA","OTRAS",2016,2016,1,"MICHOACAN","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OTRAS en NUEVA ITALIA"
"107","NUEVA ITALIA","TRUCHA",2012,2017,6,"MICHOACAN","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de TRUCHA en NUEVA ITALIA"
"108","OAXACA","MOJARRA",2013,2017,5,"OAXACA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en OAXACA"
"109","OAXACA","TRUCHA",2012,2017,6,"OAXACA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de TRUCHA en OAXACA"
"110","OCOTLAN","BAGRE",2012,2017,6,"JALISCO","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de BAGRE en OCOTLAN"
"111","OCOTLAN","MOJARRA",2013,2017,5,"JALISCO","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en OCOTLAN"
"112","OCOTLAN","OTRAS",2017,2017,1,"JALISCO","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OTRAS en OCOTLAN"
"113","PATZCUARO","MOJARRA",2012,2017,6,"MICHOACAN","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en PATZCUARO"
"114","PATZCUARO","OTRAS",2015,2016,2,"MICHOACAN","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de OTRAS en PATZCUARO"
"115","PATZCUARO","TRUCHA",2012,2017,6,"MICHOACAN","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de TRUCHA en PATZCUARO"
"116","PENITA DE JALTEMBA","MOJARRA",2016,2016,1,"NAYARIT","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en PENITA DE JALTEMBA"
"117","PIJIJIAPAN","CAMARON",2012,2016,3,"CHIAPAS","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de CAMARON en PIJIJIAPAN"
"118","PIJIJIAPAN","MOJARRA",2015,2015,1,"CHIAPAS","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en PIJIJIAPAN"
"119","PINOTEPA NACIONAL","MOJARRA",2015,2017,3,"OAXACA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en PINOTEPA NACIONAL"
"120","PLAYAS DE CATAZAJA","MOJARRA",2017,2017,1,"CHIAPAS","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en PLAYAS DE CATAZAJA"
"121","PUERTO ANGEL","MOJARRA",2014,2017,3,"OAXACA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en PUERTO ANGEL"
"122","PUERTO ESCONDIDO","CAMARON",2015,2017,3,"OAXACA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de CAMARON en PUERTO ESCONDIDO"
"123","PUERTO ESCONDIDO","MOJARRA",2013,2017,5,"OAXACA","Produccion; Acuacultura; Cosecha","Produccion; Acuacultura; Cosecha; Valor; Economico","ProduccionI","Peso desembarcado de MOJARRA en PUERTO ESCONDIDO"
