MMID,Short_Title,Keywords,Author,Institution,Dataset_Available,Subject_name,Area,Region,Location,Start_Year,End_Year,Data_Time_Points,Unit_Type,Temporal_Resolution,Spatial_Resolution,Dataset_Title,Compilation_Title,Publication_Year,Reference,Available_Metadata,Metadata_name,User_Contact,Institution_Type,Research_Fund,Research_Field,SE_Interaction,Data_Uncertanty,Notes,Lat,Long
88,Historic Catch of Tunidos for Tabasco,Tunidos; Captura; Tabasco; Barrilete; Bonito,CONAPESCA,CONAPESCA,1,Tunidos,Atlantic,West Gulf of Mexico,Tabasco,2004,2013,10,Weight,Year,State,Tunidos; Tabasco: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,NA,NA
94,Historic Catch of Tunidos for Veracruz,Tunidos; Captura; Veracruz; Barrilete; Bonito,CONAPESCA,CONAPESCA,1,Tunidos,Atlantic,West Gulf of Mexico,Veracruz,2004,2013,10,Weight,Year,State,Tunidos; Veracruz: Serie Historica de la Produccion Pesquera de la entidad (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,23,-96.5783
270,Historic Value of Fish Catch  for Campeche,Campeche; Economico; Valor,CONAPESCA,CONAPESCA,1,Campeche,Atlantic,Banco Campeche Caribe,Campeche,2004,2013,10,Currency,Year,State,Campeche: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,20.3,-90.5349
288,Historic Value of Fish Catch  for Quintana Roo,Quintana Roo; Economico; Valor,CONAPESCA,CONAPESCA,1,Multiple Especies,Atlantic,Banco Campeche Caribe,Quintana Roo,2004,2013,10,Currency,Year,State,Quintana Roo: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,19.1817,-80.4791
292,Historic Value of Fish Catch  for Tabasco,Tabasco; Economico; Valor,CONAPESCA,CONAPESCA,1,Multiple Especies,Atlantic,West Gulf of Mexico,Tabasco,2004,2013,10,Currency,Year,State,Tabasco: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,NA,NA
293,Historic Value of Fish Catch  for Tamaulipas,Tamaulipas; Economico; Valor,CONAPESCA,CONAPESCA,1,Multiple Especies,Atlantic,West Gulf of Mexico,Tamaulipas,2004,2013,10,Currency,Year,State,Tamaulipas: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,NA,NA
295,Historic Value of Fish Catch  for Veracruz,Veracruz; Economico; Valor,CONAPESCA,CONAPESCA,1,Multiple Especies,Atlantic,West Gulf of Mexico,Veracruz,2004,2013,10,Currency,Year,State,Veracruz: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,23,-96.5783
296,Historic Value of Fish Catch  for Yucatan,Yucatan; Economico; Valor,CONAPESCA,CONAPESCA,1,Multiple Especies,Atlantic,Banco Campeche Caribe,Yucatan,2004,2013,10,Currency,Year,State,Yucatan: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,NA,NA
301,Participation of the national Production  for Campeche,Campeche; Proporcion of Produccion;,CONAPESCA,CONAPESCA,1,Campeche,Atlantic,Banco Campeche Caribe,Campeche,2004,2013,10,Currency,Year,State,Campeche: Participacion Porcentual en la Produccion nacional,Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,20.3,-90.5349
319,Participation of the national Production  for Quintana Roo,Quintana Roo; Proporcion of Produccion;,CONAPESCA,CONAPESCA,1,Multiple Especies,Atlantic,Banco Campeche Caribe,Quintana Roo,2004,2013,10,Currency,Year,State,Quintana Roo: Participacion Porcentual en la Produccion nacional,Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,19.1817,-80.4791
323,Participation of the national Production  for Tabasco,Tabasco; Proporcion of Produccion;,CONAPESCA,CONAPESCA,1,Multiple Especies,Atlantic,West Gulf of Mexico,Tabasco,2004,2013,10,Currency,Year,State,Tabasco: Participacion Porcentual en la Produccion nacional,Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,NA,NA
324,Participation of the national Production  for Tamaulipas,Tamaulipas; Proporcion of Produccion;,CONAPESCA,CONAPESCA,1,Multiple Especies,Atlantic,West Gulf of Mexico,Tamaulipas,2004,2013,10,Currency,Year,State,Tamaulipas: Participacion Porcentual en la Produccion nacional,Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,NA,NA
326,Participation of the national Production  for Veracruz,Veracruz; Proporcion of Produccion;,CONAPESCA,CONAPESCA,1,Multiple Especies,Atlantic,West Gulf of Mexico,Veracruz,2004,2013,10,Currency,Year,State,Veracruz: Participacion Porcentual en la Produccion nacional,Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,23,-96.5783
327,Participation of the national Production  for Yucatan,Yucatan; Proporcion of Produccion;,CONAPESCA,CONAPESCA,1,Multiple Especies,Atlantic,Banco Campeche Caribe,Yucatan,2004,2013,10,Currency,Year,State,Yucatan: Participacion Porcentual en la Produccion nacional,Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,NA,NA
332,Basic Social-economic Information About Fishing Sector of  Campeche,Campeche; Pescador; Industrial embarcaciones; Industria; Artesanal embarcaciones; Acuacultura,CONAPESCA,CONAPESCA,1,Campeche,Atlantic,Banco Campeche Caribe,Campeche,2013,2013,5,Currency,Year,State,Campeche: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,20.3,-90.5349
350,Basic Social-economic Information About Fishing Sector of  Quintana Roo,Quintana Roo; Pescador; Industrial embarcaciones; Industria; Artesanal embarcaciones; Acuacultura,CONAPESCA,CONAPESCA,1,Multiple Especies,Atlantic,Banco Campeche Caribe,Quintana Roo,2013,2013,5,Currency,Year,State,Quintana Roo: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,19.1817,-80.4791
354,Basic Social-economic Information About Fishing Sector of  Tabasco,Tabasco; Pescador; Industrial embarcaciones; Industria; Artesanal embarcaciones; Acuacultura,CONAPESCA,CONAPESCA,1,Multiple Especies,Atlantic,West Gulf of Mexico,Tabasco,2013,2013,5,Currency,Year,State,Tabasco: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,NA,NA
355,Basic Social-economic Information About Fishing Sector of  Tamaulipas,Tamaulipas; Pescador; Industrial embarcaciones; Industria; Artesanal embarcaciones; Acuacultura,CONAPESCA,CONAPESCA,1,Multiple Especies,Atlantic,West Gulf of Mexico,Tamaulipas,2013,2013,5,Currency,Year,State,Tamaulipas: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,NA,NA
357,Basic Social-economic Information About Fishing Sector of  Veracruz,Veracruz; Pescador; Industrial embarcaciones; Industria; Artesanal embarcaciones; Acuacultura,CONAPESCA,CONAPESCA,1,Multiple Especies,Atlantic,West Gulf of Mexico,Veracruz,2013,2013,5,Currency,Year,State,Veracruz: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,23,-96.5783
358,Basic Social-economic Information About Fishing Sector of  Yucatan,Yucatan; Pescador; Industrial embarcaciones; Industria; Artesanal embarcaciones; Acuacultura,CONAPESCA,CONAPESCA,1,Multiple Especies,Atlantic,Banco Campeche Caribe,Yucatan,2013,2013,5,Currency,Year,State,Yucatan: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,NA,NA,NA
361,Reconstructed Catch of Thunnus alalunga in Mexico (Atlantic),Captura; Reconstruida; Atlantico; Industrial; Subsistencia; Artesanal; Deportiva;  Thunnus alalunga,Andres Cisneros-Montemayor,SAU,1,Thunnus alalunga,Atlantic,NA,NA,1952,2010,55,Weight,Year,Area,SAU eeZ 944 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=10,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,24,-89
362,Reconstructed Catch of Crassostrea virginica in Mexico (Atlantic),Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Crassostrea virginica,Andres Cisneros-Montemayor,SAU,1,Crassostrea virginica,Atlantic,NA,NA,1953,2010,58,Weight,Year,Area,SAU eeZ 944 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=11,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,22,-94
363,Reconstructed Catch of Engraulidae in Mexico (Atlantic),Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Engraulidae,Andres Cisneros-Montemayor,SAU,1,Engraulidae,Atlantic,NA,NA,1950,2010,61,Weight,Year,Area,SAU eeZ 944 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=12,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,22,-90
364,Reconstructed Catch of Miscellaneous aquatic invertebrates in Mexico (Atlantic),Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Miscellaneous aquatic invertebrates,Andres Cisneros-Montemayor,SAU,1,Miscellaneous aquatic invertebrates,Atlantic,NA,NA,1965,2000,32,Weight,Year,Area,SAU eeZ 944 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=13,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,23,-87
365,Reconstructed Catch of Anadara in Mexico (Atlantic),Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Anadara,Andres Cisneros-Montemayor,SAU,1,Anadara,Atlantic,NA,NA,1964,2010,47,Weight,Year,Area,SAU eeZ 944 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=14,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,23,-96
366,Reconstructed Catch of Thunnus thynnus in Mexico (Atlantic),Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Thunnus thynnus,Andres Cisneros-Montemayor,SAU,1,Thunnus thynnus,Atlantic,NA,NA,1950,2010,25,Weight,Year,Area,SAU eeZ 944 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=15,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,25,-88
367,Reconstructed Catch of Sarda sarda in Mexico (Atlantic),Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Sarda sarda,Andres Cisneros-Montemayor,SAU,1,Sarda sarda,Atlantic,NA,NA,1955,2010,56,Weight,Year,Area,SAU eeZ 944 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=16,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,22,-88
368,Reconstructed Catch of Istiophorus albicans in Mexico (Atlantic),Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Istiophorus albicans,Andres Cisneros-Montemayor,SAU,1,Istiophorus albicans,Atlantic,NA,NA,1965,2010,20,Weight,Year,Area,SAU eeZ 944 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=17,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,23,-87
369,Reconstructed Catch of Xiphopenaeus kroyeri in Mexico (Atlantic),Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Xiphopenaeus kroyeri,Andres Cisneros-Montemayor,SAU,1,Xiphopenaeus kroyeri,Atlantic,NA,NA,1950,2010,61,Weight,Year,Area,SAU eeZ 944 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=18,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,22,-94
370,Reconstructed Catch of Scomberomorus maculatus in Mexico (Atlantic),Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Scomberomorus maculatus,Andres Cisneros-Montemayor,SAU,1,Scomberomorus maculatus,Atlantic,NA,NA,1954,2010,57,Weight,Year,Area,SAU eeZ 944 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=19,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,24,-95
371,Reconstructed Catch of Kajikia albida in Mexico (Atlantic),Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Kajikia albida,Andres Cisneros-Montemayor,SAU,1,Kajikia albida,Atlantic,NA,NA,1965,2010,20,Weight,Year,Area,SAU eeZ 944 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=20,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,25,-97
372,Reconstructed Catch of Sphyraenidae in Mexico (Atlantic),Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Sphyraenidae,Andres Cisneros-Montemayor,SAU,1,Sphyraenidae,Atlantic,NA,NA,1963,2010,48,Weight,Year,Area,SAU eeZ 944 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=21,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,20,-92
373,Reconstructed Catch of Sphyraena in Mexico (Atlantic),Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Sphyraena,Andres Cisneros-Montemayor,SAU,1,Sphyraena,Atlantic,NA,NA,1963,2010,48,Weight,Year,Area,SAU eeZ 944 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=22,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,25,-96
374,Reconstructed Catch of Conodon nobilis in Mexico (Atlantic),Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Conodon nobilis,Andres Cisneros-Montemayor,SAU,1,Conodon nobilis,Atlantic,NA,NA,2005,2010,6,Weight,Year,Area,SAU eeZ 944 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=23,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,25,-87
375,Reconstructed Catch of Serranidae in Mexico (Atlantic),Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Serranidae,Andres Cisneros-Montemayor,SAU,1,Serranidae,Atlantic,NA,NA,1954,2010,57,Weight,Year,Area,SAU eeZ 944 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=24,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,25,-96
376,Reconstructed Catch of Batoidea in Mexico (Atlantic),Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Batoidea,Andres Cisneros-Montemayor,SAU,1,Batoidea,Atlantic,NA,NA,1955,2010,55,Weight,Year,Area,SAU eeZ 944 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=25,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,20,-89
377,Reconstructed Catch of Selar crumenophthalmus in Mexico (Atlantic),Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Selar crumenophthalmus,Andres Cisneros-Montemayor,SAU,1,Selar crumenophthalmus,Atlantic,NA,NA,1954,1966,5,Weight,Year,Area,SAU eeZ 944 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=26,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,21,-92
378,Reconstructed Catch of Alopias superciliosus in Mexico (Atlantic),Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Alopias superciliosus,Andres Cisneros-Montemayor,SAU,1,Alopias superciliosus,Atlantic,NA,NA,1994,2010,8,Weight,Year,Area,SAU eeZ 944 v1-43,"Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=27,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,Private,Fisheries,Benefits,NA,NA,20,-88
