"","Vientos_X","Topografia_X","Nivel_X","Velocidad_x"
"21","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"22","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"23","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"24","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"25","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"26","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"27","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"28","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"29","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"30","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"31","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"32","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"33","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"34","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"35","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"36","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"37","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"38","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"39","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"40","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"41","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"42","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"43","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"44","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"45","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"46","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"47","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"48","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"49","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"50","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"51","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"52","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
"53","  (1999-2006)","  (1992-1999)","  (1992-1999)","  (1992-1999)"
