"","MMID","Short_Title","Keywords","Author","Institution","Dataset_Available","Subject_name","Area","Region","Location","Start_Year","End_Year","Data_Time_Points","Unit_Type","Temporal_Resolution","Spatial_Resolution","Dataset_Title","Compilation_Title","Publication_Year","Reference","Available_Metadata","Metadata_name","User_Contact","Institution_Type","Research_Fund","Research_Field","SE_Interaction","Data_Uncertanty","Notes","Lat","Long"
"22",324,"Participation of the national Production  for Tamaulipas","Tamaulipas; Proporcion of Produccion;","CONAPESCA","CONAPESCA",1,"Multiple Especies","Atlantic","West Gulf of Mexico","Tamaulipas",2004,2013,10,"Currency","Year","State","Tamaulipas: Participacion Porcentual en la Produccion nacional","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,NA,NA
"23",326,"Participation of the national Production  for Veracruz","Veracruz; Proporcion of Produccion;","CONAPESCA","CONAPESCA",1,"Multiple Especies","Atlantic","West Gulf of Mexico","Veracruz",2004,2013,10,"Currency","Year","State","Veracruz: Participacion Porcentual en la Produccion nacional","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,23,-96.5783
"24",327,"Participation of the national Production  for Yucatan","Yucatan; Proporcion of Produccion;","CONAPESCA","CONAPESCA",1,"Multiple Especies","Atlantic","Banco Campeche Caribe","Yucatan",2004,2013,10,"Currency","Year","State","Yucatan: Participacion Porcentual en la Produccion nacional","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,NA,NA
"25",332,"Basic Social-economic Information About Fishing Sector of  Campeche","Campeche; Pescador; Industrial embarcaciones; Industria; Artesanal embarcaciones; Acuacultura","CONAPESCA","CONAPESCA",1,"Campeche","Atlantic","Banco Campeche Caribe","Campeche",2013,2013,5,"Currency","Year","State","Campeche: Serie Historica del Valor de la Produccion (Miles de Pesos)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,20.3,-90.5349
"26",350,"Basic Social-economic Information About Fishing Sector of  Quintana Roo","Quintana Roo; Pescador; Industrial embarcaciones; Industria; Artesanal embarcaciones; Acuacultura","CONAPESCA","CONAPESCA",1,"Multiple Especies","Atlantic","Banco Campeche Caribe","Quintana Roo",2013,2013,5,"Currency","Year","State","Quintana Roo: Serie Historica del Valor de la Produccion (Miles de Pesos)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,19.1817,-80.4791
"27",354,"Basic Social-economic Information About Fishing Sector of  Tabasco","Tabasco; Pescador; Industrial embarcaciones; Industria; Artesanal embarcaciones; Acuacultura","CONAPESCA","CONAPESCA",1,"Multiple Especies","Atlantic","West Gulf of Mexico","Tabasco",2013,2013,5,"Currency","Year","State","Tabasco: Serie Historica del Valor de la Produccion (Miles de Pesos)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,NA,NA
"28",355,"Basic Social-economic Information About Fishing Sector of  Tamaulipas","Tamaulipas; Pescador; Industrial embarcaciones; Industria; Artesanal embarcaciones; Acuacultura","CONAPESCA","CONAPESCA",1,"Multiple Especies","Atlantic","West Gulf of Mexico","Tamaulipas",2013,2013,5,"Currency","Year","State","Tamaulipas: Serie Historica del Valor de la Produccion (Miles de Pesos)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,NA,NA
"29",357,"Basic Social-economic Information About Fishing Sector of  Veracruz","Veracruz; Pescador; Industrial embarcaciones; Industria; Artesanal embarcaciones; Acuacultura","CONAPESCA","CONAPESCA",1,"Multiple Especies","Atlantic","West Gulf of Mexico","Veracruz",2013,2013,5,"Currency","Year","State","Veracruz: Serie Historica del Valor de la Produccion (Miles de Pesos)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,23,-96.5783
"30",358,"Basic Social-economic Information About Fishing Sector of  Yucatan","Yucatan; Pescador; Industrial embarcaciones; Industria; Artesanal embarcaciones; Acuacultura","CONAPESCA","CONAPESCA",1,"Multiple Especies","Atlantic","Banco Campeche Caribe","Yucatan",2013,2013,5,"Currency","Year","State","Yucatan: Serie Historica del Valor de la Produccion (Miles de Pesos)","Anuario estadistico de acuacultura y pesca 2013",2013,"https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca","NO",NA,"uenlace@conapesca.gob.mx","GOV","GOV","Fisheries","Benefits",NA,NA,NA,NA
"31",361,"Reconstructed Catch of Thunnus alalunga in Mexico (Atlantic)","Captura; Reconstruida; Atlantico; Industrial; Subsistencia; Artesanal; Deportiva;  Thunnus alalunga","Andres Cisneros-Montemayor","SAU",1,"Thunnus alalunga","Atlantic",NA,NA,1952,2010,55,"Weight","Year","Area","SAU eeZ 944 v1-43","Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,"http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=10","NO",NA,"Andres Cisneros-Montemayor; a.cisneros@oceans.ubc.ca","Academic","Private","Fisheries","Benefits",NA,NA,24,-89
"32",362,"Reconstructed Catch of Crassostrea virginica in Mexico (Atlantic)","Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Crassostrea virginica","Andres Cisneros-Montemayor","SAU",1,"Crassostrea virginica","Atlantic",NA,NA,1953,2010,58,"Weight","Year","Area","SAU eeZ 944 v1-43","Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,"http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=11","NO",NA,"Andres Cisneros-Montemayor; a.cisneros@oceans.ubc.ca","Academic","Private","Fisheries","Benefits",NA,NA,22,-94
"33",363,"Reconstructed Catch of Engraulidae in Mexico (Atlantic)","Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Engraulidae","Andres Cisneros-Montemayor","SAU",1,"Engraulidae","Atlantic",NA,NA,1950,2010,61,"Weight","Year","Area","SAU eeZ 944 v1-43","Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,"http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=12","NO",NA,"Andres Cisneros-Montemayor; a.cisneros@oceans.ubc.ca","Academic","Private","Fisheries","Benefits",NA,NA,22,-90
"34",364,"Reconstructed Catch of Miscellaneous aquatic invertebrates in Mexico (Atlantic)","Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Miscellaneous aquatic invertebrates","Andres Cisneros-Montemayor","SAU",1,"Miscellaneous aquatic invertebrates","Atlantic",NA,NA,1965,2000,32,"Weight","Year","Area","SAU eeZ 944 v1-43","Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,"http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=13","NO",NA,"Andres Cisneros-Montemayor; a.cisneros@oceans.ubc.ca","Academic","Private","Fisheries","Benefits",NA,NA,23,-87
"35",365,"Reconstructed Catch of Anadara in Mexico (Atlantic)","Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Anadara","Andres Cisneros-Montemayor","SAU",1,"Anadara","Atlantic",NA,NA,1964,2010,47,"Weight","Year","Area","SAU eeZ 944 v1-43","Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,"http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=14","NO",NA,"Andres Cisneros-Montemayor; a.cisneros@oceans.ubc.ca","Academic","Private","Fisheries","Benefits",NA,NA,23,-96
"36",366,"Reconstructed Catch of Thunnus thynnus in Mexico (Atlantic)","Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Thunnus thynnus","Andres Cisneros-Montemayor","SAU",1,"Thunnus thynnus","Atlantic",NA,NA,1950,2010,25,"Weight","Year","Area","SAU eeZ 944 v1-43","Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,"http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=15","NO",NA,"Andres Cisneros-Montemayor; a.cisneros@oceans.ubc.ca","Academic","Private","Fisheries","Benefits",NA,NA,25,-88
"37",367,"Reconstructed Catch of Sarda sarda in Mexico (Atlantic)","Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Sarda sarda","Andres Cisneros-Montemayor","SAU",1,"Sarda sarda","Atlantic",NA,NA,1955,2010,56,"Weight","Year","Area","SAU eeZ 944 v1-43","Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,"http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=16","NO",NA,"Andres Cisneros-Montemayor; a.cisneros@oceans.ubc.ca","Academic","Private","Fisheries","Benefits",NA,NA,22,-88
"38",368,"Reconstructed Catch of Istiophorus albicans in Mexico (Atlantic)","Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Istiophorus albicans","Andres Cisneros-Montemayor","SAU",1,"Istiophorus albicans","Atlantic",NA,NA,1965,2010,20,"Weight","Year","Area","SAU eeZ 944 v1-43","Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,"http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=17","NO",NA,"Andres Cisneros-Montemayor; a.cisneros@oceans.ubc.ca","Academic","Private","Fisheries","Benefits",NA,NA,23,-87
"39",369,"Reconstructed Catch of Xiphopenaeus kroyeri in Mexico (Atlantic)","Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Xiphopenaeus kroyeri","Andres Cisneros-Montemayor","SAU",1,"Xiphopenaeus kroyeri","Atlantic",NA,NA,1950,2010,61,"Weight","Year","Area","SAU eeZ 944 v1-43","Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,"http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=18","NO",NA,"Andres Cisneros-Montemayor; a.cisneros@oceans.ubc.ca","Academic","Private","Fisheries","Benefits",NA,NA,22,-94
"40",370,"Reconstructed Catch of Scomberomorus maculatus in Mexico (Atlantic)","Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Scomberomorus maculatus","Andres Cisneros-Montemayor","SAU",1,"Scomberomorus maculatus","Atlantic",NA,NA,1954,2010,57,"Weight","Year","Area","SAU eeZ 944 v1-43","Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,"http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=19","NO",NA,"Andres Cisneros-Montemayor; a.cisneros@oceans.ubc.ca","Academic","Private","Fisheries","Benefits",NA,NA,24,-95
"41",371,"Reconstructed Catch of Kajikia albida in Mexico (Atlantic)","Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Kajikia albida","Andres Cisneros-Montemayor","SAU",1,"Kajikia albida","Atlantic",NA,NA,1965,2010,20,"Weight","Year","Area","SAU eeZ 944 v1-43","Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,"http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=20","NO",NA,"Andres Cisneros-Montemayor; a.cisneros@oceans.ubc.ca","Academic","Private","Fisheries","Benefits",NA,NA,25,-97
"42",372,"Reconstructed Catch of Sphyraenidae in Mexico (Atlantic)","Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Sphyraenidae","Andres Cisneros-Montemayor","SAU",1,"Sphyraenidae","Atlantic",NA,NA,1963,2010,48,"Weight","Year","Area","SAU eeZ 944 v1-43","Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,"http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=21","NO",NA,"Andres Cisneros-Montemayor; a.cisneros@oceans.ubc.ca","Academic","Private","Fisheries","Benefits",NA,NA,20,-92
"43",373,"Reconstructed Catch of Sphyraena in Mexico (Atlantic)","Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Sphyraena","Andres Cisneros-Montemayor","SAU",1,"Sphyraena","Atlantic",NA,NA,1963,2010,48,"Weight","Year","Area","SAU eeZ 944 v1-43","Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,"http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=22","NO",NA,"Andres Cisneros-Montemayor; a.cisneros@oceans.ubc.ca","Academic","Private","Fisheries","Benefits",NA,NA,25,-96
"44",374,"Reconstructed Catch of Conodon nobilis in Mexico (Atlantic)","Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Conodon nobilis","Andres Cisneros-Montemayor","SAU",1,"Conodon nobilis","Atlantic",NA,NA,2005,2010,6,"Weight","Year","Area","SAU eeZ 944 v1-43","Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,"http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=23","NO",NA,"Andres Cisneros-Montemayor; a.cisneros@oceans.ubc.ca","Academic","Private","Fisheries","Benefits",NA,NA,25,-87
"45",375,"Reconstructed Catch of Serranidae in Mexico (Atlantic)","Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Serranidae","Andres Cisneros-Montemayor","SAU",1,"Serranidae","Atlantic",NA,NA,1954,2010,57,"Weight","Year","Area","SAU eeZ 944 v1-43","Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,"http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=24","NO",NA,"Andres Cisneros-Montemayor; a.cisneros@oceans.ubc.ca","Academic","Private","Fisheries","Benefits",NA,NA,25,-96
"46",376,"Reconstructed Catch of Batoidea in Mexico (Atlantic)","Captura;  Reconstruida;  Atlantico;  Industrial;  Subsistencia; Artesanal; Deportiva;  Batoidea","Andres Cisneros-Montemayor","SAU",1,"Batoidea","Atlantic",NA,NA,1955,2010,55,"Weight","Year","Area","SAU eeZ 944 v1-43","Unreported Marine Fisheries Catch in Mexico, 1950-2010",2013,"http://www.seaaroundus.org/data/#/eez/944?chart=catch-chart&dimension=taxon&measure=tonnage&limit=25","NO",NA,"Andres Cisneros-Montemayor; a.cisneros@oceans.ubc.ca","Academic","Private","Fisheries","Benefits",NA,NA,20,-89
