Especies,Comun,Sitios
Serranus psittacinus,Cabrilla falsa / Serrano rayado,
Sphoeroides annulatus,Botete diana,
Sphoeroides lobatus,Botete verrugoso / Botete narizon,
Sphyraena sp.,,
Stegastes acapulcoensis,Damisela acapulquena,
Stegastes rectifraenum,Damisela / Damisela de Cortes,
Sufflamen verres,Cochito naranja,
Thalassoma lucasanum,Viejita arcoiris,
Urobatis concentricus,Manta redonda,
Urobatis sp.,,
Anisotremus davidsoni,Sargo rayado,
Caulolatilus princeps,Pez blanco,
Chromis punctipinnis,Castaneta herrera,
Embiotoca jacksoni,Mojarra negra,
Girella nigricans,Chopa verde,
Heterodontus francisci,Tiburon cornudo,
Hypsypops rubicundus,Garibaldi,
Mycteroperca xenarcha,Garropa jaspeada,
Mycteroperca sp.,,
Ophiodon elongatus,Molva,
Oxyjulis californica,Senorita,
Paralabrax clathratus,Cabrilla sargacera,
Paralabrax nebulifer,Verdillo,
Rhacochilus vacca,Mojarra muellera ,
Rhinobatos productus,Guitarra viola,
Scorpaenichthys marmoratus,Cabezon,
Sebastes auriculatus,Rocote moreno,
Sebastes carnatus,Rocote amarillo,
Sebastes chrysomelas,Rocote mulato,
Sebastes flavidus,Rocote cola amarilla,
Sebastes rastrelliger,Rocote olivo,
Sebastes serranoides,Rocote falsa cabrilla,
Seastes sp.,,
Semicossyphus pulcher,Vieja californiana,
Squatina californica,Angelote del Pacifico,
Stereolepis gigas,Mero pescada,
Halichoeres semicinctus,Vieja puntos negros / Senorita roquera,
 Mycteroperca jordani,Baya,
Diadema antillarum,Erizo negro,
Eucidaris tribuloides,Erizo lapiz,
Holothuroidea sp.,Pepino de mar,
Octopus sp.,Pulpo,
Erizo sp.,Erizo,
Panulirus argus,Langosta espinosa,
Panulirus guttatus,Langosta,
Pterois volitans,Pez leon,
Stenopus hispidus,Camaron boxeador,
Strombus gigas,Caracol rosado,
Tripneustes esculentus,Erizo blanco,
Antipathes galapagensis,Coral negro,
Acanthaster planci,Corona de espinas,
Arbacia stellata,Erizo negro,
Asteropsis carinifera,Estrella Verde,
Astrodictyum sp.,Siempre viva,
Centrostephanus coronatus,Erizo corona ,
Chama sp.,Catarro,
Choromytilus chorus,Choro/Mejillon,
Diadema mexicanum,Erizo bandeado,
Echinaster (Othilia) tenuispinus,Estrella puntas negras,
Echinometra vanbrunti,Erizo morado,
Eucidaris thouarsii,Erizo Lapiz,
Gorgonidae sp.,Corales blandos,
Heliaster kubiniji,Estrella sol,
Hexaplex erythrostomus,Caracol chino rosa,
Hexaplex nigritus,Caracol chino negro,
Hexaplex princeps,Caracol chino / Caracol chino rosado,
Holothuria sp.,Pepino de mar,
Hyotissa hyotis,Ostion,
Isostichopus fuscus,Pepino de mar,
Lejaster/Tamaria,Estrella morada ,
Lobatus galeatus,Caracol amarillo,
Mithrodia bradleyi,Estrella bradley,
Mytilus sp.,Choro/Mejillon,
Nidorellia armata,Estrella galleta,
Nodipecten subnodosus,Almeja mano de leon,
Octopus bimaculatus,Pulpo lunarejo,
Octopus sp.,Pulpo verde,
Panulirus inflatus,Langosta azul,
Panulirus interruptus,Langosta roja,
Pentaceraster cumingi,Estrella acolchonada,
Pharia pyramidata,Estrella piramide,
Phataria unifascialis,Estrella azul,
Pinctada mazatlanica,Madre perla,
Pinna rugosa,Callo de hacha,
Pteria sterna,Callo de arbol,
Spondylus limbatus,Callo escarlopa,
Spondylus crassisquama,Almaje mechuda,
Stenorhynchus debilis,Cangrejo arana,
Strombina maculosa,Concha manchada,
Strombus gracilior,Caracol amarillo chico,
Toxopneustes roseus,Erizo floreado,
Triplofusus princeps,Caracol,
Tripneustes depressus,Erizo cafe,
Turbo fluctuosus,Caracol burgado,
Anthopleura sp. ,Anemona gigante,
Cancer sp.,Cangrejo jaiba,
Centrostephanus coronatus,Erizo corona ,
Crassedoma gigantea,Almeja de roca,
Neobernaya spadicea,Caracol porcelana,
Cypraea sp.,Caracol,
Muricea sp.,Gorgonido,
Haliotis corrugata,Abulon amarillo,
Haliotis cracherodii,Abulon negro,
Haliotis fulgens,Abulon azul,
Haliotis rufescens,Abulon rojo,
Haliotis sorenseni,Abulon chino,
Kelletia kelletii,Caracol tornillo,
Leptogorgia chilensis,Gorgonido rojo,
Megastraea turbanica,Caracol turbina,
Megastraea undosa,Caracol undosa,
Loxorhynchus grandis,Cangrejo arana,
Megathura crenulata,Lapa china,
Mesocentrotus franciscanus,Erizo rojo,
Muricea californica,Gorgonido,
Octopus sp.,Pulpo,
Panulirus interruptus,Langosta roja,
Parastichopus parvimensis,Pepino ,
Patiria miniata,Estrella muricielago,
Pisaster giganteus,Estrella gigante,
Pycnopodia helianthoides,Estrella sol,
Strongylocentrotus purpuratus,Erizo morado,
