MMID,Short_Title,Keywords,Author,Institution,Dataset_Available,Subject_name,Area,Region,Location,Start_Year,End_Year,Data_Time_Points,Unit_Type,Temporal_Resolution,Spatial_Resolution,Dataset_Title,Compilation_Title,Publication_Year,Reference,Available_Metadata,Metadata_name,User_Contact,Institution_Type,Research_Fund,Research_Field,SE_Interaction,Data_Uncertanty,Notes,Lat,Long
2872,Distribucion de Ulothrix flacca en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Ulothrix flacca,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2873,Distribucion de Pseudendoclonium marinum en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Pseudendoclonium marinum,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2874,Distribucion de Phaeophila dendroides en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Phaeophila dendroides,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2875,Distribucion de Kornmannia leptoderma en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Kornmannia leptoderma,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2876,Distribucion de Blidingia marginata en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Blidingia marginata,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2877,Distribucion de Blidingia minima en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Blidingia minima,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2878,Distribucion de Blidingia ramifera en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Blidingia ramifera,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2879,Distribucion de Gayralia oxysperma en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Gayralia oxysperma,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2880,Distribucion de Percursaria dawsonii en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Percursaria dawsonii,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2881,Distribucion de Ulva acanthophora en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Ulva acanthophora,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2882,Distribucion de Ulva californica en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Ulva californica,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2883,Distribucion de Ulva clathrata en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Ulva clathrata,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2884,Distribucion de Ulva compressa en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Ulva compressa,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2885,Distribucion de Ulva dactylifera en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Ulva dactylifera,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2886,Distribucion de Ulva expansa en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Ulva expansa,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2887,Distribucion de Ulva flexuosa en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Ulva flexuosa,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2888,Distribucion de Ulva intestinalis en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Ulva intestinalis,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2889,Distribucion de Ulva lactuca en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Ulva lactuca,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2890,Distribucion de Ulva linza en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Ulva linza,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2891,Distribucion de Ulva lobata en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Ulva lobata,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2892,Distribucion de Ulva nematoidea en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Ulva nematoidea,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2893,Distribucion de Ulva paradoxa en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Ulva paradoxa,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2894,Distribucion de Ulva prolifera en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Ulva prolifera,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
2895,Distribucion de Ulva rigida en la costa del Pacifico,Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota,Pedroche et al,UABC,1,Ulva rigida,Pacific,NA,NA,2005,2005,1,Values,NA,Location,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Chlorophycota,2005,"Francisco F. Pedroche, Paul C. Silva, Luis E. Aguilar Rosas, Kurt M. Dreckmann, Raul Aguilar Rosas. (2005) Catalogo de las Algas Marinas Bentonicas del Pacifico de Mexico. I. Universidad Autonoma de Baja California. Departamento de Editorial Universitaria. ISBN 970-735-017-2",YES,NA,editorial@info.rec.uabc.mx,Academic,Academic,Biology,State,NA,NA,NA,NA
