SST,F_SST,A_T,F_A_T,Clorofila,F_C,A_C,A_F,Vientos,Topografia,Nivel,Velocidad,Fecha,,,,
,,Anomalia de temperatura superficial del mar,ene-10,,,,mar-10,,,,,,,,,
,,Anomalia de temperatura superficial del mar,feb-10,,,,abr-10,,,,,,,,,
,,Anomalia de temperatura superficial del mar,mar-10,,,,may-10,,,,,,,,,
,,Anomalia de temperatura superficial del mar,abr-10,,,,jun-10,,,,,,,,,
,,Anomalia de temperatura superficial del mar,may-10,,,,jul-10,,,,,,,,,
,,Anomalia de temperatura superficial del mar,jun-10,,,,ago-10,,,,,,,,,
,,Anomalia de temperatura superficial del mar,jul-10,,,,sep-10,,,,,,,,,
,,Anomalia de temperatura superficial del mar,ago-10,,,,oct-10,,,,,,,,,
,,Anomalia de temperatura superficial del mar,sep-10,,,,nov-10,,,,,,,,,
,,Anomalia de temperatura superficial del mar,oct-10,,,,dic-10,,,,,,,,,
,,Anomalia de temperatura superficial del mar,nov-10,,,,ene-11,,,,,,,,,
,,Anomalia de temperatura superficial del mar,dic-10,,,,feb-11,,,,,,,,,
,,Anomalia de temperatura superficial del mar,ene-11,,,,mar-11,,,,,,,,,
,,Anomalia de temperatura superficial del mar,feb-11,,,,abr-11,,,,,,,,,
,,Anomalia de temperatura superficial del mar,mar-11,,,,may-11,,,,,,,,,
,,Anomalia de temperatura superficial del mar,abr-11,,,,jun-11,,,,,,,,,
,,Anomalia de temperatura superficial del mar,may-11,,,,jul-11,,,,,,,,,
,,Anomalia de temperatura superficial del mar,jun-11,,,,ago-11,,,,,,,,,
,,Anomalia de temperatura superficial del mar,jul-11,,,,sep-11,,,,,,,,,
,,Anomalia de temperatura superficial del mar,ago-11,,,,oct-11,,,,,,,,,
,,Anomalia de temperatura superficial del mar,sep-11,,,,nov-11,,,,,,,,,
,,Anomalia de temperatura superficial del mar,oct-11,,,,dic-11,,,,,,,,,
,,Anomalia de temperatura superficial del mar,nov-11,,,,ene-12,,,,,,,,,
,,Anomalia de temperatura superficial del mar,dic-11,,,,feb-12,,,,,,,,,
,,Anomalia de temperatura superficial del mar,ene-12,,,,mar-12,,,,,,,,,
,,Anomalia de temperatura superficial del mar,feb-12,,,,abr-12,,,,,,,,,
,,Anomalia de temperatura superficial del mar,mar-12,,,,may-12,,,,,,,,,
,,Anomalia de temperatura superficial del mar,abr-12,,,,jun-12,,,,,,,,,
,,Anomalia de temperatura superficial del mar,may-12,,,,jul-12,,,,,,,,,
,,Anomalia de temperatura superficial del mar,jun-12,,,,ago-12,,,,,,,,,
,,Anomalia de temperatura superficial del mar,jul-12,,,,sep-12,,,,,,,,,
,,Anomalia de temperatura superficial del mar,ago-12,,,,,,,,,,,,,
,,Anomalia de temperatura superficial del mar,sep-12,,,,,,,,,,,,,
