V1,V2
Bryopsis,minor
Bryopsis,minor
Bryopsis,minor
Bryopsis,minor
Bryopsis,minor
Bryopsis,minor
Bryopsis,minor
Bryopsis,minor
Bryopsis,minor
Bryopsis,plumosa
Derbesia,hollenbergii
Derbesia,hollenbergii
Derbesia,hollenbergii
Derbesia,hollenbergii
Derbesia,lamourouxii
Derbesia,marina
Derbesia,marina
Derbesia,marina
Derbesia,marina
Derbesia,marina
Derbesia,marina
Derbesia,marina
Derbesia,marina
Derbesia,marina
Derbesia,marina
Derbesia,marina
Derbesia,marina
Derbesia,prolifica
Derbesia,tenuissima
Derbesia,turbinata
Pseudobryopsis,hainanensis
Caulerpa,ambigua
Caulerpa,ambigua
"luxurians	OAX	1993	",
Caulerpa,antoensis
Caulerpa,chemnitzia
Caulerpa,chemnitzia
Caulerpa,chemnitzia
Caulerpa,chemnitzia
Caulerpa,chemnitzia
Caulerpa,chemnitzia
Caulerpa,chemnitzia
Caulerpa,chemnitzia
Caulerpa,chemnitzia
Caulerpa,cupressoides
Caulerpa,cupressoides
Caulerpa,cupressoides lycopodium
Caulerpa,cylindracea
Caulerpa,fastigiata
Caulerpa,mexicana
Caulerpa,mexicana
Caulerpa,mexicana pectinata
Caulerpa,racemosa
Caulerpa,racemosa
Caulerpa,racemosa
Caulerpa,racemosa
Caulerpa,racemosa
Caulerpa,racemosa
Caulerpa,racemosa
Caulerpa,racemosa
Caulerpa,racemosa macrophysa
Caulerpa,sertularioides
Caulerpa,sertularioides
Caulerpa,sertularioides
Caulerpa,sertularioides
Caulerpa,sertularioides
Caulerpa,sertularioides
Caulerpa,sertularioides
Caulerpa,sertularioides
Caulerpa,sertularioides brevipes
Caulerpa,sertularioides longiseta
Caulerpa,vanbosseae
Caulerpa,vanbosseae
Caulerpa,vanbosseae
Caulerpa,vanbosseae
Caulerpa,verticillata
Codium,amplivesciculatum
Codium,amplivesciculatum
Codium,amplivesciculatum
Codium,amplivesciculatum
Codium,amplivesciculatum
Codium,amplivesciculatum
Codium,amplivesciculatum
Codium,amplivesciculatum
Codium,brandegeei
Codium,brandegeei
Codium,brandegeei
Codium,brandegeei
Codium,brandegeei
Codium,brandegeei
Codium,dawsonii
Codium,dawsonii
Codium,decorticatum
Codium,dichotomum
Codium,fragile
Codium,fragile
Codium,fragile
Codium,fragile
Codium,fragile
Codium,fragile
subsp.,mexicanum
Codium,giraffa
Codium,giraffa
Codium,giraffa
Codium,giraffa
Codium,giraffa
Codium,giraffa
Codium,hubbsii
Codium,hubbsii
Codium,isabelae
Codium,isabelae
Codium,isabelae
Codium,isabelae
Codium,isabelae
Codium,isabelae
Codium,johnstonei
Codium,latum palmeri
Codium,picturatum
Codium,picturatum
Codium,picturatum
Codium,picturatum
Codium,picturatum
Codium,picturatum
Codium,schmiederi
Codium,schmiederi
Codium,setchellii
Codium,setchellii
Codium,setchellii
Codium,simulans
Codium,simulans
Codium,simulans
Codium,simulans
Codium,simulans
Codium,simulans
Codium,simulans
Codium,simulans
Codium,simulans
Codium,simulans
Halimeda,cuneata
Halimeda,cuneata
Halimeda,cuneata
Halimeda,discoidea
Halimeda,discoidea
Halimeda,discoidea
Halimeda,discoidea
Halimeda,discoidea
Halimeda,discoidea
Halimeda,discoidea
Halimeda,discoidea
Halimeda,hederacea
Halimeda,opuntia
Halimeda,opuntia
Halimeda,opuntia
Halimeda,scabra
Halimeda,tuna
Halimeda,tuna
Halimeda,tuna
Halimeda,tuna
Ostreobium,quekettii
Boodleopsis,verticillata
Chlorodesmis,caespitosa
Chlorodesmis,caespitosa
Chlorodesmis,caespitosa
Chlorodesmis,caespitosa
Chlorodesmis,hildebrandtii
Chlorodesmis,hildebrandtii
Chlorodesmis,hildebrandtii
Chlorodesmis,hildebrandtii
Chlorodesmis,hildebrandtii
Chlorodesmis,hildebrandtii
Chlorodesmis,hildebrandtii
Geppella,decussata
Penicillus,sibogae
Siphonogramen,parvum
Batophora,oerstedii
Batophora,oerstedii
Neomeris,annulata
Neomeris,van-bosseae
Acetabularia,caliculus
Acetabularia,caliculus
Acetabularia,caliculus
Acetabularia,crenulata
Acetabularia,crenulata
Acetabularia,crenulata
Acetabularia,farlowii
Acetabularia,farlowii
Acetabularia,farlowii
Acetabularia,farlowii
Parvocaulis,parvulus
Parvocaulis,parvulus
Parvocaulis,parvulus
Parvocaulis,parvulus
Parvocaulis,parvulus
Parvocaulis,parvulus
Parvocaulis,pusilla
Acetabularia,schenckii
Acetabularia,schenckii
Pilinella,californica
Pilinia,maritima pacifica
