"Region","Campo","Area","Regions","Key","Title","Keywords"
"Marina Noreste","Kutz","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Kutz","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Lum","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Lum","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Maloob","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Maloob","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Mene","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Mene","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Nab","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Nab","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Nohoch","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Nohoch","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Numan","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Numan","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Pit","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Pit","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Pohp","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Pohp","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Sihil","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Sihil","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Takin","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Takin","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Tekel","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Tekel","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Tson","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Tson","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Utan","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Utan","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Utsil","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Utsil","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Zaap","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Zaap","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Zazil-Ha","Atlantic","W. G. of Mexico","Petroleo","Reserva Remanente de Petroleo Crudo en Zazil-Ha","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Abkatun","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Abkatun","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Akpul","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Akpul","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Alak","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Alak","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Alux","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Alux","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Amoca","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Amoca","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Ayin","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Ayin","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Batab","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Batab","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Bolontiku","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Bolontiku","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Caan","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Caan","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Che","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Che","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Chuc","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Chuc","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Chuhuk","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Chuhuk","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Chukua","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Chukua","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Citam","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Citam","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Etkal","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Etkal","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Hap","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Hap","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Hayabil","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Hayabil","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Hem","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Hem","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Hokchi","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Hokchi","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Homol","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Homol","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Ichalkil","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Ichalkil","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Isiw","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Isiw","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Itla","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Itla","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Ixtal","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Ixtal","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Kab","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Kab","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Kach","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Kach","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Kanaab","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Kanaab","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Kastelan","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Kastelan","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Kax","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Kax","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Kay","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Kay","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Kix","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Kix","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Kopo","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Kopo","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Kuil","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Kuil","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Kunah","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Kunah","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Lakach","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Lakach","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Lalail","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Lalail","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Leek","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Leek","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Makech","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Makech","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Manik","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Manik","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","May","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en May","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Men","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Men","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Mison","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Mison","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Mizton","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Mizton","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Nak","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Nak","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Namaca","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Namaca","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Nat","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Nat","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Nen","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Nen","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Noxal","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Noxal","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Och","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Och","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Onel","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Onel","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Piklis","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Piklis","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Poctli","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Poctli","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Pokoch","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Pokoch","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Pol","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Pol","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Sinan","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Sinan","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Tabscoob","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Tabscoob","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Taratunich","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Taratunich","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Tecoalli","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Tecoalli","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Teekit","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Teekit","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Thel","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Thel","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Tlacame","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Tlacame","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Toloc","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Toloc","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Tsimin","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Tsimin","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Tumut","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Tumut","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Uchak","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Uchak","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Uech","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Uech","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Wayil","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Wayil","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Winak","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Winak","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Xanab","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Xanab","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Xaxamani","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Xaxamani","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Xicope","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Xicope","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Xulum","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Xulum","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Xux","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Xux","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Yaxche","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Yaxche","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Yetic","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Yetic","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Yum","Pacific","South Pacific","Petroleo","Reserva Remanente de Petroleo Crudo en Yum","Petroleo; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Akal","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Akal","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Ayatsil","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Ayatsil","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Bacab","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Bacab","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Baksha","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Baksha","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Balam","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Balam","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Chac","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Chac","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Chapabil","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Chapabil","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Ek","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Ek","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Ixtoc","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Ixtoc","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Kambesah","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Kambesah","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Kayab","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Kayab","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Ku","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Ku","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Kutz","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Kutz","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Lum","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Lum","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Maloob","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Maloob","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Mene","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Mene","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Nab","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Nab","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Nohoch","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Nohoch","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Numan","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Numan","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Pit","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Pit","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Pohp","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Pohp","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Sihil","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Sihil","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Takin","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Takin","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Tekel","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Tekel","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Tson","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Tson","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Utan","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Utan","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Utsil","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Utsil","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Zaap","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Zaap","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Noreste","Zazil-Ha","Atlantic","W. G. of Mexico","Aceite","Reserva Remanente de Aceite en Zazil-Ha","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Abkatun","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Abkatun","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Akpul","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Akpul","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Alak","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Alak","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Alux","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Alux","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Amoca","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Amoca","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Ayin","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Ayin","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Batab","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Batab","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Bolontiku","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Bolontiku","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Caan","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Caan","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Che","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Che","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Chuc","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Chuc","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Chuhuk","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Chuhuk","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Chukua","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Chukua","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Citam","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Citam","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Etkal","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Etkal","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Hap","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Hap","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Hayabil","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Hayabil","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Hem","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Hem","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Hokchi","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Hokchi","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Homol","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Homol","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Ichalkil","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Ichalkil","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Isiw","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Isiw","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Itla","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Itla","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Ixtal","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Ixtal","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Kab","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Kab","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Kach","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Kach","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Kanaab","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Kanaab","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Kastelan","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Kastelan","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Kax","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Kax","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Kay","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Kay","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Kix","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Kix","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Kopo","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Kopo","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Kuil","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Kuil","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Kunah","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Kunah","Aceite; Posible; Probable; Probada; MMb; Barriles"
"Marina Suroeste","Lakach","Pacific","South Pacific","Aceite","Reserva Remanente de Aceite en Lakach","Aceite; Posible; Probable; Probada; MMb; Barriles"
