"","V1","Titulo","Key"
"45","Gancho y linea","Labour cost for hook and line fishing","Gancho y linea; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"46","trampa","Labour cost for trap fishing","trampa; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"47","red","Labour cost for net fishing","red; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"48","dragar","Labour cost for dredge fishing","dragar; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"49","Red de arrastre de fondo","Labour cost for bottom trawl fishing","Red de arrastre de fondo; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"50","red de cerco","Labour cost for seine fishing","red de cerco; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"51","red de pesca","Labour cost for gillnet fishing","red de pesca; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"52","Atun de linea","Labour cost for pole line tuna fishing","Atun de linea; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"53","Atun palangre","Labour cost for longline tuna fishing","Atun palangre; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"54","Atunero","Labour cost for purse seine tuna fishing","Atunero; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"55","Arrastre Camaronero","Labour cost for shrimp trawl fishing","Arrastre Camaronero; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
"56","Red de arrastre media agua","Labour cost for midwater trawl fishing","Red de arrastre media agua; Costo; Pesca; Estimado; Dolares US; Fijo; Variable; 2005"
