"","TituloI","TituloII","Keywords","Subject"
"57","Distribucion de Aegires albopunctatus en el golfo de California","Clasificacion Taxonomica Completa de Aegires albopunctatus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Aegires albopunctatus"
"58","Distribucion de Aeolidiella chromosoma en el golfo de California","Clasificacion Taxonomica Completa de Aeolidiella chromosoma","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Spurilla chromosoma; Eolidina orientalis O'Donoghue, 1927","Aeolidiella chromosoma"
"59","Distribucion de Aesopus arestus en el golfo de California","Clasificacion Taxonomica Completa de Aesopus arestus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Aesopus arestus"
"60","Distribucion de Aesopus chrysalloides en el golfo de California","Clasificacion Taxonomica Completa de Aesopus chrysalloides","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion ?Amycla chrysalloidea","Aesopus chrysalloides"
"61","Distribucion de Aesopus sanctus en el golfo de California","Clasificacion Taxonomica Completa de Aesopus sanctus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Aesopus sanctus"
"62","Distribucion de Aetea anguina en el golfo de California","Clasificacion Taxonomica Completa de Aetea anguina","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Sertularia anguina","Aetea anguina"
"63","Distribucion de Aetea ligulata en el golfo de California","Clasificacion Taxonomica Completa de Aetea ligulata","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Aetea ligulata"
"64","Distribucion de Aetea recta en el golfo de California","Clasificacion Taxonomica Completa de Aetea recta","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Aetea recta"
"65","Distribucion de Aethra scutata en el golfo de California","Clasificacion Taxonomica Completa de Aethra scutata","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Aethra scruposa scutata Smith, 1869","Aethra scutata"
"66","Distribucion de Afrocucumis ovulum en el golfo de California","Clasificacion Taxonomica Completa de Afrocucumis ovulum","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Stolus ovulum; Euthyonidium ovulum; Thyone ovulum","Afrocucumis ovulum"
"67","Distribucion de Agalma elegans en el golfo de California","Clasificacion Taxonomica Completa de Agalma elegans","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Agalma elegans"
"68","Distribucion de Agalma okeni en el golfo de California","Clasificacion Taxonomica Completa de Agalma okeni","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Agalma okeni"
"69","Distribucion de Agaronia testacea en el golfo de California","Clasificacion Taxonomica Completa de Agaronia testacea","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Oliva testacea; A. reevei M?rch, 1860; Oliva philippi Von Martens, 1897","Agaronia testacea"
"70","Distribucion de Agassizia scrobiculata en el golfo de California","Clasificacion Taxonomica Completa de Agassizia scrobiculata","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Agassizia ovulum; Agassizia subrotua","Agassizia scrobiculata"
"71","Distribucion de Agathotoma alcippe en el golfo de California","Clasificacion Taxonomica Completa de Agathotoma alcippe","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Pleurotoma alcippe; Pleurotoma parilis E. A. Smith, 1888 (not Edwards, 1860); Cytharella euryclea an","Agathotoma alcippe"
"72","Distribucion de Agathotoma klasmidia en el golfo de California","Clasificacion Taxonomica Completa de Agathotoma klasmidia","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Agathotoma klasmidia"
"73","Distribucion de Agathotoma neglecta en el golfo de California","Clasificacion Taxonomica Completa de Agathotoma neglecta","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Defrancia despecta H. & A. Adams, 1853, unnecessary new name; Cytharella phryne Dall, 1919","Agathotoma neglecta"
"74","Distribucion de Agathotoma quadriseriata en el golfo de California","Clasificacion Taxonomica Completa de Agathotoma quadriseriata","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Cytharella quadriseriata","Agathotoma quadriseriata"
"75","Distribucion de Agathotoma secalis en el golfo de California","Clasificacion Taxonomica Completa de Agathotoma secalis","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Agathotoma secalis"
"76","Distribucion de Agatrix strongi en el golfo de California","Clasificacion Taxonomica Completa de Agatrix strongi","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Cancellaria strongi","Agatrix strongi"
"77","Distribucion de Agladrillia flucticulus en el golfo de California","Clasificacion Taxonomica Completa de Agladrillia flucticulus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Agladrillia flucticulus"
"78","Distribucion de Agladrillia plicatella en el golfo de California","Clasificacion Taxonomica Completa de Agladrillia plicatella","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Clathurella plicatella","Agladrillia plicatella"
"79","Distribucion de Agladrillia pudica en el golfo de California","Clasificacion Taxonomica Completa de Agladrillia pudica","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Clavatula pudica","Agladrillia pudica"
"80","Distribucion de Aglaja regiscorona en el golfo de California","Clasificacion Taxonomica Completa de Aglaja regiscorona","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Aglaja regiscorona"
"81","Distribucion de Aglaophamus dicirris en el golfo de California","Clasificacion Taxonomica Completa de Aglaophamus dicirris","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Aglaophamus dicirris"
"82","Distribucion de Aglaophamus erectans en el golfo de California","Clasificacion Taxonomica Completa de Aglaophamus erectans","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Aglaophamus erectans"
"83","Distribucion de Aglaophamus inermis en el golfo de California","Clasificacion Taxonomica Completa de Aglaophamus inermis","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Nepthys inermis","Aglaophamus inermis"
"84","Distribucion de Aglaophamus lyrochaetus en el golfo de California","Clasificacion Taxonomica Completa de Aglaophamus lyrochaetus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Nephtys lyrochaeta","Aglaophamus lyrochaetus"
"85","Distribucion de Aglaophamus verrilli en el golfo de California","Clasificacion Taxonomica Completa de Aglaophamus verrilli","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Nephtys verrilli","Aglaophamus verrilli"
"86","Distribucion de Aglaophenia diegensis en el golfo de California","Clasificacion Taxonomica Completa de Aglaophenia diegensis","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Aglaophenia diegensis"
"87","Distribucion de Aglaophenia inconspicua en el golfo de California","Clasificacion Taxonomica Completa de Aglaophenia inconspicua","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Aglaophenia inconspicua"
"88","Distribucion de Aglaophenia longicarpa en el golfo de California","Clasificacion Taxonomica Completa de Aglaophenia longicarpa","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Aglaophenia longicarpa"
"89","Distribucion de Aglaophenia lophocarpa en el golfo de California","Clasificacion Taxonomica Completa de Aglaophenia lophocarpa","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Aglaophenia lophocarpa"
"90","Distribucion de Aglaophenia octocarpa en el golfo de California","Clasificacion Taxonomica Completa de Aglaophenia octocarpa","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Aglaophenia octocarpa"
"91","Distribucion de Aglaophenia pinguis en el golfo de California","Clasificacion Taxonomica Completa de Aglaophenia pinguis","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Aglaophenia pinguis"
"92","Distribucion de Aglaophenia propinqua en el golfo de California","Clasificacion Taxonomica Completa de Aglaophenia propinqua","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Aglaophenia propinqua"
"93","Distribucion de Aglaophenia rigida en el golfo de California","Clasificacion Taxonomica Completa de Aglaophenia rigida","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Aglaophenia rigida"
"94","Distribucion de Aglaophenia triplex en el golfo de California","Clasificacion Taxonomica Completa de Aglaophenia triplex","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Aglaophenia triplex"
"95","Distribucion de Aidanosagitta neglecta en el golfo de California","Clasificacion Taxonomica Completa de Aidanosagitta neglecta","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Sagitta neglecta; S. septata Doncaster, 1902; S. tricodermis Oye, 1918","Aidanosagitta neglecta"
"96","Distribucion de Aidanosagitta regularis en el golfo de California","Clasificacion Taxonomica Completa de Aidanosagitta regularis","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Sagitta regularis; S. bedfordii Tokioka, 1942; S. pseudoregularis Oye, 1918","Aidanosagitta regularis"
"97","Distribucion de Aimulosia palliolata en el golfo de California","Clasificacion Taxonomica Completa de Aimulosia palliolata","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Lepralia palliolata","Aimulosia palliolata"
"98","Distribucion de Aimulosia uvulifera en el golfo de California","Clasificacion Taxonomica Completa de Aimulosia uvulifera","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Lepralia uvulifera","Aimulosia uvulifera"
"99","Distribucion de Aiptasia californica en el golfo de California","Clasificacion Taxonomica Completa de Aiptasia californica","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Aiptasia californica"
"100","Distribucion de Aka cryptica en el golfo de California","Clasificacion Taxonomica Completa de Aka cryptica","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Aka cryptica"
"101","Distribucion de Ala cornuta en el golfo de California","Clasificacion Taxonomica Completa de Ala cornuta","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Anaptychus cornutus; Ala spinosa Lockington, 1876; Mithrax trigonopus Cano, 1889","Ala cornuta"
"102","Distribucion de Alaba interruptelineata en el golfo de California","Clasificacion Taxonomica Completa de Alaba interruptelineata","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Alaba interruptelineata"
"103","Distribucion de Alaba supralirata en el golfo de California","Clasificacion Taxonomica Completa de Alaba supralirata","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Alaba supralirata"
"104","Distribucion de Alachosquilla digueti en el golfo de California","Clasificacion Taxonomica Completa de Alachosquilla digueti","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Lysiosquilla digueti; Lysiosquilla floridensis Manning, 1962; Acanthosquilla floridensis Manning, 19","Alachosquilla digueti"
"105","Distribucion de Albunea galapagensis en el golfo de California","Clasificacion Taxonomica Completa de Albunea galapagensis","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Albunea lucasia of Ramos & Rios 1995 (not of de saussure, 1853)","Albunea galapagensis"
"106","Distribucion de Albunea lucasia en el golfo de California","Clasificacion Taxonomica Completa de Albunea lucasia","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Albuminea lucasia","Albunea lucasia"
"107","Distribucion de Alcirona krebsii en el golfo de California","Clasificacion Taxonomica Completa de Alcirona krebsii","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Alcirona krebsii"
"108","Distribucion de Alderdina smitti en el golfo de California","Clasificacion Taxonomica Completa de Alderdina smitti","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion New name Membranipora irregularis","Alderdina smitti"
"109","Distribucion de Aldisa sanguinea en el golfo de California","Clasificacion Taxonomica Completa de Aldisa sanguinea","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Doris (Asteronotus) sanguinea","Aldisa sanguinea"
"110","Distribucion de Alicia beebei en el golfo de California","Clasificacion Taxonomica Completa de Alicia beebei","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Alicia beebei"
"111","Distribucion de Aligena cokeri en el golfo de California","Clasificacion Taxonomica Completa de Aligena cokeri","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Aligena cokeri"
"112","Distribucion de Aligena nucea en el golfo de California","Clasificacion Taxonomica Completa de Aligena nucea","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Aligena nucea"
"113","Distribucion de Aligena obliqua en el golfo de California","Clasificacion Taxonomica Completa de Aligena obliqua","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Aligena obliqua"
"114","Distribucion de Alleena mexicana en el golfo de California","Clasificacion Taxonomica Completa de Alleena mexicana","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Alleena mexicana"
"115","Distribucion de Alleorus deprellus en el golfo de California","Clasificacion Taxonomica Completa de Alleorus deprellus","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Alleorus deprellus"
"116","Distribucion de Allocentrotus fragilis en el golfo de California","Clasificacion Taxonomica Completa de Allocentrotus fragilis","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Strongylocentrotus fragilis","Allocentrotus fragilis"
"117","Distribucion de Alloioplana sandiegensis en el golfo de California","Clasificacion Taxonomica Completa de Alloioplana sandiegensis","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion Planocera saiegensis","Alloioplana sandiegensis"
"118","Distribucion de Allopontonia iaini en el golfo de California","Clasificacion Taxonomica Completa de Allopontonia iaini","Macrofauna; Invertebrados; profundidad; minima; maxima; habitat; sustrato; Clasificacion NA","Allopontonia iaini"
