"","Especies","Comun","Sitios","AbundanciaA","AbundanciaB","AbundanciaC","AbundanciaD","Key","TallaI","TallaII","TallaIII","TallaIIII"
"11","Caranx bartholomaei","Cojinuda amarilla","","Abundancia de Caranx bartholomaei en Punta Herrero, Sian Kaan","Abundancia de Caranx bartholomaei en Maria Elena, Sian Kaan","Abundancia de Caranx bartholomaei en Puerto Morelos","Abundancia de Caranx bartholomaei en Banco Chinchorro","Cojinuda amarilla Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Caranx bartholomaei en Punta Herrero, Sian Kaan","Talla de Caranx bartholomaei en Maria Elena, Sian Kaan","Talla de Caranx bartholomaei en Puerto Morelos","Talla de Caranx bartholomaei en Banco Chinchorro"
"12","Caranx crysos","Cojinuda gris","","Abundancia de Caranx crysos en Punta Herrero, Sian Kaan","Abundancia de Caranx crysos en Maria Elena, Sian Kaan","Abundancia de Caranx crysos en Puerto Morelos","Abundancia de Caranx crysos en Banco Chinchorro","Cojinuda gris Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Caranx crysos en Punta Herrero, Sian Kaan","Talla de Caranx crysos en Maria Elena, Sian Kaan","Talla de Caranx crysos en Puerto Morelos","Talla de Caranx crysos en Banco Chinchorro"
"13","Cephalopholis cruentatus","Cabrilla de roca","","Abundancia de Cephalopholis cruentatus en Punta Herrero, Sian Kaan","Abundancia de Cephalopholis cruentatus en Maria Elena, Sian Kaan","Abundancia de Cephalopholis cruentatus en Puerto Morelos","Abundancia de Cephalopholis cruentatus en Banco Chinchorro","Cabrilla de roca Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Cephalopholis cruentatus en Punta Herrero, Sian Kaan","Talla de Cephalopholis cruentatus en Maria Elena, Sian Kaan","Talla de Cephalopholis cruentatus en Puerto Morelos","Talla de Cephalopholis cruentatus en Banco Chinchorro"
"14","Cephalopholis fulva","Manzanita","","Abundancia de Cephalopholis fulva en Punta Herrero, Sian Kaan","Abundancia de Cephalopholis fulva en Maria Elena, Sian Kaan","Abundancia de Cephalopholis fulva en Puerto Morelos","Abundancia de Cephalopholis fulva en Banco Chinchorro","Manzanita Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Cephalopholis fulva en Punta Herrero, Sian Kaan","Talla de Cephalopholis fulva en Maria Elena, Sian Kaan","Talla de Cephalopholis fulva en Puerto Morelos","Talla de Cephalopholis fulva en Banco Chinchorro"
"15","Epinephelus guttatus","Cabrilla payaso","","Abundancia de Epinephelus guttatus en Punta Herrero, Sian Kaan","Abundancia de Epinephelus guttatus en Maria Elena, Sian Kaan","Abundancia de Epinephelus guttatus en Puerto Morelos","Abundancia de Epinephelus guttatus en Banco Chinchorro","Cabrilla payaso Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Epinephelus guttatus en Punta Herrero, Sian Kaan","Talla de Epinephelus guttatus en Maria Elena, Sian Kaan","Talla de Epinephelus guttatus en Puerto Morelos","Talla de Epinephelus guttatus en Banco Chinchorro"
"16","Chromis sp.","Chromis","","Abundancia de Chromis sp. en Punta Herrero, Sian Kaan","Abundancia de Chromis sp. en Maria Elena, Sian Kaan","Abundancia de Chromis sp. en Puerto Morelos","Abundancia de Chromis sp. en Banco Chinchorro","Chromis Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Chromis sp. en Punta Herrero, Sian Kaan","Talla de Chromis sp. en Maria Elena, Sian Kaan","Talla de Chromis sp. en Puerto Morelos","Talla de Chromis sp. en Banco Chinchorro"
"17","Damisela sp.","Damisela","","Abundancia de Damisela sp. en Punta Herrero, Sian Kaan","Abundancia de Damisela sp. en Maria Elena, Sian Kaan","Abundancia de Damisela sp. en Puerto Morelos","Abundancia de Damisela sp. en Banco Chinchorro","Damisela Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Damisela sp. en Punta Herrero, Sian Kaan","Talla de Damisela sp. en Maria Elena, Sian Kaan","Talla de Damisela sp. en Puerto Morelos","Talla de Damisela sp. en Banco Chinchorro"
"18","Dasyatis americana","Bala","","Abundancia de Dasyatis americana en Punta Herrero, Sian Kaan","Abundancia de Dasyatis americana en Maria Elena, Sian Kaan","Abundancia de Dasyatis americana en Puerto Morelos","Abundancia de Dasyatis americana en Banco Chinchorro","Bala Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Dasyatis americana en Punta Herrero, Sian Kaan","Talla de Dasyatis americana en Maria Elena, Sian Kaan","Talla de Dasyatis americana en Puerto Morelos","Talla de Dasyatis americana en Banco Chinchorro"
"19","Epinephelus adscensionis","Cabrilla lunar","","Abundancia de Epinephelus adscensionis en Punta Herrero, Sian Kaan","Abundancia de Epinephelus adscensionis en Maria Elena, Sian Kaan","Abundancia de Epinephelus adscensionis en Puerto Morelos","Abundancia de Epinephelus adscensionis en Banco Chinchorro","Cabrilla lunar Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Epinephelus adscensionis en Punta Herrero, Sian Kaan","Talla de Epinephelus adscensionis en Maria Elena, Sian Kaan","Talla de Epinephelus adscensionis en Puerto Morelos","Talla de Epinephelus adscensionis en Banco Chinchorro"
"20","Epinephelus striatus","Mero criollo","","Abundancia de Epinephelus striatus en Punta Herrero, Sian Kaan","Abundancia de Epinephelus striatus en Maria Elena, Sian Kaan","Abundancia de Epinephelus striatus en Puerto Morelos","Abundancia de Epinephelus striatus en Banco Chinchorro","Mero criollo Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Epinephelus striatus en Punta Herrero, Sian Kaan","Talla de Epinephelus striatus en Maria Elena, Sian Kaan","Talla de Epinephelus striatus en Puerto Morelos","Talla de Epinephelus striatus en Banco Chinchorro"
"21","Epinephelus morio","Mero mestizo","","Abundancia de Epinephelus morio en Punta Herrero, Sian Kaan","Abundancia de Epinephelus morio en Maria Elena, Sian Kaan","Abundancia de Epinephelus morio en Puerto Morelos","Abundancia de Epinephelus morio en Banco Chinchorro","Mero mestizo Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Epinephelus morio en Punta Herrero, Sian Kaan","Talla de Epinephelus morio en Maria Elena, Sian Kaan","Talla de Epinephelus morio en Puerto Morelos","Talla de Epinephelus morio en Banco Chinchorro"
"22","Gerres cinereus","Mojarra blanca","","Abundancia de Gerres cinereus en Punta Herrero, Sian Kaan","Abundancia de Gerres cinereus en Maria Elena, Sian Kaan","Abundancia de Gerres cinereus en Puerto Morelos","Abundancia de Gerres cinereus en Banco Chinchorro","Mojarra blanca Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Gerres cinereus en Punta Herrero, Sian Kaan","Talla de Gerres cinereus en Maria Elena, Sian Kaan","Talla de Gerres cinereus en Puerto Morelos","Talla de Gerres cinereus en Banco Chinchorro"
"23","Ginglymostoma cirratum","Tiburon gata","","Abundancia de Ginglymostoma cirratum en Punta Herrero, Sian Kaan","Abundancia de Ginglymostoma cirratum en Maria Elena, Sian Kaan","Abundancia de Ginglymostoma cirratum en Puerto Morelos","Abundancia de Ginglymostoma cirratum en Banco Chinchorro","Tiburon gata Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Ginglymostoma cirratum en Punta Herrero, Sian Kaan","Talla de Ginglymostoma cirratum en Maria Elena, Sian Kaan","Talla de Ginglymostoma cirratum en Puerto Morelos","Talla de Ginglymostoma cirratum en Banco Chinchorro"
"24","Gramma loreto","Mariposa gallo","","Abundancia de Gramma loreto en Punta Herrero, Sian Kaan","Abundancia de Gramma loreto en Maria Elena, Sian Kaan","Abundancia de Gramma loreto en Puerto Morelos","Abundancia de Gramma loreto en Banco Chinchorro","Mariposa gallo Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Gramma loreto en Punta Herrero, Sian Kaan","Talla de Gramma loreto en Maria Elena, Sian Kaan","Talla de Gramma loreto en Puerto Morelos","Talla de Gramma loreto en Banco Chinchorro"
"25","Haemulon flavolineatum","Doradito","","Abundancia de Haemulon flavolineatum en Punta Herrero, Sian Kaan","Abundancia de Haemulon flavolineatum en Maria Elena, Sian Kaan","Abundancia de Haemulon flavolineatum en Puerto Morelos","Abundancia de Haemulon flavolineatum en Banco Chinchorro","Doradito Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Haemulon flavolineatum en Punta Herrero, Sian Kaan","Talla de Haemulon flavolineatum en Maria Elena, Sian Kaan","Talla de Haemulon flavolineatum en Puerto Morelos","Talla de Haemulon flavolineatum en Banco Chinchorro"
"26","Haemulon plumierii","Matagato","","Abundancia de Haemulon plumierii en Punta Herrero, Sian Kaan","Abundancia de Haemulon plumierii en Maria Elena, Sian Kaan","Abundancia de Haemulon plumierii en Puerto Morelos","Abundancia de Haemulon plumierii en Banco Chinchorro","Matagato Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Haemulon plumierii en Punta Herrero, Sian Kaan","Talla de Haemulon plumierii en Maria Elena, Sian Kaan","Talla de Haemulon plumierii en Puerto Morelos","Talla de Haemulon plumierii en Banco Chinchorro"
"27","Haemulon sciurus","Chac-chi lineas azules","","Abundancia de Haemulon sciurus en Punta Herrero, Sian Kaan","Abundancia de Haemulon sciurus en Maria Elena, Sian Kaan","Abundancia de Haemulon sciurus en Puerto Morelos","Abundancia de Haemulon sciurus en Banco Chinchorro","Chac-chi lineas azules Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Haemulon sciurus en Punta Herrero, Sian Kaan","Talla de Haemulon sciurus en Maria Elena, Sian Kaan","Talla de Haemulon sciurus en Puerto Morelos","Talla de Haemulon sciurus en Banco Chinchorro"
"28","Haemulon aurolineatum","Zotito","","Abundancia de Haemulon aurolineatum en Punta Herrero, Sian Kaan","Abundancia de Haemulon aurolineatum en Maria Elena, Sian Kaan","Abundancia de Haemulon aurolineatum en Puerto Morelos","Abundancia de Haemulon aurolineatum en Banco Chinchorro","Zotito Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Haemulon aurolineatum en Punta Herrero, Sian Kaan","Talla de Haemulon aurolineatum en Maria Elena, Sian Kaan","Talla de Haemulon aurolineatum en Puerto Morelos","Talla de Haemulon aurolineatum en Banco Chinchorro"
"29","Haemulon album","Zapatero","","Abundancia de Haemulon album en Punta Herrero, Sian Kaan","Abundancia de Haemulon album en Maria Elena, Sian Kaan","Abundancia de Haemulon album en Puerto Morelos","Abundancia de Haemulon album en Banco Chinchorro","Zapatero Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Haemulon album en Punta Herrero, Sian Kaan","Talla de Haemulon album en Maria Elena, Sian Kaan","Talla de Haemulon album en Puerto Morelos","Talla de Haemulon album en Banco Chinchorro"
"30","Haemulon parra","Barraza","","Abundancia de Haemulon parra en Punta Herrero, Sian Kaan","Abundancia de Haemulon parra en Maria Elena, Sian Kaan","Abundancia de Haemulon parra en Puerto Morelos","Abundancia de Haemulon parra en Banco Chinchorro","Barraza Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Haemulon parra en Punta Herrero, Sian Kaan","Talla de Haemulon parra en Maria Elena, Sian Kaan","Talla de Haemulon parra en Puerto Morelos","Talla de Haemulon parra en Banco Chinchorro"
"31","Haemulon melanurum","Zote","","Abundancia de Haemulon melanurum en Punta Herrero, Sian Kaan","Abundancia de Haemulon melanurum en Maria Elena, Sian Kaan","Abundancia de Haemulon melanurum en Puerto Morelos","Abundancia de Haemulon melanurum en Banco Chinchorro","Zote Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Haemulon melanurum en Punta Herrero, Sian Kaan","Talla de Haemulon melanurum en Maria Elena, Sian Kaan","Talla de Haemulon melanurum en Puerto Morelos","Talla de Haemulon melanurum en Banco Chinchorro"
"32","Haemulon macrostomun","Chac-chi de cueva","","Abundancia de Haemulon macrostomun en Punta Herrero, Sian Kaan","Abundancia de Haemulon macrostomun en Maria Elena, Sian Kaan","Abundancia de Haemulon macrostomun en Puerto Morelos","Abundancia de Haemulon macrostomun en Banco Chinchorro","Chac-chi de cueva Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Haemulon macrostomun en Punta Herrero, Sian Kaan","Talla de Haemulon macrostomun en Maria Elena, Sian Kaan","Talla de Haemulon macrostomun en Puerto Morelos","Talla de Haemulon macrostomun en Banco Chinchorro"
"33","Haemulon sp.","Chac-chi","","Abundancia de Haemulon sp. en Punta Herrero, Sian Kaan","Abundancia de Haemulon sp. en Maria Elena, Sian Kaan","Abundancia de Haemulon sp. en Puerto Morelos","Abundancia de Haemulon sp. en Banco Chinchorro","Chac-chi Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Haemulon sp. en Punta Herrero, Sian Kaan","Talla de Haemulon sp. en Maria Elena, Sian Kaan","Talla de Haemulon sp. en Puerto Morelos","Talla de Haemulon sp. en Banco Chinchorro"
"34","Haemulon chrysargyreum","Ronco boca chica","","Abundancia de Haemulon chrysargyreum en Punta Herrero, Sian Kaan","Abundancia de Haemulon chrysargyreum en Maria Elena, Sian Kaan","Abundancia de Haemulon chrysargyreum en Puerto Morelos","Abundancia de Haemulon chrysargyreum en Banco Chinchorro","Ronco boca chica Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Haemulon chrysargyreum en Punta Herrero, Sian Kaan","Talla de Haemulon chrysargyreum en Maria Elena, Sian Kaan","Talla de Haemulon chrysargyreum en Puerto Morelos","Talla de Haemulon chrysargyreum en Banco Chinchorro"
"35","Haemulon carbonarium","Chac-chi cola negra","","Abundancia de Haemulon carbonarium en Punta Herrero, Sian Kaan","Abundancia de Haemulon carbonarium en Maria Elena, Sian Kaan","Abundancia de Haemulon carbonarium en Puerto Morelos","Abundancia de Haemulon carbonarium en Banco Chinchorro","Chac-chi cola negra Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Haemulon carbonarium en Punta Herrero, Sian Kaan","Talla de Haemulon carbonarium en Maria Elena, Sian Kaan","Talla de Haemulon carbonarium en Puerto Morelos","Talla de Haemulon carbonarium en Banco Chinchorro"
"36","Haemulon striatum ","Ronco rayado","","Abundancia de Haemulon striatum  en Punta Herrero, Sian Kaan","Abundancia de Haemulon striatum  en Maria Elena, Sian Kaan","Abundancia de Haemulon striatum  en Puerto Morelos","Abundancia de Haemulon striatum  en Banco Chinchorro","Ronco rayado Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Haemulon striatum  en Punta Herrero, Sian Kaan","Talla de Haemulon striatum  en Maria Elena, Sian Kaan","Talla de Haemulon striatum  en Puerto Morelos","Talla de Haemulon striatum  en Banco Chinchorro"
"37","Holacanthus ciliaris","Angel reina","","Abundancia de Holacanthus ciliaris en Punta Herrero, Sian Kaan","Abundancia de Holacanthus ciliaris en Maria Elena, Sian Kaan","Abundancia de Holacanthus ciliaris en Puerto Morelos","Abundancia de Holacanthus ciliaris en Banco Chinchorro","Angel reina Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Holacanthus ciliaris en Punta Herrero, Sian Kaan","Talla de Holacanthus ciliaris en Maria Elena, Sian Kaan","Talla de Holacanthus ciliaris en Puerto Morelos","Talla de Holacanthus ciliaris en Banco Chinchorro"
"38","Holacanthus tricolor","Chabelita tricolor","","Abundancia de Holacanthus tricolor en Punta Herrero, Sian Kaan","Abundancia de Holacanthus tricolor en Maria Elena, Sian Kaan","Abundancia de Holacanthus tricolor en Puerto Morelos","Abundancia de Holacanthus tricolor en Banco Chinchorro","Chabelita tricolor Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Holacanthus tricolor en Punta Herrero, Sian Kaan","Talla de Holacanthus tricolor en Maria Elena, Sian Kaan","Talla de Holacanthus tricolor en Puerto Morelos","Talla de Holacanthus tricolor en Banco Chinchorro"
"39","Kyphosus sectatrix/incisor","Cagona","","Abundancia de Kyphosus sectatrix/incisor en Punta Herrero, Sian Kaan","Abundancia de Kyphosus sectatrix/incisor en Maria Elena, Sian Kaan","Abundancia de Kyphosus sectatrix/incisor en Puerto Morelos","Abundancia de Kyphosus sectatrix/incisor en Banco Chinchorro","Cagona Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Kyphosus sectatrix/incisor en Punta Herrero, Sian Kaan","Talla de Kyphosus sectatrix/incisor en Maria Elena, Sian Kaan","Talla de Kyphosus sectatrix/incisor en Puerto Morelos","Talla de Kyphosus sectatrix/incisor en Banco Chinchorro"
"40","Lachnolaimus maximus","Boquinete","","Abundancia de Lachnolaimus maximus en Punta Herrero, Sian Kaan","Abundancia de Lachnolaimus maximus en Maria Elena, Sian Kaan","Abundancia de Lachnolaimus maximus en Puerto Morelos","Abundancia de Lachnolaimus maximus en Banco Chinchorro","Boquinete Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Lachnolaimus maximus en Punta Herrero, Sian Kaan","Talla de Lachnolaimus maximus en Maria Elena, Sian Kaan","Talla de Lachnolaimus maximus en Puerto Morelos","Talla de Lachnolaimus maximus en Banco Chinchorro"
"41","Lancero sp.","Cirujanos","","Abundancia de Lancero sp. en Punta Herrero, Sian Kaan","Abundancia de Lancero sp. en Maria Elena, Sian Kaan","Abundancia de Lancero sp. en Puerto Morelos","Abundancia de Lancero sp. en Banco Chinchorro","Cirujanos Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Lancero sp. en Punta Herrero, Sian Kaan","Talla de Lancero sp. en Maria Elena, Sian Kaan","Talla de Lancero sp. en Puerto Morelos","Talla de Lancero sp. en Banco Chinchorro"
"42","Loro sp.","Loros","","Abundancia de Loro sp. en Punta Herrero, Sian Kaan","Abundancia de Loro sp. en Maria Elena, Sian Kaan","Abundancia de Loro sp. en Puerto Morelos","Abundancia de Loro sp. en Banco Chinchorro","Loros Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Loro sp. en Punta Herrero, Sian Kaan","Talla de Loro sp. en Maria Elena, Sian Kaan","Talla de Loro sp. en Puerto Morelos","Talla de Loro sp. en Banco Chinchorro"
"43","Lutjanus apodus","Pargo amarillo","","Abundancia de Lutjanus apodus en Punta Herrero, Sian Kaan","Abundancia de Lutjanus apodus en Maria Elena, Sian Kaan","Abundancia de Lutjanus apodus en Puerto Morelos","Abundancia de Lutjanus apodus en Banco Chinchorro","Pargo amarillo Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Lutjanus apodus en Punta Herrero, Sian Kaan","Talla de Lutjanus apodus en Maria Elena, Sian Kaan","Talla de Lutjanus apodus en Puerto Morelos","Talla de Lutjanus apodus en Banco Chinchorro"
"44","Lutjanus mahogoni","Pargo ojon","","Abundancia de Lutjanus mahogoni en Punta Herrero, Sian Kaan","Abundancia de Lutjanus mahogoni en Maria Elena, Sian Kaan","Abundancia de Lutjanus mahogoni en Puerto Morelos","Abundancia de Lutjanus mahogoni en Banco Chinchorro","Pargo ojon Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Lutjanus mahogoni en Punta Herrero, Sian Kaan","Talla de Lutjanus mahogoni en Maria Elena, Sian Kaan","Talla de Lutjanus mahogoni en Puerto Morelos","Talla de Lutjanus mahogoni en Banco Chinchorro"
"45","Lutjanus griseus","Pargo mulato","","Abundancia de Lutjanus griseus en Punta Herrero, Sian Kaan","Abundancia de Lutjanus griseus en Maria Elena, Sian Kaan","Abundancia de Lutjanus griseus en Puerto Morelos","Abundancia de Lutjanus griseus en Banco Chinchorro","Pargo mulato Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Lutjanus griseus en Punta Herrero, Sian Kaan","Talla de Lutjanus griseus en Maria Elena, Sian Kaan","Talla de Lutjanus griseus en Puerto Morelos","Talla de Lutjanus griseus en Banco Chinchorro"
"46","Lutjanus synagris","Pargo rayado","","Abundancia de Lutjanus synagris en Punta Herrero, Sian Kaan","Abundancia de Lutjanus synagris en Maria Elena, Sian Kaan","Abundancia de Lutjanus synagris en Puerto Morelos","Abundancia de Lutjanus synagris en Banco Chinchorro","Pargo rayado Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Lutjanus synagris en Punta Herrero, Sian Kaan","Talla de Lutjanus synagris en Maria Elena, Sian Kaan","Talla de Lutjanus synagris en Puerto Morelos","Talla de Lutjanus synagris en Banco Chinchorro"
"47","Lutjanus cyanopterus","Pargo cubera","","Abundancia de Lutjanus cyanopterus en Punta Herrero, Sian Kaan","Abundancia de Lutjanus cyanopterus en Maria Elena, Sian Kaan","Abundancia de Lutjanus cyanopterus en Puerto Morelos","Abundancia de Lutjanus cyanopterus en Banco Chinchorro","Pargo cubera Tallas; Quinta Roo; Yucatan; Monitoreo, Peces, Invertebrado","Talla de Lutjanus cyanopterus en Punta Herrero, Sian Kaan","Talla de Lutjanus cyanopterus en Maria Elena, Sian Kaan","Talla de Lutjanus cyanopterus en Puerto Morelos","Talla de Lutjanus cyanopterus en Banco Chinchorro"
