Short_Title,Keywords,Author,Institution,Dataset_Available,Subject_name,Area,Region,Location,Start_Year,End_Year,Data_Time_Points,Unit_Type,Temporal_Resolution,Spatial_Resolution,Dataset_Title,Compilation_Title,Publication_Year,Reference,Available_Metadata,Metadata_name,User_Contact,Institution_Type,Research_Fund,Research_Field,SE_Interaction,Data_Uncertanty,Notes,Lat,Long
Registro de Gracilariaceae (Fam.) en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Gracilariaceae,Pacific,Sentral Pacific,Bahia Banderas,1986,1988,3,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.73920138,-105.5018054
Registro de Hildenbrandiaceae (Fam.) en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Hildenbrandiaceae,Pacific,Sentral Pacific,Bahia Banderas,1987,1987,1,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.755833,-105.384167
Registro de Liagoraceae (Fam.) en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Liagoraceae,Pacific,Sentral Pacific,Bahia Banderas,1988,1988,1,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.755833,-105.384167
Registro de Nostocaceae (Fam.) en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Nostocaceae,Pacific,Sentral Pacific,Bahia Banderas,1987,1987,1,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.870278,-105.442778
Registro de Peyssonneliaceae (Fam.) en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Peyssonneliaceae,Pacific,Sentral Pacific,Bahia Banderas,1987,1988,3,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.8056276,-105.4234751
Registro de Phormidiaceae (Fam.) en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Phormidiaceae,Pacific,Sentral Pacific,Bahia Banderas,1980,1987,2,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.9716665,-105.362778
Registro de Ralfsiaceae (Fam.) en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Ralfsiaceae,Pacific,Sentral Pacific,Bahia Banderas,1987,1988,2,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.75043135,-105.430451
Registro de Rhodomelaceae (Fam.) en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Rhodomelaceae,Pacific,Sentral Pacific,Bahia Banderas,1980,2001,6,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.7423153,-105.4632499
Registro de Scytosiphonaceae (Fam.) en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Scytosiphonaceae,Pacific,Sentral Pacific,Bahia Banderas,1987,1988,2,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.727309,-105.4439411
Registro de Sphacelariaceae (Fam.) en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Sphacelariaceae,Pacific,Sentral Pacific,Bahia Banderas,1987,2001,2,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.6361595,-105.4544445
Registro de Spyridiaceae (Fam.) en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Spyridiaceae,Pacific,Sentral Pacific,Bahia Banderas,1988,1988,1,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.771278,-105.515861
Registro de Udoteaceae (Fam.) en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Udoteaceae,Pacific,Sentral Pacific,Bahia Banderas,2001,2001,1,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.755833,-105.384167
Registro de Ulvaceae (Fam.) en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Ulvaceae,Pacific,Sentral Pacific,Bahia Banderas,1980,2000,4,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.8005888,-105.4253388
Registro de Wrangeliaceae (Fam.) en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Wrangeliaceae,Pacific,Sentral Pacific,Bahia Banderas,1988,1988,1,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,21.138333,-105.231667
Registro de Ahnfeltia plicata en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Ahnfeltia plicata,Pacific,Sentral Pacific,Bahia Banderas,NA,NA,1,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.77,-105.5381665
Registro de Ahnfeltia svensonii en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Ahnfeltia svensonii,Pacific,Sentral Pacific,Bahia Banderas,1986,1988,4,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.70042017,-105.4575822
Registro de Ahnfeltiopsis concinna en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Ahnfeltiopsis concinna,Pacific,Sentral Pacific,Bahia Banderas,1986,1988,3,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.74050338,-105.4366911
Registro de Ahnfeltiopsis gigartinoides en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Ahnfeltiopsis gigartinoides,Pacific,Sentral Pacific,Bahia Banderas,1986,1996,4,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.6157499,-105.543595
Registro de Ahnfeltiopsis leptophylla en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Ahnfeltiopsis leptophylla,Pacific,Sentral Pacific,Bahia Banderas,1987,1987,2,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.6119889,-105.4808056
Registro de Ahnfeltiopsis serenei en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Ahnfeltiopsis serenei,Pacific,Sentral Pacific,Bahia Banderas,1987,1987,2,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.89877767,-105.3983705
Registro de Amphiroa annulata en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Amphiroa annulata,Pacific,Sentral Pacific,Bahia Banderas,1946,1946,2,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,21.21737033,-105.3032408
Registro de Amphiroa beauvoisii en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Amphiroa beauvoisii,Pacific,Sentral Pacific,Bahia Banderas,1986,2000,5,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.81555553,-105.3986608
Registro de Amphiroa currae en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Amphiroa currae,Pacific,Sentral Pacific,Bahia Banderas,NA,NA,1,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.77,-105.5381665
Registro de Amphiroa dimorpha en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Amphiroa dimorpha,Pacific,Sentral Pacific,Bahia Banderas,1946,1988,4,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.83613669,-105.3662137
Registro de Amphiroa misakiensis en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Amphiroa misakiensis,Pacific,Sentral Pacific,Bahia Banderas,1946,2000,5,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.81267695,-105.4002062
Registro de Amphiroa polymorpha en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Amphiroa polymorpha,Pacific,Sentral Pacific,Bahia Banderas,NA,NA,1,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.806389,-105.3407777
Registro de Amphiroa taylorii en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Amphiroa taylorii,Pacific,Sentral Pacific,Bahia Banderas,NA,NA,1,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.4889445,-105.44775
Registro de Amphiroa valonioides en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Amphiroa valonioides,Pacific,Sentral Pacific,Bahia Banderas,1946,1988,4,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.84157136,-105.4130859
Registro de Antithamnionella breviramosa en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Antithamnionella breviramosa,Pacific,Sentral Pacific,Bahia Banderas,NA,NA,1,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.8245835,-105.2420833
Registro de Asparagopsis taxiformis en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Asparagopsis taxiformis,Pacific,Sentral Pacific,Bahia Banderas,1946,1988,4,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.85280279,-105.3993028
Registro de Boodlea composita en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Boodlea composita,Pacific,Sentral Pacific,Bahia Banderas,1987,1988,3,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.7855583,-105.5089472
Registro de Bostrychia tenella en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Bostrychia tenella,Pacific,Sentral Pacific,Bahia Banderas,1987,1987,1,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.79983333,-105.5147407
Registro de Botryocladia pseudodichotoma en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Botryocladia pseudodichotoma,Pacific,Sentral Pacific,Bahia Banderas,NA,NA,1,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.7,-105.5831665
Registro de Botryocladia uvarioides en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Botryocladia uvarioides,Pacific,Sentral Pacific,Bahia Banderas,1988,1988,2,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,21.00986261,-105.2811682
Registro de Bryopsis corticulans en Bahia Banderas,macroalgas; algas; Chlorophyta; Phaeophyta; Rhodophyta; Cianophyta; FCME; Herbario,"Gonzalez Gonzalez., et al",GBIF-UNAM,1,Bryopsis corticulans,Pacific,Sentral Pacific,Bahia Banderas,1988,1988,2,Value,Year,Georeferenced,Inventario de macroalgas de Bahia de Banderas: Fase I y Fase II,Global Biodiversity Information Facility,2017,https://doi.org/10.15468/pglvkj,NA,NA,Sonia Alejandra Careaga Olvera; scareaga@conabio.gob.mx,ACA,GOV,Ecology,Status,NA,NA,20.4609445,-105.5226112
