"","Especie","Region","Comun","Key_T","Key","Titulo","Otro"
"19","Sebastes chrysomelas","PBC","Rocote mulato","Rocote mulato Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Rocote mulato Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Sebastes chrysomelas en Isla Guadalupe, BC"
"20","Sebastes flavidus","PBC","Rocote cola amarilla","Rocote cola amarilla Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Rocote cola amarilla Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Sebastes flavidus en Isla Guadalupe, BC"
"21","Sebastes rastrelliger","PBC","Rocote olivo","Rocote olivo Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Rocote olivo Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Sebastes rastrelliger en Isla Guadalupe, BC"
"22","Sebastes serranoides","PBC","Rocote falsa cabrilla","Rocote falsa cabrilla Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Rocote falsa cabrilla Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Sebastes serranoides en Isla Guadalupe, BC"
"23","Seastes sp.","PBC",NA,"NA Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","NA Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Seastes sp. en Isla Guadalupe, BC"
"24","Semicossyphus pulcher","PBC","Vieja californiana","Vieja californiana Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Vieja californiana Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Semicossyphus pulcher en Isla Guadalupe, BC"
"25","Squatina californica","PBC","Angelote del Pacifico","Angelote del Pacifico Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Angelote del Pacifico Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Squatina californica en Isla Guadalupe, BC"
"26","Stereolepis gigas","PBC","Mero pescada","Mero pescada Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Mero pescada Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Stereolepis gigas en Isla Guadalupe, BC"
"27","Halichoeres semicinctus","PBC","Vieja puntos negros / Senorita roquera","Vieja puntos negros / Senorita roquera Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Vieja puntos negros / Senorita roquera Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Halichoeres semicinctus en Isla Guadalupe, BC"
"28","Mycteroperca jordani","PBC","Baya","Baya Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Baya Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Mycteroperca jordani en Isla Guadalupe, BC"
"29","Anthopleura sp.","PBC","Anemona gigante","Anemona gigante Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Anemona gigante Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Anthopleura sp. en Isla Guadalupe, BC"
"30","Cancer sp.","PBC","Cangrejo jaiba","Cangrejo jaiba Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Cangrejo jaiba Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Cancer sp. en Isla Guadalupe, BC"
"31","Centrostephanus coronatus","PBC","Erizo corona","Erizo corona Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Erizo corona Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Centrostephanus coronatus en Isla Guadalupe, BC"
"32","Crassedoma gigantea","PBC","Almeja de roca","Almeja de roca Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Almeja de roca Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Crassedoma gigantea en Isla Guadalupe, BC"
"33","Neobernaya spadicea","PBC","Caracol porcelana","Caracol porcelana Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Caracol porcelana Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Neobernaya spadicea en Isla Guadalupe, BC"
"34","Cypraea sp.","PBC","Caracol","Caracol Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Caracol Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Cypraea sp. en Isla Guadalupe, BC"
"35","Muricea sp.","PBC","Gorgonido","Gorgonido Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Gorgonido Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Muricea sp. en Isla Guadalupe, BC"
"36","Haliotis corrugata","PBC","Abulon amarillo","Abulon amarillo Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Abulon amarillo Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Haliotis corrugata en Isla Guadalupe, BC"
"37","Haliotis cracherodii","PBC","Abulon negro","Abulon negro Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Abulon negro Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Haliotis cracherodii en Isla Guadalupe, BC"
"38","Haliotis fulgens","PBC","Abulon azul","Abulon azul Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Abulon azul Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Haliotis fulgens en Isla Guadalupe, BC"
"39","Haliotis rufescens","PBC","Abulon rojo","Abulon rojo Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Abulon rojo Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Haliotis rufescens en Isla Guadalupe, BC"
"40","Haliotis sorenseni","PBC","Abulon chino","Abulon chino Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Abulon chino Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Haliotis sorenseni en Isla Guadalupe, BC"
"41","Kelletia kelletii","PBC","Caracol tornillo","Caracol tornillo Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Caracol tornillo Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Kelletia kelletii en Isla Guadalupe, BC"
"42","Leptogorgia chilensis","PBC","Gorgonido rojo","Gorgonido rojo Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Gorgonido rojo Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Leptogorgia chilensis en Isla Guadalupe, BC"
"43","Megastraea turbanica","PBC","Caracol turbina","Caracol turbina Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Caracol turbina Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Megastraea turbanica en Isla Guadalupe, BC"
"44","Megastraea undosa","PBC","Caracol undosa","Caracol undosa Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Caracol undosa Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Megastraea undosa en Isla Guadalupe, BC"
"45","Loxorhynchus grandis","PBC","Cangrejo arana","Cangrejo arana Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Cangrejo arana Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Loxorhynchus grandis en Isla Guadalupe, BC"
"46","Megathura crenulata","PBC","Lapa china","Lapa china Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Lapa china Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Megathura crenulata en Isla Guadalupe, BC"
"47","Mesocentrotus franciscanus","PBC","Erizo rojo","Erizo rojo Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Erizo rojo Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Mesocentrotus franciscanus en Isla Guadalupe, BC"
"48","Muricea californica","PBC","Gorgonido","Gorgonido Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Gorgonido Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Muricea californica en Isla Guadalupe, BC"
"49","Octopus sp.","PBC","Pulpo","Pulpo Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Pulpo Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Octopus sp. en Isla Guadalupe, BC"
"50","Panulirus interruptus","PBC","Langosta roja","Langosta roja Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Langosta roja Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Panulirus interruptus en Isla Guadalupe, BC"
"51","Parastichopus parvimensis","PBC","Pepino","Pepino Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Pepino Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Parastichopus parvimensis en Isla Guadalupe, BC"
"52","Patiria miniata","PBC","Estrella muricielago","Estrella muricielago Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Estrella muricielago Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Patiria miniata en Isla Guadalupe, BC"
"53","Pisaster giganteus","PBC","Estrella gigante","Estrella gigante Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Estrella gigante Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Pisaster giganteus en Isla Guadalupe, BC"
"54","Pycnopodia helianthoides","PBC","Estrella sol","Estrella sol Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Estrella sol Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Pycnopodia helianthoides en Isla Guadalupe, BC"
"55","Strongylocentrotus purpuratus","PBC","Erizo morado","Erizo morado Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Erizo morado Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaA","Abundancia de Strongylocentrotus purpuratus en Isla Guadalupe, BC"
"56","Anisotremus davidsoni","PBC","Sargo rayado","Sargo rayado Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Sargo rayado Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Anisotremus davidsoni en Rosario, BC"
"57","Caulolatilus princeps","PBC","Pez blanco","Pez blanco Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Pez blanco Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Caulolatilus princeps en Rosario, BC"
"58","Chromis punctipinnis","PBC","Castaneta herrera","Castaneta herrera Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Castaneta herrera Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Chromis punctipinnis en Rosario, BC"
"59","Embiotoca jacksoni","PBC","Mojarra negra","Mojarra negra Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Mojarra negra Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Embiotoca jacksoni en Rosario, BC"
"60","Girella nigricans","PBC","Chopa verde","Chopa verde Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Chopa verde Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Girella nigricans en Rosario, BC"
"61","Heterodontus francisci","PBC","Tiburon cornudo","Tiburon cornudo Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Tiburon cornudo Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Heterodontus francisci en Rosario, BC"
"62","Hypsypops rubicundus","PBC","Garibaldi","Garibaldi Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Garibaldi Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Hypsypops rubicundus en Rosario, BC"
"63","Mycteroperca xenarcha","PBC","Garropa jaspeada","Garropa jaspeada Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Garropa jaspeada Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Mycteroperca xenarcha en Rosario, BC"
"64","Mycteroperca sp.","PBC",NA,"NA Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","NA Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Mycteroperca sp. en Rosario, BC"
"65","Ophiodon elongatus","PBC","Molva","Molva Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Molva Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Ophiodon elongatus en Rosario, BC"
"66","Oxyjulis californica","PBC","Senorita","Senorita Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Senorita Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Oxyjulis californica en Rosario, BC"
"67","Paralabrax clathratus","PBC","Cabrilla sargacera","Cabrilla sargacera Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Cabrilla sargacera Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Paralabrax clathratus en Rosario, BC"
"68","Paralabrax nebulifer","PBC","Verdillo","Verdillo Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Verdillo Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Paralabrax nebulifer en Rosario, BC"
"69","Rhacochilus vacca","PBC","Mojarra muellera","Mojarra muellera Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Mojarra muellera Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Rhacochilus vacca en Rosario, BC"
"70","Rhinobatos productus","PBC","Guitarra viola","Guitarra viola Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Guitarra viola Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Rhinobatos productus en Rosario, BC"
"71","Scorpaenichthys marmoratus","PBC","Cabezon","Cabezon Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Cabezon Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Scorpaenichthys marmoratus en Rosario, BC"
"72","Sebastes auriculatus","PBC","Rocote moreno","Rocote moreno Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Rocote moreno Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Sebastes auriculatus en Rosario, BC"
"73","Sebastes carnatus","PBC","Rocote amarillo","Rocote amarillo Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Rocote amarillo Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Sebastes carnatus en Rosario, BC"
"74","Sebastes chrysomelas","PBC","Rocote mulato","Rocote mulato Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Rocote mulato Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Sebastes chrysomelas en Rosario, BC"
"75","Sebastes flavidus","PBC","Rocote cola amarilla","Rocote cola amarilla Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Rocote cola amarilla Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Sebastes flavidus en Rosario, BC"
"76","Sebastes rastrelliger","PBC","Rocote olivo","Rocote olivo Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Rocote olivo Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Sebastes rastrelliger en Rosario, BC"
"77","Sebastes serranoides","PBC","Rocote falsa cabrilla","Rocote falsa cabrilla Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Rocote falsa cabrilla Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Sebastes serranoides en Rosario, BC"
"78","Seastes sp.","PBC",NA,"NA Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","NA Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Seastes sp. en Rosario, BC"
"79","Semicossyphus pulcher","PBC","Vieja californiana","Vieja californiana Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Vieja californiana Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Semicossyphus pulcher en Rosario, BC"
"80","Squatina californica","PBC","Angelote del Pacifico","Angelote del Pacifico Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Angelote del Pacifico Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Squatina californica en Rosario, BC"
"81","Stereolepis gigas","PBC","Mero pescada","Mero pescada Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Mero pescada Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Stereolepis gigas en Rosario, BC"
"82","Halichoeres semicinctus","PBC","Vieja puntos negros / Senorita roquera","Vieja puntos negros / Senorita roquera Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Vieja puntos negros / Senorita roquera Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Halichoeres semicinctus en Rosario, BC"
"83","Mycteroperca jordani","PBC","Baya","Baya Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Baya Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Mycteroperca jordani en Rosario, BC"
"84","Anthopleura sp.","PBC","Anemona gigante","Anemona gigante Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Anemona gigante Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Anthopleura sp. en Rosario, BC"
"85","Cancer sp.","PBC","Cangrejo jaiba","Cangrejo jaiba Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Cangrejo jaiba Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Cancer sp. en Rosario, BC"
"86","Centrostephanus coronatus","PBC","Erizo corona","Erizo corona Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Erizo corona Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Centrostephanus coronatus en Rosario, BC"
"87","Crassedoma gigantea","PBC","Almeja de roca","Almeja de roca Tallas; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","Almeja de roca Abundancia; Baja California; Baja California Sur; Sonora; Monitoreo, Peces, Invertebrados","AbundanciaB","Abundancia de Crassedoma gigantea en Rosario, BC"
