"","Family","Genero","Especie","Name","Inicio","Key","Inicio_II","Key_II"
"14","","Canthidermis","maculata","Canthidermis maculata","Presencia de Canthidermis maculata en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Canthidermis maculata en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"15","","Melichthys","niger","Melichthys niger","Presencia de Melichthys niger en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Melichthys niger en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"16","","Pseudobalistes","naufragium","Pseudobalistes naufragium","Presencia de Pseudobalistes naufragium en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Pseudobalistes naufragium en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"17","","Sufflamen","verres","Sufflamen verres","Presencia de Sufflamen verres en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Sufflamen verres en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"18","","Xanthichthys","mento","Xanthichthys mento","Presencia de Xanthichthys mento en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Xanthichthys mento en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"19","Batrachoididae","Porichthys","margaritatus","Porichthys margaritatus","Presencia de Porichthys margaritatus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Porichthys margaritatus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"20","","Porichthys","myriaster","Porichthys myriaster","Presencia de Porichthys myriaster en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Porichthys myriaster en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"21","Belonidae","Tylosurus","crocodilus","Tylosurus crocodilus","Presencia de Tylosurus crocodilus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Tylosurus crocodilus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"22","","Tylosurus","acus","Tylosurus acus","Presencia de Tylosurus acus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Tylosurus acus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"23","Blenniidae","Entomacrodus","chiostictus","Entomacrodus chiostictus","Presencia de Entomacrodus chiostictus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Entomacrodus chiostictus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"24","","Hypsoblennius","brevipinnis","Hypsoblennius brevipinnis","Presencia de Hypsoblennius brevipinnis en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Hypsoblennius brevipinnis en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"25","","Hypsoblennius","gentilis","Hypsoblennius gentilis","Presencia de Hypsoblennius gentilis en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Hypsoblennius gentilis en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"26","","Hypsoblennius","jenkinsi","Hypsoblennius jenkinsi","Presencia de Hypsoblennius jenkinsi en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Hypsoblennius jenkinsi en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"27","","Ophioblennius","steindachneri","Ophioblennius steindachneri","Presencia de Ophioblennius steindachneri en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Ophioblennius steindachneri en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"28","","Plagiotremus","azaleus","Plagiotremus azaleus","Presencia de Plagiotremus azaleus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Plagiotremus azaleus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"29","Bythitidae","Grammonus","diagrammus","Grammonus diagrammus","Presencia de Grammonus diagrammus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Grammonus diagrammus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"30","","Ogilbia","davidsmithi","Ogilbia davidsmithi","Presencia de Ogilbia davidsmithi en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Ogilbia davidsmithi en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"31","","Ogilbia","nudiceps","Ogilbia nudiceps","Presencia de Ogilbia nudiceps en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Ogilbia nudiceps en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"32","","Ogilbia","ventralis","Ogilbia ventralis","Presencia de Ogilbia ventralis en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Ogilbia ventralis en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"33","Carangidae","Alectis","ciliaris","Alectis ciliaris","Presencia de Alectis ciliaris en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Alectis ciliaris en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"34","","Caranx","caballus","Caranx caballus","Presencia de Caranx caballus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Caranx caballus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"35","","Caranx","caninus","Caranx caninus","Presencia de Caranx caninus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Caranx caninus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"36","","Caranx","lugubris","Caranx lugubris","Presencia de Caranx lugubris en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Caranx lugubris en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"37","","Caranx","melampygus","Caranx melampygus","Presencia de Caranx melampygus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Caranx melampygus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"38","","Carangoides","orthogrammus","Carangoides orthogrammus","Presencia de Carangoides orthogrammus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Carangoides orthogrammus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"39","","Caranx","sexfasciatus","Caranx sexfasciatus","Presencia de Caranx sexfasciatus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Caranx sexfasciatus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"40","","Elagatis","bipinnulata","Elagatis bipinnulata","Presencia de Elagatis bipinnulata en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Elagatis bipinnulata en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"41","","Gnathanodon","speciosus","Gnathanodon speciosus","Presencia de Gnathanodon speciosus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Gnathanodon speciosus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"42","","Naucrates","ductor","Naucrates ductor","Presencia de Naucrates ductor en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Naucrates ductor en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"43","","Selene","brevoortii","Selene brevoortii","Presencia de Selene brevoortii en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Selene brevoortii en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"44","","Seriola","lalandi","Seriola lalandi","Presencia de Seriola lalandi en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Seriola lalandi en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"45","","Seriola","peruana","Seriola peruana","Presencia de Seriola peruana en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Seriola peruana en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"46","","Seriola","rivoliana","Seriola rivoliana","Presencia de Seriola rivoliana en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Seriola rivoliana en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"47","","Trachinotus","rhodopus","Trachinotus rhodopus","Presencia de Trachinotus rhodopus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Trachinotus rhodopus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"48","Carapidae","Encheliophis","vermicularis","Encheliophis vermicularis","Presencia de Encheliophis vermicularis en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Encheliophis vermicularis en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"49","","Carapus","dubius","Carapus dubius","Presencia de Carapus dubius en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Carapus dubius en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"50","Chaenopsidae","Acanthemblemaria","balanorum","Acanthemblemaria balanorum","Presencia de Acanthemblemaria balanorum en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Acanthemblemaria balanorum en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"51","","Acanthemblemaria","crockeri","Acanthemblemaria crockeri","Presencia de Acanthemblemaria crockeri en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Acanthemblemaria crockeri en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"52","","Acanthemblemaria","hancocki","Acanthemblemaria hancocki","Presencia de Acanthemblemaria hancocki en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Acanthemblemaria hancocki en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"53","","Acanthemblemaria","hastingsi","Acanthemblemaria hastingsi","Presencia de Acanthemblemaria hastingsi en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Acanthemblemaria hastingsi en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"54","","Acanthemblemaria","macrospilus","Acanthemblemaria macrospilus","Presencia de Acanthemblemaria macrospilus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Acanthemblemaria macrospilus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"55","","Chaenopsis","alepidota","Chaenopsis alepidota","Presencia de Chaenopsis alepidota en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Chaenopsis alepidota en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"56","","Chaenopsis","coheni","Chaenopsis coheni","Presencia de Chaenopsis coheni en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Chaenopsis coheni en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"57","","Cirriemblemaria","lucasana","Cirriemblemaria lucasana","Presencia de Cirriemblemaria lucasana en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Cirriemblemaria lucasana en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"58","","Coralliozetus","micropes","Coralliozetus micropes","Presencia de Coralliozetus micropes en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Coralliozetus micropes en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"59","","Coralliozetus","rosenblatti","Coralliozetus rosenblatti","Presencia de Coralliozetus rosenblatti en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Coralliozetus rosenblatti en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"60","","Coralliozetus","angelicus","Coralliozetus angelicus","Presencia de Coralliozetus angelicus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Coralliozetus angelicus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"61","","Coralliozetus","boehlkei","Coralliozetus boehlkei","Presencia de Coralliozetus boehlkei en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Coralliozetus boehlkei en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"62","","Ekemblemaria","myersi","Ekemblemaria myersi","Presencia de Ekemblemaria myersi en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Ekemblemaria myersi en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"63","","Emblemaria","hypacanthus","Emblemaria hypacanthus","Presencia de Emblemaria hypacanthus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Emblemaria hypacanthus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"64","","Emblemaria","walkeri","Emblemaria walkeri","Presencia de Emblemaria walkeri en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Emblemaria walkeri en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"65","","Emblemaria","piratica","Emblemaria piratica","Presencia de Emblemaria piratica en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Emblemaria piratica en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"66","","Protemblemaria","bicirrus","Protemblemaria bicirrus","Presencia de Protemblemaria bicirrus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Protemblemaria bicirrus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"67","","Stathmonotus","lugubris","Stathmonotus lugubris","Presencia de Stathmonotus lugubris en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Stathmonotus lugubris en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"68","","Stathmonotus","sinuscalifornici","Stathmonotus sinuscalifornici","Presencia de Stathmonotus sinuscalifornici en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Stathmonotus sinuscalifornici en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"69","","Protemblemaria","bicirrus","Protemblemaria bicirrus","Presencia de Protemblemaria bicirrus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Protemblemaria bicirrus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"70","","Stathmonotus","sinuscalifornici","Stathmonotus sinuscalifornici","Presencia de Stathmonotus sinuscalifornici en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Stathmonotus sinuscalifornici en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"71","Chaetodontidae","Prognathodes","falcifer","Prognathodes falcifer","Presencia de Prognathodes falcifer en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Prognathodes falcifer en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"72","","Chaetodon","humeralis","Chaetodon humeralis","Presencia de Chaetodon humeralis en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Chaetodon humeralis en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"73","","Forcipiger","flavissimus","Forcipiger flavissimus","Presencia de Forcipiger flavissimus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Forcipiger flavissimus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"74","","Johnrandallia","nigrirostris","Johnrandallia nigrirostris","Presencia de Johnrandallia nigrirostris en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Johnrandallia nigrirostris en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"75","Chanidae","Chanos","chanos","Chanos chanos","Presencia de Chanos chanos en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Chanos chanos en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"76","Cirrhitidae","Cirrhitichthys","oxycephalus","Cirrhitichthys oxycephalus","Presencia de Cirrhitichthys oxycephalus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Cirrhitichthys oxycephalus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"77","","Cirrhitus","rivulatus","Cirrhitus rivulatus","Presencia de Cirrhitus rivulatus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Cirrhitus rivulatus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"78","","Oxycirrhites","typus","Oxycirrhites typus","Presencia de Oxycirrhites typus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Oxycirrhites typus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"79","Congridae","Heteroconger","canabus","Heteroconger canabus","Presencia de Heteroconger canabus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Heteroconger canabus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"80","Cynoglossidae","Symphurus","atramentatus ","Symphurus atramentatus ","Presencia de Symphurus atramentatus  en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Symphurus atramentatus  en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"81","Dactyloscopidae","Dactyloscopus","pectoralis","Dactyloscopus pectoralis","Presencia de Dactyloscopus pectoralis en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Dactyloscopus pectoralis en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"82","Diodontidae","Chilomycterus","reticulatus","Chilomycterus reticulatus","Presencia de Chilomycterus reticulatus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Chilomycterus reticulatus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"83","","Diodon","holocanthus","Diodon holocanthus","Presencia de Diodon holocanthus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Diodon holocanthus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"84","","Diodon","hystrix","Diodon hystrix","Presencia de Diodon hystrix en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Diodon hystrix en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"85","Echeneidae","Remora","albescens","Remora albescens","Presencia de Remora albescens en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Remora albescens en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"86","Elopidae","Elops","affinis","Elops affinis","Presencia de Elops affinis en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Elops affinis en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"87","Embiotocidae","Zalembius","rosaceus","Zalembius rosaceus","Presencia de Zalembius rosaceus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Zalembius rosaceus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"88","Ephippidae","Chaetodipterus","zonatus","Chaetodipterus zonatus","Presencia de Chaetodipterus zonatus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Chaetodipterus zonatus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"89","Fistulariidae","Fistularia","commersonii","Fistularia commersonii","Presencia de Fistularia commersonii en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Fistularia commersonii en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"90","Gerreidae","Gerres","cinereus","Gerres cinereus","Presencia de Gerres cinereus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Gerres cinereus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"91","Gobiesocidae","Arcos","erythrops","Arcos erythrops","Presencia de Arcos erythrops en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Arcos erythrops en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"92","","Tomicodon","boehlkei","Tomicodon boehlkei","Presencia de Tomicodon boehlkei en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Tomicodon boehlkei en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"93","","Tomicodon","humeralis","Tomicodon humeralis","Presencia de Tomicodon humeralis en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Tomicodon humeralis en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"94","","Tomicodon","myersi","Tomicodon myersi","Presencia de Tomicodon myersi en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Tomicodon myersi en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"95","","Gobiesox","adustus","Gobiesox adustus","Presencia de Gobiesox adustus en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Gobiesox adustus en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"96","","Gobiesox","papillifer","Gobiesox papillifer","Presencia de Gobiesox papillifer en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Gobiesox papillifer en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"97","","Gobiesox","pinniger","Gobiesox pinniger","Presencia de Gobiesox pinniger en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Gobiesox pinniger en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"98","","Gobiesox","schultzi","Gobiesox schultzi","Presencia de Gobiesox schultzi en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Gobiesox schultzi en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"99","","Pherallodiscus","funebris","Pherallodiscus funebris","Presencia de Pherallodiscus funebris en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Pherallodiscus funebris en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
"100","","Tomicodon","eos","Tomicodon eos","Presencia de Tomicodon eos en el Golfo de California","Abundancia; Peces; Vertebrados; Presencia; Ausencia","Diversidad Funccional de Tomicodon eos en el Golfo de California","Nicho; Funcional; Redundancia; Peces; Vertebrados"
