"","Especie","KeyA","KeyB","Registro_A","Registro_B"
"42","Ralfsia confusa","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Ralfsia confusa en la costa del Pacifico","Primer registro  Ralfsia confusa en la costa del Pacifico"
"43","Ralfsia fungiformis","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Ralfsia fungiformis en la costa del Pacifico","Primer registro  Ralfsia fungiformis en la costa del Pacifico"
"44","Ralfsia hancockii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Ralfsia hancockii en la costa del Pacifico","Primer registro  Ralfsia hancockii en la costa del Pacifico"
"45","Ralfsia hesperia","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Ralfsia hesperia en la costa del Pacifico","Primer registro  Ralfsia hesperia en la costa del Pacifico"
"46","Ralfsia integra","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Ralfsia integra en la costa del Pacifico","Primer registro  Ralfsia integra en la costa del Pacifico"
"47","Ralfsia pacifica","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Ralfsia pacifica en la costa del Pacifico","Primer registro  Ralfsia pacifica en la costa del Pacifico"
"48","Sphacelaria brevicornis","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Sphacelaria brevicornis en la costa del Pacifico","Primer registro  Sphacelaria brevicornis en la costa del Pacifico"
"49","Sphacelaria californica","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Sphacelaria californica en la costa del Pacifico","Primer registro  Sphacelaria californica en la costa del Pacifico"
"50","Sphacelaria divaricata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Sphacelaria divaricata en la costa del Pacifico","Primer registro  Sphacelaria divaricata en la costa del Pacifico"
"51","Sphacelaria masonii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Sphacelaria masonii en la costa del Pacifico","Primer registro  Sphacelaria masonii en la costa del Pacifico"
"52","Sphacelaria novae-hollandiae","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Sphacelaria novae-hollandiae en la costa del Pacifico","Primer registro  Sphacelaria novae-hollandiae en la costa del Pacifico"
"53","Sphacelaria rigidula","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Sphacelaria rigidula en la costa del Pacifico","Primer registro  Sphacelaria rigidula en la costa del Pacifico"
"54","Sphacelaria tribuloides","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Sphacelaria tribuloides en la costa del Pacifico","Primer registro  Sphacelaria tribuloides en la costa del Pacifico"
"55","Dictyopteris delicatula","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Dictyopteris delicatula en la costa del Pacifico","Primer registro  Dictyopteris delicatula en la costa del Pacifico"
"56","Dictyopteris johnstonei","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Dictyopteris johnstonei en la costa del Pacifico","Primer registro  Dictyopteris johnstonei en la costa del Pacifico"
"57","Dictyopteris polypodioides","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Dictyopteris polypodioides en la costa del Pacifico","Primer registro  Dictyopteris polypodioides en la costa del Pacifico"
"58","Dictyopteris repens","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Dictyopteris repens en la costa del Pacifico","Primer registro  Dictyopteris repens en la costa del Pacifico"
"59","Dictyopteris undulata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Dictyopteris undulata en la costa del Pacifico","Primer registro  Dictyopteris undulata en la costa del Pacifico"
"60","Dictyota bartayresiana","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Dictyota bartayresiana en la costa del Pacifico","Primer registro  Dictyota bartayresiana en la costa del Pacifico"
"61","Dictyota binghamiae","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Dictyota binghamiae en la costa del Pacifico","Primer registro  Dictyota binghamiae en la costa del Pacifico"
"62","Dictyota cervicornis","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Dictyota cervicornis en la costa del Pacifico","Primer registro  Dictyota cervicornis en la costa del Pacifico"
"63","Dictyota ciliolata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Dictyota ciliolata en la costa del Pacifico","Primer registro  Dictyota ciliolata en la costa del Pacifico"
"64","Dictyota concrescens","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Dictyota concrescens en la costa del Pacifico","Primer registro  Dictyota concrescens en la costa del Pacifico"
"65","Dictyota crenulata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Dictyota crenulata en la costa del Pacifico","Primer registro  Dictyota crenulata en la costa del Pacifico"
"66","Dictyota dichotoma","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Dictyota dichotoma en la costa del Pacifico","Primer registro  Dictyota dichotoma en la costa del Pacifico"
"67","Dictyota divaricata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Dictyota divaricata en la costa del Pacifico","Primer registro  Dictyota divaricata en la costa del Pacifico"
"68","Dictyota flabellata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Dictyota flabellata en la costa del Pacifico","Primer registro  Dictyota flabellata en la costa del Pacifico"
"69","Dictyota friabilis","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Dictyota friabilis en la costa del Pacifico","Primer registro  Dictyota friabilis en la costa del Pacifico"
"70","Dictyota linearis","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Dictyota linearis en la costa del Pacifico","Primer registro  Dictyota linearis en la costa del Pacifico"
"71","Dictyota masonii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Dictyota masonii en la costa del Pacifico","Primer registro  Dictyota masonii en la costa del Pacifico"
"72","Dictyota okamurae","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Dictyota okamurae en la costa del Pacifico","Primer registro  Dictyota okamurae en la costa del Pacifico"
"73","Dictyota pinnata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Dictyota pinnata en la costa del Pacifico","Primer registro  Dictyota pinnata en la costa del Pacifico"
"74","Dictyota volubilis","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Dictyota volubilis en la costa del Pacifico","Primer registro  Dictyota volubilis en la costa del Pacifico"
"75","Lobophora variegata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Lobophora variegata en la costa del Pacifico","Primer registro  Lobophora variegata en la costa del Pacifico"
"76","Pachydictyon coriaceum","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Pachydictyon coriaceum en la costa del Pacifico","Primer registro  Pachydictyon coriaceum en la costa del Pacifico"
"77","Padina caulescens","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Padina caulescens en la costa del Pacifico","Primer registro  Padina caulescens en la costa del Pacifico"
"78","Padina concrescens","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Padina concrescens en la costa del Pacifico","Primer registro  Padina concrescens en la costa del Pacifico"
"79","Padina crispata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Padina crispata en la costa del Pacifico","Primer registro  Padina crispata en la costa del Pacifico"
"80","Padina durvillei","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Padina durvillei en la costa del Pacifico","Primer registro  Padina durvillei en la costa del Pacifico"
"81","Padina mexicana (mexicana)","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Padina mexicana (mexicana) en la costa del Pacifico","Primer registro  Padina mexicana (mexicana) en la costa del Pacifico"
"82","Padina mexicana (erecta)","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Padina mexicana (erecta) en la costa del Pacifico","Primer registro  Padina mexicana (erecta) en la costa del Pacifico"
"83","Padina ramonribae","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Padina ramonribae en la costa del Pacifico","Primer registro  Padina ramonribae en la costa del Pacifico"
"84","Padina sanctae-crucis","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Padina sanctae-crucis en la costa del Pacifico","Primer registro  Padina sanctae-crucis en la costa del Pacifico"
"85","Spatoglossum howellii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Spatoglossum howellii en la costa del Pacifico","Primer registro  Spatoglossum howellii en la costa del Pacifico"
"86","Spatoglossum lanceolatum","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Spatoglossum lanceolatum en la costa del Pacifico","Primer registro  Spatoglossum lanceolatum en la costa del Pacifico"
"87","Spatoglossum schroederi","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Spatoglossum schroederi en la costa del Pacifico","Primer registro  Spatoglossum schroederi en la costa del Pacifico"
"88","Spatoglossum subflabellatum","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Spatoglossum subflabellatum en la costa del Pacifico","Primer registro  Spatoglossum subflabellatum en la costa del Pacifico"
"89","Taonia lennebackerae","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Taonia lennebackerae en la costa del Pacifico","Primer registro  Taonia lennebackerae en la costa del Pacifico"
"90","Zonaria farlowii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Zonaria farlowii en la costa del Pacifico","Primer registro  Zonaria farlowii en la costa del Pacifico"
"91","Cutleria cylindrica","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Cutleria cylindrica en la costa del Pacifico","Primer registro  Cutleria cylindrica en la costa del Pacifico"
"92","Cutleria hancockii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Cutleria hancockii en la costa del Pacifico","Primer registro  Cutleria hancockii en la costa del Pacifico"
"93","Haplogloia andersonii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Haplogloia andersonii en la costa del Pacifico","Primer registro  Haplogloia andersonii en la costa del Pacifico"
"94","Ishige sinicola","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Ishige sinicola en la costa del Pacifico","Primer registro  Ishige sinicola en la costa del Pacifico"
"95","Leathesia marina","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Leathesia marina en la costa del Pacifico","Primer registro  Leathesia marina en la costa del Pacifico"
"96","Leathesia nana","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Leathesia nana en la costa del Pacifico","Primer registro  Leathesia nana en la costa del Pacifico"
"97","Myriactula johnstonii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Myriactula johnstonii en la costa del Pacifico","Primer registro  Myriactula johnstonii en la costa del Pacifico"
"98","Myriactula marchantiae","Distribucion; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Phaeophycota","Distribucion de Myriactula marchantiae en la costa del Pacifico","Primer registro  Myriactula marchantiae en la costa del Pacifico"
