"","Especie","KeyA","KeyB","Registro_A","Registro_B"
"11","Ulothrix flacca","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Ulothrix flacca en la costa del Pacifico","Primer registro  Ulothrix flacca en la costa del Pacifico"
"12","Pseudendoclonium marinum","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Pseudendoclonium marinum en la costa del Pacifico","Primer registro  Pseudendoclonium marinum en la costa del Pacifico"
"13","Phaeophila dendroides","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Phaeophila dendroides en la costa del Pacifico","Primer registro  Phaeophila dendroides en la costa del Pacifico"
"14","Kornmannia leptoderma","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Kornmannia leptoderma en la costa del Pacifico","Primer registro  Kornmannia leptoderma en la costa del Pacifico"
"15","Blidingia marginata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Blidingia marginata en la costa del Pacifico","Primer registro  Blidingia marginata en la costa del Pacifico"
"16","Blidingia minima","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Blidingia minima en la costa del Pacifico","Primer registro  Blidingia minima en la costa del Pacifico"
"17","Blidingia ramifera","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Blidingia ramifera en la costa del Pacifico","Primer registro  Blidingia ramifera en la costa del Pacifico"
"18","Gayralia oxysperma","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Gayralia oxysperma en la costa del Pacifico","Primer registro  Gayralia oxysperma en la costa del Pacifico"
"19","Percursaria dawsonii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Percursaria dawsonii en la costa del Pacifico","Primer registro  Percursaria dawsonii en la costa del Pacifico"
"20","Ulva acanthophora","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Ulva acanthophora en la costa del Pacifico","Primer registro  Ulva acanthophora en la costa del Pacifico"
"21","Ulva californica","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Ulva californica en la costa del Pacifico","Primer registro  Ulva californica en la costa del Pacifico"
"22","Ulva clathrata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Ulva clathrata en la costa del Pacifico","Primer registro  Ulva clathrata en la costa del Pacifico"
"23","Ulva compressa","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Ulva compressa en la costa del Pacifico","Primer registro  Ulva compressa en la costa del Pacifico"
"24","Ulva dactylifera","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Ulva dactylifera en la costa del Pacifico","Primer registro  Ulva dactylifera en la costa del Pacifico"
"25","Ulva expansa","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Ulva expansa en la costa del Pacifico","Primer registro  Ulva expansa en la costa del Pacifico"
"26","Ulva flexuosa","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Ulva flexuosa en la costa del Pacifico","Primer registro  Ulva flexuosa en la costa del Pacifico"
"27","Ulva intestinalis","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Ulva intestinalis en la costa del Pacifico","Primer registro  Ulva intestinalis en la costa del Pacifico"
"28","Ulva lactuca","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Ulva lactuca en la costa del Pacifico","Primer registro  Ulva lactuca en la costa del Pacifico"
"29","Ulva linza","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Ulva linza en la costa del Pacifico","Primer registro  Ulva linza en la costa del Pacifico"
"30","Ulva lobata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Ulva lobata en la costa del Pacifico","Primer registro  Ulva lobata en la costa del Pacifico"
"31","Ulva nematoidea","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Ulva nematoidea en la costa del Pacifico","Primer registro  Ulva nematoidea en la costa del Pacifico"
"32","Ulva paradoxa","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Ulva paradoxa en la costa del Pacifico","Primer registro  Ulva paradoxa en la costa del Pacifico"
"33","Ulva prolifera","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Ulva prolifera en la costa del Pacifico","Primer registro  Ulva prolifera en la costa del Pacifico"
"34","Ulva rigida","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Ulva rigida en la costa del Pacifico","Primer registro  Ulva rigida en la costa del Pacifico"
"35","Ulva spinulosa","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Ulva spinulosa en la costa del Pacifico","Primer registro  Ulva spinulosa en la costa del Pacifico"
"36","Ulva taeniata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Ulva taeniata en la costa del Pacifico","Primer registro  Ulva taeniata en la costa del Pacifico"
"37","Ulva tanneri","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Ulva tanneri en la costa del Pacifico","Primer registro  Ulva tanneri en la costa del Pacifico"
"38","Microdictyon palmeri","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Microdictyon palmeri en la costa del Pacifico","Primer registro  Microdictyon palmeri en la costa del Pacifico"
"39","Chaetomorpha aerea","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Chaetomorpha aerea en la costa del Pacifico","Primer registro  Chaetomorpha aerea en la costa del Pacifico"
"40","Chaetomorpha antennina","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Chaetomorpha antennina en la costa del Pacifico","Primer registro  Chaetomorpha antennina en la costa del Pacifico"
"41","Chaetomorpha bangioides","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Chaetomorpha bangioides en la costa del Pacifico","Primer registro  Chaetomorpha bangioides en la costa del Pacifico"
"42","Chaetomorpha brachygona","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Chaetomorpha brachygona en la costa del Pacifico","Primer registro  Chaetomorpha brachygona en la costa del Pacifico"
"43","Chaetomorpha californica","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Chaetomorpha californica en la costa del Pacifico","Primer registro  Chaetomorpha californica en la costa del Pacifico"
"44","Chaetomorpha cannabina","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Chaetomorpha cannabina en la costa del Pacifico","Primer registro  Chaetomorpha cannabina en la costa del Pacifico"
"45","Chaetomorpha clavata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Chaetomorpha clavata en la costa del Pacifico","Primer registro  Chaetomorpha clavata en la costa del Pacifico"
"46","Chaetomorpha crassa","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Chaetomorpha crassa en la costa del Pacifico","Primer registro  Chaetomorpha crassa en la costa del Pacifico"
"47","Chaetomorpha exposita","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Chaetomorpha exposita en la costa del Pacifico","Primer registro  Chaetomorpha exposita en la costa del Pacifico"
"48","Chaetomorpha gracilis","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Chaetomorpha gracilis en la costa del Pacifico","Primer registro  Chaetomorpha gracilis en la costa del Pacifico"
"49","Chaetomorpha javanica","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Chaetomorpha javanica en la costa del Pacifico","Primer registro  Chaetomorpha javanica en la costa del Pacifico"
"50","Chaetomorpha linoides","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Chaetomorpha linoides en la costa del Pacifico","Primer registro  Chaetomorpha linoides en la costa del Pacifico"
"51","Chaetomorpha linum (O.F. Muller) Kutzing","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Chaetomorpha linum (O.F. Muller) Kutzing en la costa del Pacifico","Primer registro  Chaetomorpha linum (O.F. Muller) Kutzing en la costa del Pacifico"
"52","Chaetomorpha minima","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Chaetomorpha minima en la costa del Pacifico","Primer registro  Chaetomorpha minima en la costa del Pacifico"
"53","Chaetomorpha pachynema","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Chaetomorpha pachynema en la costa del Pacifico","Primer registro  Chaetomorpha pachynema en la costa del Pacifico"
"54","Chaetomorpha picquotiana","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Chaetomorpha picquotiana en la costa del Pacifico","Primer registro  Chaetomorpha picquotiana en la costa del Pacifico"
"55","Chaetomorpha spiralis","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Chaetomorpha spiralis en la costa del Pacifico","Primer registro  Chaetomorpha spiralis en la costa del Pacifico"
"56","Cladophora albida","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora albida en la costa del Pacifico","Primer registro  Cladophora albida en la costa del Pacifico"
"57","Cladophora brasiliana","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora brasiliana en la costa del Pacifico","Primer registro  Cladophora brasiliana en la costa del Pacifico"
"58","Cladophora coelothrix","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora coelothrix en la costa del Pacifico","Primer registro  Cladophora coelothrix en la costa del Pacifico"
"59","Cladophora columbiana","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora columbiana en la costa del Pacifico","Primer registro  Cladophora columbiana en la costa del Pacifico"
"60","Cladophora crystallina","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora crystallina en la costa del Pacifico","Primer registro  Cladophora crystallina en la costa del Pacifico"
"61","Cladophora flexuosa","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora flexuosa en la costa del Pacifico","Primer registro  Cladophora flexuosa en la costa del Pacifico"
"62","Cladophora gracilis","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora gracilis en la costa del Pacifico","Primer registro  Cladophora gracilis en la costa del Pacifico"
"63","Cladophora globulina","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora globulina en la costa del Pacifico","Primer registro  Cladophora globulina en la costa del Pacifico"
"64","Cladophora glomerata (glomerata)","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora glomerata (glomerata) en la costa del Pacifico","Primer registro  Cladophora glomerata (glomerata) en la costa del Pacifico"
"65","Cladophora glomerata (crassio)","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora glomerata (crassio) en la costa del Pacifico","Primer registro  Cladophora glomerata (crassio) en la costa del Pacifico"
"66","Cladophora graminea","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora graminea en la costa del Pacifico","Primer registro  Cladophora graminea en la costa del Pacifico"
"67","Cladophora hesperia","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora hesperia en la costa del Pacifico","Primer registro  Cladophora hesperia en la costa del Pacifico"
"68","Cladophora inserta","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora inserta en la costa del Pacifico","Primer registro  Cladophora inserta en la costa del Pacifico"
"69","Cladophora laetevirens","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora laetevirens en la costa del Pacifico","Primer registro  Cladophora laetevirens en la costa del Pacifico"
"70","Cladophora lehmanniana","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora lehmanniana en la costa del Pacifico","Primer registro  Cladophora lehmanniana en la costa del Pacifico"
"71","Cladophora liebetruthii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora liebetruthii en la costa del Pacifico","Primer registro  Cladophora liebetruthii en la costa del Pacifico"
"72","Cladophora liniformis","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora liniformis en la costa del Pacifico","Primer registro  Cladophora liniformis en la costa del Pacifico"
"73","Cladophora macdougalii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora macdougalii en la costa del Pacifico","Primer registro  Cladophora macdougalii en la costa del Pacifico"
"74","Cladophora microcladioides","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora microcladioides en la costa del Pacifico","Primer registro  Cladophora microcladioides en la costa del Pacifico"
"75","Cladophora montagneana","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora montagneana en la costa del Pacifico","Primer registro  Cladophora montagneana en la costa del Pacifico"
"76","Cladophora nigrescens","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora nigrescens en la costa del Pacifico","Primer registro  Cladophora nigrescens en la costa del Pacifico"
"77","Cladophora okamurae","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora okamurae en la costa del Pacifico","Primer registro  Cladophora okamurae en la costa del Pacifico"
"78","Cladophora perpusilla","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora perpusilla en la costa del Pacifico","Primer registro  Cladophora perpusilla en la costa del Pacifico"
"79","Cladophora prolifera","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora prolifera en la costa del Pacifico","Primer registro  Cladophora prolifera en la costa del Pacifico"
"80","Cladophora rivularis","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora rivularis en la costa del Pacifico","Primer registro  Cladophora rivularis en la costa del Pacifico"
"81","Cladophora sericea","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora sericea en la costa del Pacifico","Primer registro  Cladophora sericea en la costa del Pacifico"
"82","Cladophora stimpsonii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora stimpsonii en la costa del Pacifico","Primer registro  Cladophora stimpsonii en la costa del Pacifico"
"83","Cladophora tiburonensis","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora tiburonensis en la costa del Pacifico","Primer registro  Cladophora tiburonensis en la costa del Pacifico"
"84","Cladophora vagabunda","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora vagabunda en la costa del Pacifico","Primer registro  Cladophora vagabunda en la costa del Pacifico"
"85","Cladophora verticillata","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophora verticillata en la costa del Pacifico","Primer registro  Cladophora verticillata en la costa del Pacifico"
"86","Lola lubrica","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Lola lubrica en la costa del Pacifico","Primer registro  Lola lubrica en la costa del Pacifico"
"87","Rhizoclonium africanum","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Rhizoclonium africanum en la costa del Pacifico","Primer registro  Rhizoclonium africanum en la costa del Pacifico"
"88","Rhizoclonium hieroglyphicum","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Rhizoclonium hieroglyphicum en la costa del Pacifico","Primer registro  Rhizoclonium hieroglyphicum en la costa del Pacifico"
"89","Rhizoclonium riparium (riparium)","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Rhizoclonium riparium (riparium) en la costa del Pacifico","Primer registro  Rhizoclonium riparium (riparium) en la costa del Pacifico"
"90","Rhizoclonium riparium (implexum)","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Rhizoclonium riparium (implexum) en la costa del Pacifico","Primer registro  Rhizoclonium riparium (implexum) en la costa del Pacifico"
"91","Rhizoclonium tortuosum","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Rhizoclonium tortuosum en la costa del Pacifico","Primer registro  Rhizoclonium tortuosum en la costa del Pacifico"
"92","Urospora wormskioldii","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Urospora wormskioldii en la costa del Pacifico","Primer registro  Urospora wormskioldii en la costa del Pacifico"
"93","Boodlea composita","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Boodlea composita en la costa del Pacifico","Primer registro  Boodlea composita en la costa del Pacifico"
"94","Cladophoropsis gracillima","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophoropsis gracillima en la costa del Pacifico","Primer registro  Cladophoropsis gracillima en la costa del Pacifico"
"95","Cladophoropsis macromeres","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophoropsis macromeres en la costa del Pacifico","Primer registro  Cladophoropsis macromeres en la costa del Pacifico"
"96","Cladophoropsis membranacea","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophoropsis membranacea en la costa del Pacifico","Primer registro  Cladophoropsis membranacea en la costa del Pacifico"
"97","Cladophoropsis sundanensis","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Cladophoropsis sundanensis en la costa del Pacifico","Primer registro  Cladophoropsis sundanensis en la costa del Pacifico"
"98","Dictyosphaeria australis","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Dictyosphaeria australis en la costa del Pacifico","Primer registro  Dictyosphaeria australis en la costa del Pacifico"
"99","Dictyosphaeria cavernosa","Distribucion; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Primer Registro; Alga; Bentos; Bentonica; Catalogo; Chlorophycota","Distribucion de Dictyosphaeria cavernosa en la costa del Pacifico","Primer registro  Dictyosphaeria cavernosa en la costa del Pacifico"
