MMID,Short_Title,Keywords,Author,Institution,Dataset_Available,Subject_name,Area ,Region,Location,Start_Year,End_Year,Data_Time_Points,Unit_Type,Temporal_Resolution,Spatial_Resolution,Dataset_Title,Compilation_Title,Publication_Year,Reference,Available_Metadata,Metadata_name,User_Contact,Institution_Type,Research_Fund,Research_Field,SE_Interaction,Data_Uncertanty
11,Ship Trackers For Chano Fishing in  San Felipe; Upper Gulf of California,Chano;  Agregado Points;  San Felipe (SF); Alto Gulf,NA,GoC,1,Chano,Pacific,Gulf of California,Georeferenced,na,na,na,Values,Seconds,Georeferenced,shp_trackers/Aggre_SF_chano.zip,na,na,http://datamares.ucsd.edu/en/metadata/view/359,NO,na,Juliano Palacios; jepa88@gmail.com,Academic,na,Fisheries,Benefits,
12,Ship Trackers For Curvina Fishing in Golfo de Santa Clara; Upper Gulf of California,Curvina; Agregado Points;  Golfo de Santa Clara (GSC); Alto Gulf,NA,GoC,1,Curvina,Pacific,Gulf of California,Georeferenced,na,na,na,Values,Seconds,Georeferenced,shp_trackers/Aggre_GSC_curvina.zip,na,na,http://datamares.ucsd.edu/en/metadata/view/358,NO,na,Juliano Palacios; jepa88@gmail.com,Academic,na,Fisheries,Benefits,
13,Ship Trackers For Chano Fishing in Golfo de Santa Clara; Upper Gulf of California,Chano; Agregado Points;  Golfo de Santa Clara (GSC); Alto Gulf,NA,GoC,1,Chano,Pacific,Gulf of California,Georeferenced,na,na,na,Values,Seconds,Georeferenced,shp_trackers/Aggre_GSC_chano.zip,na,na,http://datamares.ucsd.edu/en/metadata/view/353,NO,na,Juliano Palacios; jepa88@gmail.com,Academic,na,Fisheries,Benefits,
14,Ship Trackers For Shrimp Fishing in Golfo de Santa Clara; Upper Gulf of California,Shrimp Points;  Golfo de Santa Clara (GSC); Alto Gulf,NA,GoC,1,Camaron,Pacific,Gulf of California,Georeferenced,na,na,na,Values,Seconds,Georeferenced,shp_trackers/Aggre_GSC_shrimp.zip,na,na,http://datamares.ucsd.edu/en/metadata/view/355,NO,na,Juliano Palacios; jepa88@gmail.com,Academic,na,Fisheries,Benefits,
15,Ship Trackers For Curvina Fishing in Golfo de Santa Clara; Upper Gulf of California,Curvina Points;  Golfo de Santa Clara (GSC); Alto Gulf,NA,GoC,1,Camaron,Pacific,Gulf of California,Georeferenced,na,na,na,Values,Seconds,Georeferenced,shp_trackers/Aggre_GSC_curvina.zip,na,na,http://datamares.ucsd.edu/en/metadata/view/354,NO,na,Juliano Palacios; jepa88@gmail.com,Academic,na,Fisheries,Benefits,
16,Historic Catch for Abulon in Mexico,Abulon; Captura; ,SAGARPA,SAGARPA;CONAPESCA,1,Abulon,National,,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Abulon (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
17,Historic Catch for Almeja in Mexico,Almeja; Captura; ,SAGARPA,SAGARPA;CONAPESCA,1,Almeja,National,,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Almeja (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
18,Historic Catch for Tunidos in Mexico,Tunidos; Captura; ,SAGARPA,SAGARPA;CONAPESCA,1,Tunidos,National,,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Tunidos (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
19,Historic Catch for Calamar in Mexico,Calamar; Captura; ,SAGARPA,SAGARPA;CONAPESCA,1,Calamar,National,,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Calamar (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
20,Historic Oppen Sea Catch for Shrimp in Mexico,Shrimp; Captura; ; Oppen Sea,SAGARPA,SAGARPA;CONAPESCA,1,Camaron,National,,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Shrimp (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
21,Historic Aquaculture production for Shrimp in Mexico,Shrimp; Captura; ;  Acuacultura,SAGARPA,SAGARPA;CONAPESCA,1,Camaron,Freshwater/Terrestrial,,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Shrimp (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
22,Historic  Bay Catch for Shrimp in Mexico,Shrimp; Captura; ; Bays,SAGARPA,SAGARPA;CONAPESCA,1,Camaron,National,,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Shrimp (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
23,Historic Catch for Wild Carpa in Mexico,Carpa; Captura; ;  Wild,SAGARPA,SAGARPA;CONAPESCA,1,Carpa,Freshwater/Terrestrial,,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Carpa (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
24,Historic production of Aquaculture Carpa in Mexico,Carpa; Acuacultura; ,SAGARPA,SAGARPA;CONAPESCA,1,Carpa,Freshwater/Terrestrial,,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Carpa (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
25,Historic Catch for Erizo in Mexico,Erizo; Captura; ,SAGARPA,SAGARPA;CONAPESCA,1,Erizo,National,,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Erizo (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
26,Historic Catch for Guachinango in Mexico,Guachinango; Captura; ,SAGARPA,SAGARPA;CONAPESCA,1,Guachinango,National,,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Guachinango (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
27,Historic Catch for Jaiba in Mexico,Jaiba; Captura; ,SAGARPA,SAGARPA;CONAPESCA,1,Jaiba,National,,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Jaiba (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
28,Historic Catch for Langosta in Mexico,Langosta; Captura; ,SAGARPA,SAGARPA;CONAPESCA,1,Langosta,National,,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Langosta (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
29,Historic Catch for Langostino in Mexico,Langostino; Captura; ,SAGARPA,SAGARPA;CONAPESCA,1,Langostino,National,,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Langostino (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
30,Historic Catch for Lisa in Mexico,Lisa; Captura; ,SAGARPA,SAGARPA;CONAPESCA,1,Lisa,National,,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Lisa (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
31,Historic Catch for Mero in Mexico,Mero; Captura; ,SAGARPA,SAGARPA;CONAPESCA,1,Mero,National,,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Mero (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
32,Historic Catch for Wild Mojarra in Mexico,Mojarra; Captura; ;  Wild,SAGARPA,SAGARPA;CONAPESCA,1,Mojarra,Freshwater/Terrestrial,,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Mojarra (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
33,Historic production of Aquaculture Mojarra in Mexico,Mojarra; Acuacultura; ,SAGARPA,SAGARPA;CONAPESCA,1,Mojarra,Freshwater/Terrestrial,,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Mojarra (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
34,Historic Catch for Ostion in Mexico,Ostion; Captura; ,SAGARPA,SAGARPA;CONAPESCA,1,Ostion,National,,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Ostion (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
35,Historic Catch for Pulpo in Mexico,Pulpo; Captura; ,SAGARPA,SAGARPA;CONAPESCA,1,Pulpo,National,,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Pulpo (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
36,Historic Catch for Robalo in Mexico,Robalo; Captura; ,SAGARPA,SAGARPA;CONAPESCA,1,Robalo,National,,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Robalo (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
37,Historic Catch for Sardina in Mexico,Sardina; Captura; ,SAGARPA,SAGARPA;CONAPESCA,1,Sardina,National,,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Sardina (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
38,Historic Catch for Sierra in Mexico,Sierra; Captura; ,SAGARPA,SAGARPA;CONAPESCA,1,Sierra,National,,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Sierra (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
39,Historic Catch for Tiburon;Cazon in Mexico,Tiburon; Cazon; Captura; ,SAGARPA,SAGARPA;CONAPESCA,1,Tiburon;Cazon,National,,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Tiburon;Cazon (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
40,Historic Catch for Trucha in Mexico,Trucha; Captura; ,SAGARPA,SAGARPA;CONAPESCA,1,Trucha,Freshwater/Terrestrial,,na,2004,2013,10,Weight,Year,national,Serie Historica de la Produccion de Trucha (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
41,Historic Catch for Aguascalientes,Aguascalientes; Captura,SAGARPA,SAGARPA;CONAPESCA,1,Multiple,Freshwater/Terrestrial,Freshwater/Terrestrial,Aguascalientes,2004,2013,10,Weight,Year,State,Aguascalientes: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
42,Historic Catch for Baja California,BC; Captura,SAGARPA,SAGARPA;CONAPESCA,1,Multiple,Pacific,Gulf of California,Baja California,2004,2013,10,Weight,Year,State,Baja California: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
43,Historic Catch for Baja California Sur,BCS; Captura,SAGARPA,SAGARPA;CONAPESCA,1,Multiple,Pacific,Gulf of California,Baja California Sur,2004,2013,10,Weight,Year,State,Baja California Sur: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
44,Historic Catch for Campeche,Campeche; Captura,SAGARPA,SAGARPA;CONAPESCA,1,Multiple,Atlantic,Yucatan Peninsula,Campeche,2004,2013,10,Weight,Year,State,Campeche: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
45,Historic Catch for Coahuila,Coahuila; Captura,SAGARPA,SAGARPA;CONAPESCA,1,Multiple,Freshwater/Terrestrial,Freshwater/Terrestrial,Coahuila,2004,2013,10,Weight,Year,State,Coahuila: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
46,Historic Catch for Colima,Colima; Captura,SAGARPA,SAGARPA;CONAPESCA,1,Multiple,Pacific,South Pacific,Colima,2004,2013,10,Weight,Year,State,Colima: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
47,Historic Catch for Chiapas,Chiapas; Captura,SAGARPA,SAGARPA;CONAPESCA,1,Multiple,Pacific,Gulf of Tehantepec,Chiapas,2004,2013,10,Weight,Year,State,Chiapas: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
48,Historic Catch for Chihuahua,Chihuahua; Captura,SAGARPA,SAGARPA;CONAPESCA,1,Multiple,Freshwater/Terrestrial,Freshwater/Terrestrial,Chihuahua,2004,2013,10,Weight,Year,State,Chihuahua: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
49,Historic Catch for Durango,Durango; Captura,SAGARPA,SAGARPA;CONAPESCA,1,Multiple,Freshwater/Terrestrial,Freshwater/Terrestrial,Durango,2004,2013,10,Weight,Year,State,Durango: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
50,Historic Catch for Guanajuato,Guanajuato; Captura,SAGARPA,SAGARPA;CONAPESCA,1,Multiple,Freshwater/Terrestrial,Freshwater/Terrestrial,Guanajuato,2004,2013,10,Weight,Year,State,Guanajuato: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
51,Historic Catch for Guerrero,Guerrero; Captura,SAGARPA,SAGARPA;CONAPESCA,1,Multiple,Pacific,South Pacific,Guerrero,2004,2013,10,Weight,Year,State,Guerrero: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
52,Historic Catch for Hidalgo,Hidalgo; Captura,SAGARPA,SAGARPA;CONAPESCA,1,Multiple,Freshwater/Terrestrial,Freshwater/Terrestrial,Hidalgo,2004,2013,10,Weight,Year,State,Hidalgo: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
53,Historic Catch for Jalisco,Jalisco; Captura,SAGARPA,SAGARPA;CONAPESCA,1,Multiple,Pacific,South Pacific,Jalisco,2004,2013,10,Weight,Year,State,Jalisco: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
54,Historic Catch for Mexico (DF), (DF); Captura,SAGARPA,SAGARPA;CONAPESCA,1,Multiple,Freshwater/Terrestrial,Freshwater/Terrestrial,Mexico(DF),2004,2013,10,Weight,Year,State,Mexico (DF): Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
55,Historic Catch for Michoacan,Michoacan; Captura,SAGARPA,SAGARPA;CONAPESCA,1,Multiple,Freshwater/Terrestrial,Freshwater/Terrestrial,Michoacan,2004,2013,10,Weight,Year,State,Michoacan: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
56,Historic Catch for Morelos,Morelos; Captura,SAGARPA,SAGARPA;CONAPESCA,1,Multiple,Freshwater/Terrestrial,Freshwater/Terrestrial,Morelos,2004,2013,10,Weight,Year,State,Morelos: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
57,Historic Catch for nayarit,nayarit; Captura,SAGARPA,SAGARPA;CONAPESCA,1,Multiple,Pacific,South Pacific,nayarit,2004,2013,10,Weight,Year,State,nayarit: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
58,Historic Catch for Nuevo Leon,Nuevo Leon; Captura,SAGARPA,SAGARPA;CONAPESCA,1,Multiple,Freshwater/Terrestrial,Freshwater/Terrestrial,Nuevo Leon,2004,2013,10,Weight,Year,State,Nuevo Leon: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
