MMID,Short_Title,Keywords,Author,Institution,Dataset_Available,Subject_Name,Area ,Region,Location,Start_Year,End_Year,Data_Time_Points,Unit_Type,Temporal_Resolution,Spatial_Resolution,Dataset_Title,Compilation_Title,Publication_Year,Reference,Available_Metadata,Metadata_Name,User_Contact,Institution_Type,Research_Fund,Research_Field,SE_Interaction,Data_Uncertanty,,
26,Historic Catch for Jaiba in Mexico,Jaiba;Catch;Mexico,SAGARPA,SAGARPA;CONAPESCA,1,Jaiba,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Jaiba (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
27,Historic Catch for Langosta in Mexico,Langosta;Catch;Mexico,SAGARPA,SAGARPA;CONAPESCA,1,Langosta,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Langosta (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
28,Historic Catch for Langostino in Mexico,Langostino;Catch;Mexico,SAGARPA,SAGARPA;CONAPESCA,1,Langostino,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Langostino (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
29,Historic Catch for Lisa in Mexico,Lisa;Catch;Mexico,SAGARPA,SAGARPA;CONAPESCA,1,Lisa,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Lisa (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
30,Historic Catch for Mero in Mexico,Mero;Catch;Mexico,SAGARPA,SAGARPA;CONAPESCA,1,Mero,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Mero (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
31,Historic Catch for Wild Mojarra in Mexico,Mojarra;Catch;Mexico; Wild,SAGARPA,SAGARPA;CONAPESCA,1,Mojarra,Freshwater/Terrestrial,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Mojarra (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
32,Historic production of Aquaculture Mojarra in Mexico,Mojarra;Aquaculture;Mexico,SAGARPA,SAGARPA;CONAPESCA,1,Mojarra,Freshwater/Terrestrial,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Mojarra (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
33,Historic Catch for Ostion in Mexico,Ostion;Catch;Mexico,SAGARPA,SAGARPA;CONAPESCA,1,Ostion,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Ostion (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
34,Historic Catch for Pulpo in Mexico,Pulpo;Catch;Mexico,SAGARPA,SAGARPA;CONAPESCA,1,Pulpo,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Pulpo (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
35,Historic Catch for Robalo in Mexico,Robalo;Catch;Mexico,SAGARPA,SAGARPA;CONAPESCA,1,Robalo,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Robalo (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
36,Historic Catch for Sardina in Mexico,Sardina;Catch;Mexico,SAGARPA,SAGARPA;CONAPESCA,1,Sardina,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Sardina (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
37,Historic Catch for Sierra in Mexico,Sierra;Catch;Mexico,SAGARPA,SAGARPA;CONAPESCA,1,Sierra,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Sierra (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
38,Historic Catch for Tiburon;Cazon in Mexico,Tiburon;Cazon;Catch;Mexico,SAGARPA,SAGARPA;CONAPESCA,1,Tiburon;Cazon,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Tiburon;Cazon (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
39,Historic Catch for Trucha in Mexico,Trucha;Catch;Mexico,SAGARPA,SAGARPA;CONAPESCA,1,Trucha,Freshwater/Terrestrial,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Trucha (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
40,Historic Catch for Aguascalientes,Aguascalientes;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Freshwater/Terrestrial,Freshwater/Terrestrial,Aguascalientes,2004,2013,10,Weight,Year,State,Aguascalientes: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
41,Historic Catch for Baja California,Baja California;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Pacific,Gulf of California,Baja California,2004,2013,10,Weight,Year,State,Baja California: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
42,Historic Catch for Baja California Sur,Baja California Sur;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Pacific,Gulf of California,Baja California Sur,2004,2013,10,Weight,Year,State,Baja California Sur: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
43,Historic Catch for Campeche,Campeche;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Atlantic,Yucatan Peninsula,Campeche,2004,2013,10,Weight,Year,State,Campeche: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
44,Historic Catch for Coahuila,Coahuila;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Freshwater/Terrestrial,Freshwater/Terrestrial,Coahuila,2004,2013,10,Weight,Year,State,Coahuila: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
45,Historic Catch for Colima,Colima;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Pacific,South Pacific,Colima,2004,2013,10,Weight,Year,State,Colima: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
46,Historic Catch for Chiapas,Chiapas;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Pacific,Gulf of Tehantepec,Chiapas,2004,2013,10,Weight,Year,State,Chiapas: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
47,Historic Catch for Chihuahua,Chihuahua;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Freshwater/Terrestrial,Freshwater/Terrestrial,Chihuahua,2004,2013,10,Weight,Year,State,Chihuahua: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
48,Historic Catch for Durango,Durango;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Freshwater/Terrestrial,Freshwater/Terrestrial,Durango,2004,2013,10,Weight,Year,State,Durango: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
49,Historic Catch for Guanajuato,Guanajuato;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Freshwater/Terrestrial,Freshwater/Terrestrial,Guanajuato,2004,2013,10,Weight,Year,State,Guanajuato: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
50,Historic Catch for Guerrero,Guerrero;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Pacific,South Pacific,Guerrero,2004,2013,10,Weight,Year,State,Guerrero: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
51,Historic Catch for Hidalgo,Hidalgo;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Freshwater/Terrestrial,Freshwater/Terrestrial,Hidalgo,2004,2013,10,Weight,Year,State,Hidalgo: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
52,Historic Catch for Jalisco,Jalisco;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Pacific,South Pacific,Jalisco,2004,2013,10,Weight,Year,State,Jalisco: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
53,Historic Catch for Mexico (DF),Mexico (DF);Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Freshwater/Terrestrial,Freshwater/Terrestrial,Mexico(DF),2004,2013,10,Weight,Year,State,Mexico (DF): Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
54,Historic Catch for Michoacan,Michoacan;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Freshwater/Terrestrial,Freshwater/Terrestrial,Michoacan,2004,2013,10,Weight,Year,State,Michoacan: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
55,Historic Catch for Morelos,Morelos;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Freshwater/Terrestrial,Freshwater/Terrestrial,Morelos,2004,2013,10,Weight,Year,State,Morelos: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
56,Historic Catch for Nayarit,Nayarit;Catch,SAGARPA,SAGARPA;CONAPESCA,1,Total,Pacific,South Pacific,Nayarit,2004,2013,10,Weight,Year,State,Nayarit: Serie Historica de la Produccion Pesquera de la Entidad (Peso vivo en Toneladas),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,NA,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,,,
